step,msd_global,n_round,n_elongated,density
0,0.0,2500.0,0.0,0.75
100,24.770549758725636,2500.0,0.0,0.75
200,28.77708871807818,2444.6875,55.3125,0.75
300,33.12285769319085,2396.71875,103.28125,0.75
400,38.11816514820362,2343.0625,156.9375,0.75
500,45.35581524260959,2282.75,217.25,0.75
600,55.351901519987855,2214.65625,285.34375,0.75
700,67.99715841404046,2148.0625,351.9375,0.75
800,82.91866836180739,2083.375,416.625,0.75
900,100.32848433852278,2023.71875,476.28125,0.75
1000,119.88335432119247,1971.71875,528.28125,0.75
1100,142.4491107110834,1924.875,575.125,0.75
1200,165.79707721592354,1881.59375,618.40625,0.75
1300,189.06662939587542,1843.78125,656.21875,0.75
1400,215.44343725498476,1809.59375,690.40625,0.75
1500,241.04362982318082,1777.65625,722.34375,0.75
1600,269.02379556207643,1749.6875,750.3125,0.75
1700,299.0478401233863,1723.53125,776.46875,0.75
1800,330.11138863873043,1705.40625,794.59375,0.75
1900,361.1168448336104,1683.09375,816.90625,0.75
2000,394.53963707724347,1667.25,832.75,0.75
2100,428.74292710752076,1654.34375,845.65625,0.75
2200,464.46813360381645,1640.8125,859.1875,0.75
2300,499.77641044623715,1627.375,872.625,0.75
2400,536.5394737143189,1617.21875,882.78125,0.75
2500,573.4996645751637,1603.8125,896.1875,0.75
2600,611.7858281379721,1590.0625,909.9375,0.75
2700,650.8434114567104,1578.25,921.75,0.75
2800,689.6353711565487,1560.9375,939.0625,0.75
2900,728.31053280676,1551.625,948.375,0.75
3000,765.5725011902846,1540.0625,959.9375,0.75
3100,804.4503897408136,1529.46875,970.53125,0.75
3200,846.0636984224454,1516.5625,983.4375,0.75
3300,885.0364077985455,1504.34375,995.65625,0.75
3400,924.9299145652444,1490.375,1009.625,0.75
3500,965.7731566915949,1476.5,1023.5,0.75
3600,1007.7834228600103,1464.90625,1035.09375,0.75
3700,1049.6175742433875,1452.5,1047.5,0.75
3800,1093.0128685396153,1439.09375,1060.90625,0.75
3900,1138.6461452538283,1424.0625,1075.9375,0.75
4000,1186.6624267295738,1408.71875,1091.28125,0.75
4100,1231.7646114079441,1397.90625,1102.09375,0.75
4200,1279.4578980624042,1389.3125,1110.6875,0.75
4300,1328.858348400267,1374.59375,1125.40625,0.75
4400,1382.4524967729328,1362.96875,1137.03125,0.75
4500,1438.967286431671,1354.125,1145.875,0.75
4600,1499.3636250141233,1342.6875,1157.3125,0.75
4700,1560.0704514732552,1333.59375,1166.40625,0.75
4800,1621.677723273471,1321.59375,1178.40625,0.75
4900,1683.0332312431372,1310.9375,1189.0625,0.75
5000,1743.6606547942297,1302.5,1197.5,0.75
5100,1804.8355519420331,1287.75,1212.25,0.75
5200,1864.9448877195623,1275.4375,1224.5625,0.75
5300,1926.9612866108696,1265.15625,1234.84375,0.75
5400,1991.3235708537247,1255.78125,1244.21875,0.75
5500,2059.0331847581633,1239.1875,1260.8125,0.75
5600,2135.257880910024,1224.125,1275.875,0.75
5700,2212.556258037567,1211.15625,1288.84375,0.75
5800,2293.1238489725447,1197.59375,1302.40625,0.75
5900,2377.435173955848,1183.4375,1316.5625,0.75
6000,2466.0149843557947,1169.3125,1330.6875,0.75
6100,2553.258055316414,1159.46875,1340.53125,0.75
6200,2641.6722037265868,1150.90625,1349.09375,0.75
6300,2732.6515270311565,1142.71875,1357.28125,0.75
6400,2826.6625872054665,1131.59375,1368.40625,0.75
6500,2918.7380990256165,1122.59375,1377.40625,0.75
6600,3009.3961609709527,1114.40625,1385.59375,0.75
6700,3099.040779447987,1105.21875,1394.78125,0.75
6800,3190.467193606622,1091.75,1408.25,0.75
6900,3283.4463041769854,1078.78125,1421.21875,0.75
7000,3377.4884440928317,1065.4375,1434.5625,0.75
7100,3470.281008511971,1053.53125,1446.46875,0.75
7200,3567.9419973905606,1043.46875,1456.53125,0.75
7300,3664.912713676612,1031.65625,1468.34375,0.75
7400,3769.1667425374826,1019.28125,1480.71875,0.75
7500,3876.6258559731286,1008.84375,1491.15625,0.75
7600,3984.738323387551,999.25,1500.75,0.75
7700,4090.6824920667787,991.59375,1508.40625,0.75
7800,4200.609990832826,978.75,1521.25,0.75
7900,4307.448087402653,967.625,1532.375,0.75
8000,4414.728024455818,958.4375,1541.5625,0.75
8100,4527.414749685487,945.90625,1554.09375,0.75
8200,4644.108292348117,933.96875,1566.03125,0.75
8300,4757.432685843769,925.40625,1574.59375,0.75
8400,4876.50521782137,917.21875,1582.78125,0.75
8500,4996.0430881053435,906.34375,1593.65625,0.75
8600,5119.836891753054,895.71875,1604.28125,0.75
8700,5246.143709399624,887.90625,1612.09375,0.75
8800,5381.276306510938,880.5625,1619.4375,0.75
8900,5518.252906247301,870.40625,1629.59375,0.75
9000,5661.130411895381,859.09375,1640.90625,0.75
9100,5816.736606226695,848.28125,1651.71875,0.75
9200,5981.353679330054,837.125,1662.875,0.75
9300,6142.732191599039,828.28125,1671.71875,0.75
9400,6312.666802676873,817.9375,1682.0625,0.75
9500,6486.085066468881,809.03125,1690.96875,0.75
9600,6667.8900639379035,802.25,1697.75,0.75
9700,6849.368934884931,796.3125,1703.6875,0.75
9800,7031.739311936678,787.125,1712.875,0.75
9900,7216.687147151973,778.0625,1721.9375,0.75
10000,7408.424501381916,770.25,1729.75,0.75
10100,7601.96003197561,762.25,1737.75,0.75
10200,7796.1381638947205,753.625,1746.375,0.75
10300,7996.455463282588,741.25,1758.75,0.75
10400,8202.379844729745,734.34375,1765.65625,0.75
10500,8408.117045315452,729.0,1771.0,0.75
10600,8617.777658845567,721.34375,1778.65625,0.75
10700,8833.805467732354,714.75,1785.25,0.75
10800,9050.739111362833,707.65625,1792.34375,0.75
10900,9269.8210839099,700.46875,1799.53125,0.75
11000,9491.423127335613,693.21875,1806.78125,0.75
11100,9723.138880652665,687.21875,1812.78125,0.75
11200,9960.844881359151,678.6875,1821.3125,0.75
11300,10205.101987311205,670.59375,1829.40625,0.75
11400,10455.727349968893,663.28125,1836.71875,0.75
11500,10713.052912889836,652.21875,1847.78125,0.75
11600,10969.927213760335,646.125,1853.875,0.75
11700,11231.832047220041,636.65625,1863.34375,0.75
11800,11507.66573580493,628.625,1871.375,0.75
11900,11785.045617286514,617.75,1882.25,0.75
12000,12068.351906866521,606.1875,1893.8125,0.75
12100,12364.71293288536,599.03125,1900.96875,0.75
12200,12660.074110874246,591.0,1909.0,0.75
12300,12955.487486083875,583.8125,1916.1875,0.75
12400,13259.499560343502,579.59375,1920.40625,0.75
12500,13567.963916085184,571.25,1928.75,0.75
12600,13880.64667681098,566.5,1933.5,0.75
12700,14193.64787506666,554.28125,1945.71875,0.75
12800,14519.147068532948,547.625,1952.375,0.75
12900,14847.436336597677,538.21875,1961.78125,0.75
13000,15183.018750614232,526.5625,1973.4375,0.75
13100,15526.791526217787,519.0625,1980.9375,0.75
13200,15881.390890358276,510.25,1989.75,0.75
13300,16241.972414511027,502.5,1997.5,0.75
13400,16623.500148307703,492.125,2007.875,0.75
13500,17010.312136325756,484.75,2015.25,0.75
13600,17411.94817286661,477.75,2022.25,0.75
13700,17823.404731673556,469.84375,2030.15625,0.75
13800,18242.92588837172,464.96875,2035.03125,0.75
13900,18673.978660907524,459.0,2041.0,0.75
14000,19115.34705563623,452.8125,2047.1875,0.75
14100,19550.17171036392,448.6875,2051.3125,0.75
14200,19995.41020846245,443.875,2056.125,0.75
14300,20444.931008549636,437.875,2062.125,0.75
14400,20897.88008901156,432.6875,2067.3125,0.75
14500,21365.012048284374,430.09375,2069.90625,0.75
14600,21843.3206048289,424.03125,2075.96875,0.75
14700,22333.09130980333,419.6875,2080.3125,0.75
14800,22827.061146598087,416.1875,2083.8125,0.75
14900,23331.562008211273,409.71875,2090.28125,0.75
15000,23831.618949088857,404.1875,2095.8125,0.75
15100,24325.86787718358,396.25,2103.75,0.75
15200,24828.975102084005,389.25,2110.75,0.75
15300,25340.95293422806,381.65625,2118.34375,0.75
15400,25846.591621831623,375.75,2124.25,0.75
15500,26351.178250022276,372.21875,2127.78125,0.75
15600,26869.82801731479,367.8125,2132.1875,0.75
15700,27402.021554578685,363.625,2136.375,0.75
15800,27940.23918937913,357.96875,2142.03125,0.75
15900,28498.50892107145,351.1875,2148.8125,0.75
16000,29070.2351376125,346.1875,2153.8125,0.75
16100,29644.757895843806,342.71875,2157.28125,0.75
16200,30232.280370258923,340.34375,2159.65625,0.75
16300,30827.143649876907,339.21875,2160.78125,0.75
16400,31420.72484605155,337.34375,2162.65625,0.75
16500,32032.038884670044,335.1875,2164.8125,0.75
16600,32644.14312533473,334.46875,2165.53125,0.75
16700,33274.22833680589,331.0,2169.0,0.75
