seed,mean_aspect_ratio,fraction_elongated
1099062448631258,5.0,1.0
853827592514924,4.9992,0.9998
1052030010736714,5.0,1.0
993068073743470,5.0,1.0
375074238073900,4.998933333333334,0.9997333333333333
416178520884477,5.0,1.0
874051135843279,5.0,1.0
12944511869278,4.9864,0.9966
542029227742456,4.992,0.9980000000000004
1011744331896734,5.0,1.0
211701226972609,5.0,1.0
292918525777755,5.0,1.0
731147908347497,5.0,1.0
985549376192247,5.0,1.0
873456432950595,5.0,1.0
422219896800918,5.0,1.0
900740014674953,5.0,1.0
1020578668480920,4.989866666666667,0.9974666666666667
343569160877337,5.0,1.0
78804909138230,5.0,1.0
333614425743970,5.0,1.0
974443487743328,5.0,1.0
703985244396274,5.0,1.0
1122578106359740,4.9976,0.9994
492938554100859,5.0,1.0
170902461924754,5.0,1.0
260045648084392,5.0,1.0
450419983107763,5.0,1.0
543308666121182,5.0,1.0
593849570694833,5.0,1.0
582382717235568,5.0,1.0
1123570616129223,4.9976,0.9994
680622798933824,4.992,0.9980000000000004
201764007966294,5.0,1.0
453356923466257,5.0,1.0
346214149398000,5.0,1.0
353918643079908,4.999466666666666,0.9998666666666668
971536625474344,5.0,1.0
799035771825238,5.0,1.0
1114806189928891,5.0,1.0
216465895742590,5.0,1.0
926435018171726,5.0,1.0
744517311885370,4.767733333333333,0.9419333333333327
812580382463326,4.997866666666667,0.9994666666666667
521742092743191,4.992,0.9980000000000004
1008612444973162,4.986133333333333,0.9965333333333329
121838283310165,4.999733333333333,0.9999333333333333
431006493426170,5.0,1.0
765322069857382,5.0,1.0
725201757884584,5.0,1.0
184656659025018,5.0,1.0
1034686135547599,5.0,1.0
380972098894405,5.0,1.0
742183958399040,5.0,1.0
37852570490343,4.8,0.9499999999999995
734109262104827,5.0,1.0
401686787590537,5.0,1.0
350020380685320,5.0,1.0
484612500106051,5.0,1.0
604884003999171,5.0,1.0
501697692195937,4.985066666666666,0.9962666666666666
851083349436041,4.9992,0.9998
796940938751527,4.9917333333333325,0.9979333333333337
7713914261614,5.0,1.0
