seed,mean_aspect_ratio,fraction_elongated
1099062448631258,4.9992,0.9998
853827592514924,4.984479999999998,0.9961199999999999
1052030010736714,4.999840000000001,0.99996
993068073743470,4.99632,0.9990799999999999
375074238073900,4.9985599999999994,0.9996399999999998
416178520884477,4.999199999999999,0.9997999999999999
874051135843279,4.991519999999998,0.9978799999999999
12944511869278,4.973280000000001,0.9933199999999998
542029227742456,4.997119999999999,0.9992799999999998
1011744331896734,5.0,1.0
211701226972609,5.0,1.0
292918525777755,5.0,1.0
731147908347497,4.99984,0.99996
985549376192247,5.0,1.0
873456432950595,4.998880000000001,0.99972
422219896800918,4.999039999999999,0.99976
900740014674953,4.9987200000000005,0.99968
1020578668480920,5.0,1.0
343569160877337,4.99984,0.99996
78804909138230,5.0,1.0
333614425743970,5.0,1.0
974443487743328,4.99968,0.9999199999999999
703985244396274,4.99952,0.99988
1122578106359740,5.0,1.0
492938554100859,4.99808,0.99952
170902461924754,4.998879999999999,0.9997199999999999
260045648084392,4.99936,0.9998400000000001
450419983107763,4.990079999999999,0.9975199999999999
543308666121182,5.0,1.0
593849570694833,5.0,1.0
582382717235568,4.99824,0.99956
1123570616129223,4.9984,0.9996
680622798933824,4.99904,0.99976
201764007966294,4.99984,0.99996
453356923466257,5.0,1.0
346214149398000,5.0,1.0
353918643079908,5.0,1.0
971536625474344,5.0,1.0
799035771825238,5.0,1.0
1114806189928891,4.99936,0.9998400000000001
216465895742590,5.0,1.0
926435018171726,4.999199999999999,0.9997999999999999
744517311885370,4.988800000000003,0.9972000000000009
812580382463326,5.0,1.0
521742092743191,4.997120000000001,0.99928
1008612444973162,5.0,1.0
121838283310165,4.99856,0.99964
431006493426170,4.986239999999996,0.9965599999999994
765322069857382,4.998079999999999,0.9995199999999999
725201757884584,5.0,1.0
184656659025018,4.9967999999999995,0.9992
1034686135547599,4.995679999999999,0.9989199999999998
380972098894405,5.0,1.0
742183958399040,4.99952,0.99988
37852570490343,4.9959999999999996,0.9990000000000001
734109262104827,4.99936,0.9998400000000001
401686787590537,4.99936,0.9998400000000001
350020380685320,4.98448,0.9961199999999998
484612500106051,4.999199999999999,0.9997999999999999
604884003999171,4.984159999999998,0.99604
501697692195937,4.99952,0.99988
851083349436041,5.0,1.0
796940938751527,5.0,1.0
7713914261614,5.0,1.0
