step,msd_global,msd_round,msd_elongated,n_round,n_elongated
0,0.0,0.0,,500,0
100,8.71413206946803,8.71413206946803,,500,0
200,10.862610558052667,9.043116635759487,62.557643762029514,483,17
300,13.377450973147786,7.929996840389847,77.76915238856857,461,39
400,20.019043139449742,9.26167148089018,96.01466872733825,438,62
500,27.16240083519109,10.536397505959139,111.91446658664177,418,82
600,38.90405238097417,16.0927282802363,125.76255568762987,396,104
700,47.36506157404747,19.88082045240995,132.52115291813752,378,122
800,54.25645656959431,17.12157648598758,145.17288711911422,355,145
900,68.93546451802017,24.575097651923556,165.850151365607,343,157
1000,83.58753937950712,27.366126787297617,190.80046571813918,328,172
1100,105.86968141192173,34.20539485680059,224.8019016523355,312,188
1200,126.96012295609943,40.71541988694579,264.1472931230951,307,193
1300,154.36160212731363,64.8960286089417,301.5774400332061,311,189
1400,183.0054111737967,77.05660548959935,358.8353440114008,312,188
1500,209.96031618142484,82.76016122793366,446.18917538076556,325,175
1600,229.34991163336312,96.68028433003165,449.5250377963387,312,188
1700,245.59728069731233,105.69549155545124,458.9828378732823,302,198
1800,260.5850350297729,126.31780714365081,447.53127098604807,291,209
1900,279.5034588988905,148.17897887853948,456.45240615635885,287,213
2000,299.5523252540102,149.66392518418567,479.81458613093577,273,227
2100,322.3554357359456,173.16555295166987,504.69862580561585,275,225
2200,338.22646261727846,190.0232124999644,510.80946816514637,269,231
2300,360.47617089943714,192.05001903945868,548.8850865394132,264,236
2400,385.48067546173706,202.59618682249194,575.8298371066657,255,245
2500,414.44292914048515,200.153890136574,628.7319681443963,250,250
2600,450.880276940043,243.35631486960034,668.6103355057533,256,244
2700,492.5697509911073,250.50866263851515,748.5767456685403,257,243
2800,541.7411078069471,288.44160129892197,822.8287458306206,263,237
2900,581.7421158042627,295.95662807299044,872.1370468860396,252,248
3000,625.4060856418281,294.42853327282216,953.7463666772164,249,251
3100,672.3202815121977,322.4113917262504,1011.2084188639418,246,254
3200,724.5304140887952,336.27291546701036,1082.921951278135,240,260
3300,764.3111362571796,374.08560191867724,1104.8450295188688,233,267
3400,785.0208005116629,377.9759275631449,1118.0575147422687,225,275
3500,807.5225130330052,368.95084539327803,1119.9297283380165,208,292
3600,859.3811540792873,409.0049207447798,1172.3544687693689,205,295
3700,927.1564692075991,408.81194799302364,1266.9982413946386,198,302
3800,989.3235389990523,410.93197728184595,1346.8406531996557,191,309
3900,1084.1089717319667,429.5443489679044,1475.1747367699209,187,313
4000,1217.3403697253684,417.8171806989621,1667.072163552722,180,320
4100,1355.6616374010136,445.7090567786659,1828.6157142594375,171,329
4200,1487.085849353865,455.91019595525654,1990.397775417471,164,336
4300,1622.1114764942663,497.6122447947884,2156.1656838795643,161,339
4400,1750.003838756428,568.895070923578,2337.021968876946,166,334
4500,1889.2972019776917,589.3365446285761,2506.682646913407,161,339
