step,msd_global,msd_round,msd_elongated,n_round,n_elongated
0,0.0,0.0,,500,0
100,11.004261336711476,11.004261336711476,,500,0
200,12.560540297826407,12.540495443167671,15.881304552957289,497,3
300,13.583201168734172,13.377431718642764,33.95437672778349,495,5
400,14.383273113019776,13.482535740187812,63.52350089751917,491,9
500,15.255647671677412,13.718293498582282,72.84730015608727,487,13
600,17.008417770170563,14.013641390479918,85.31784090692372,479,21
700,18.692851532675615,13.776767498768018,98.53683704889899,471,29
800,19.804073237160097,14.090213533083945,98.11756212243918,466,34
900,23.9795498746927,14.725605595348085,122.32960884354127,457,43
1000,26.888764792238355,15.037766866366987,135.96631713036055,451,49
1100,32.938454426264755,15.586437300949077,157.81608586911037,439,61
1200,37.35787435177553,15.662923615668584,162.25042858936413,426,74
1300,46.13587066625398,21.531999518408718,181.29739658233896,423,77
1400,53.23314010358288,20.910379311715804,228.10756387496642,422,78
1500,60.09239697746391,26.2230406733583,230.25530756556077,417,83
1600,72.98727478750098,27.98809048539548,280.79249667699935,411,89
1700,81.06411867766633,33.29904031113197,301.6421772017744,411,89
1800,88.23844166352484,39.14571340963136,318.0816693976625,412,88
1900,84.55997988088205,40.0756393821342,274.2037472702807,405,95
2000,90.78159945370146,43.166393526905246,299.1621243161321,407,93
2100,96.74040512801817,43.46614020522757,320.9362700114286,404,96
2200,110.84228528540467,50.195992921121366,372.78265443326654,406,94
2300,125.87562234093708,54.627999227810164,446.09845589334265,409,91
2400,141.52674965310723,64.2905942804421,484.05230826231775,408,92
2500,151.56637756055628,68.08049426922119,516.9293291688723,407,93
2600,153.27314552475883,78.53597901904539,471.88948694385317,405,95
2700,163.66500245762842,94.71886587955709,465.3970195251018,407,93
2800,168.66787864166974,90.75894976538865,480.3035941467943,400,100
2900,182.41918423464892,98.51880529627023,530.9949853910057,403,97
3000,197.11467413176655,104.9222222052256,548.1551641597495,396,104
3100,212.43566488546347,107.58380446601609,579.8894820310944,389,111
3200,234.9839793573429,120.16054978015877,666.9387858619879,395,105
3300,260.9071969136544,126.18354110228985,793.132332247659,399,101
3400,284.37985396512823,137.06637900763545,888.66574103566,402,98
3500,304.3145867401705,141.63740857890247,980.1795640493563,403,97
3600,311.03105578141077,164.1162475664538,937.3520802767538,405,95
3700,326.0193910218461,162.26772349898096,957.1787308915299,397,103
3800,340.1509398080036,175.6510206162611,966.516016730408,396,104
3900,356.1556413978834,188.05270928805894,1012.0866902185711,398,102
4000,369.89700225127535,198.3231235239289,1031.2060299673587,397,103
4100,376.088322515993,206.51909867748202,1037.7407841603792,398,102
4200,391.91799873108295,204.26441795067026,1106.4450947795772,396,104
4300,412.926825186766,204.36980558520182,1188.1293320076747,394,106
4400,446.6264772027714,208.36621781937768,1244.2803890515243,385,115
4500,475.984490698123,221.34977960143976,1264.9346611452238,378,122
4600,514.050429658291,224.60813590118332,1355.2420958898851,372,128
4700,559.0631258314077,240.6087226181231,1402.851070111862,363,137
4800,592.1143180344219,245.89303795212052,1464.982052326421,358,142
4900,622.8629591014923,286.94015307496676,1461.4954189019793,357,143
5000,644.8350975983616,302.5837236753376,1435.8664187846887,349,151
5100,664.7749818634215,306.0155390269306,1448.5615353214876,343,157
5200,712.3675329267428,322.09356075496714,1534.1245302325312,339,161
5300,752.761103556854,347.3492094264021,1614.261378584064,340,160
5400,804.3893184948024,375.9856082541671,1682.094480939031,336,164
5500,854.7986022368797,380.35422072666057,1826.8309936236697,336,164
5600,896.0376693948377,404.28875984205933,1970.3680896279773,343,157
5700,933.160903007788,418.62777077143767,2089.189888421926,346,154
5800,976.2094790056983,418.44461735130756,2161.4598100212793,340,160
5900,1010.1263628924255,405.0202728474554,2272.631661875141,338,162
6000,1047.227550382531,391.7851688186154,2297.140929178835,328,172
6100,1076.6639493616806,392.2148657265372,2325.686853396434,323,177
6200,1109.1401200118805,389.94354360620315,2302.700395748962,312,188
6300,1147.7348024825794,394.8240343456209,2305.7650702262263,303,197
6400,1192.926491586345,408.7163388356431,2369.241720712398,300,200
6500,1252.6037376454265,522.0180815306832,2376.2963965427225,303,197
6600,1323.0429038422376,535.4456311348803,2484.9438309055668,298,202
6700,1394.1707067941445,597.0294570774807,2522.491412914833,293,207
6800,1469.7680745182727,639.0617006216577,2695.265596405358,298,202
6900,1555.1341613150769,662.2263569777233,2872.3941894959257,298,202
7000,1653.2992470200659,672.9289599832371,3099.5880863120206,298,202
7100,1746.3657538163745,684.3131856256146,3262.110681234256,294,206
7200,1875.9665881055903,697.2942126998341,3586.1970935962954,296,204
7300,1958.111833370066,699.8295811271051,3799.046951183658,297,203
7400,2030.4793415342633,704.3989435258611,3986.7761663189353,298,202
7500,2115.6092938468364,719.0599314722282,4175.865283884625,298,202
7600,2214.8987325187427,722.7369132205464,4275.503149644823,290,210
7700,2305.1201612880295,734.2584468730555,4492.300825856248,291,209
7800,2418.0763192435047,793.4379662536844,4607.143020220398,287,213
7900,2521.26398193639,840.1533631233306,4660.859314971193,280,220
8000,2643.3449880246317,816.0913659453585,4968.940507034616,280,220
8100,2806.4598129625424,838.8038421284022,5153.838865887482,272,228
8200,2934.11197440686,872.6838245476284,5277.444828520346,266,234
8300,3063.895086680061,799.6620783867147,5497.240933767102,259,241
8400,3198.4748340650485,791.9819241813287,5703.191944352185,255,245
8500,3313.0242695988154,884.0032945060979,5821.03779672707,254,246
8600,3439.909648454828,902.8145225340279,5916.836510519799,247,253
8700,3576.9160104233215,914.1081798916416,6135.300004463562,245,255
8800,3720.6151305697435,947.7935219662976,6342.388091233702,243,257
8900,3885.992963500537,955.4415003855378,6422.888259928447,232,268
9000,4055.43659135664,977.0460953923556,6533.70764045424,223,277
9100,4263.608274740791,987.1117363510402,6922.793871115082,224,276
9200,4460.9626075702245,988.4162556326313,7279.261096099285,224,276
9300,4662.242533870533,983.5134611452288,7599.932656694337,222,278
9400,4849.706563692533,987.0157039835719,7835.758363042013,218,282
9500,5032.306834145272,997.4179828961821,8026.8410686959905,213,287
9600,5221.656560173247,996.2512748008841,8281.432801304956,210,290
9700,5436.747898165124,1002.4789283550098,8595.405246523012,208,292
9800,5646.303085223893,1006.7319046162439,8978.503692601895,209,291
9900,5878.889450789418,1060.6751506379562,9227.14006614891,205,295
10000,6137.924418310978,1020.9136872243222,9606.502162201932,202,298
10100,6400.089948815216,978.3854460534204,10014.559617323079,200,300
10200,6673.547108471716,1065.9189942874048,10169.211387443755,192,308
10300,6952.889601226611,1050.028568162735,10601.583637845382,191,309
10400,7165.29373157925,1056.5852894217678,10752.947896020945,185,315
10500,7428.394190749256,1063.8674136306233,10946.67296816266,178,322
10600,7713.303342341652,1096.4954898550654,10798.559789688772,159,341
10700,8004.768704848171,1140.030441415842,11003.160130255395,152,348
10800,8348.295943550265,1091.4403002022807,11428.841501552686,149,351
10900,8718.676344974128,1088.5416422672852,11865.56805851989,146,354
11000,9051.31506832653,1012.7959912803852,12146.478923477263,139,361
11100,9406.440725357863,994.3561061511938,12486.274984848827,134,366
11200,9741.192544497206,1024.9099269770697,12646.620083670587,125,375
11300,10104.04112945387,1099.1891987610688,12885.644605427036,118,382
11400,10433.54953406555,1057.4707636556568,13362.036079154203,119,381
11500,10782.320113707046,1037.053063540756,13792.638207737471,118,382
11600,11109.59104191273,915.1620431058874,14086.258940789146,113,387
11700,11538.246581627807,846.6399442207747,14483.893308260356,108,392
11800,11995.245787999362,907.7440194004085,14732.559192217059,99,401
11900,12446.68875558474,868.2666068321859,15127.407184113657,94,406
12000,12846.136958647396,931.7312879876885,15390.961470827137,88,412
12100,13256.528690967887,921.7749886486394,15536.41207670462,78,422
12200,13691.30598199981,940.6017205782753,15732.602023851516,69,431
12300,14137.4454490715,802.7843750354184,16236.419877391994,68,432
12400,14572.494927919699,1019.0391108444961,16420.693448429956,60,440
12500,15014.065524195965,869.6078250943615,16979.468530221475,61,439
12600,15515.152946695012,902.2303312427088,17395.37098073741,57,443
12700,16052.00167654088,865.5396646696928,17890.721292327973,54,446
12800,16619.113951687228,853.7309865284006,18409.83673837565,51,449
12900,17163.135546411188,1129.3583217893472,18905.164557512013,49,451
13000,17697.999601286687,1123.8258765601777,19217.90199525724,42,458
13100,18236.605726079506,1537.6402326630255,19688.689682028766,40,460
13200,18754.887499440058,2135.501758098746,20121.84996301358,38,462
13300,19304.212946520984,2270.9838062348363,20507.845840802445,33,467
13400,19839.4410196973,1865.0467933443038,21109.580226270427,33,467
13500,20464.445001313037,1738.1099944326938,22092.82195843307,40,460
13600,21062.448702199796,1261.4495531494688,22737.587458843962,39,461
13700,21704.247207152886,1310.807233500406,23672.03527478602,44,456
13800,22433.286348598063,1380.3853089304084,24363.90172778156,42,458
13900,23083.696757291465,1611.5264928875217,25052.760405992267,42,458
14000,23765.77336004662,1473.5898687389688,25810.034728245144,42,458
14100,24402.473536663027,1660.1137731133833,26326.44757305877,39,461
14200,25073.02794329291,1697.544868107309,26832.472905941286,35,465
14300,25709.506654344143,1757.48538419753,27292.68929693379,31,469
14400,26450.324158663258,2148.8730566777585,27622.092241148934,23,477
14500,27219.89821118179,2157.5201228707524,28264.16396486142,20,480
14600,27935.880361967258,2078.3765133202933,28845.978841112177,17,483
14700,28729.62388414166,2443.9860775171055,29431.29388719324,13,487
14800,29515.15867233491,2244.0682343532126,30416.682323177276,16,484
14900,30322.514319926944,1466.915962820967,31276.418397847807,16,484
15000,31079.339764135493,1438.8042626431263,31808.205391221374,12,488
15100,31894.998180209695,2931.2462868437187,32365.953495548976,8,492
15200,32726.427054437216,2976.100350616969,32906.0064912812,3,497
15300,33633.06312648241,,33633.06312648241,0,500
15400,34491.62297151313,,34491.62297151313,0,500
15500,35355.726891990154,,35355.726891990154,0,500
15600,36178.84994622235,,36178.84994622235,0,500
15700,37168.1608485092,,37168.1608485092,0,500
15800,38077.606292251796,,38077.606292251796,0,500
15900,39031.75752652115,,39031.75752652115,0,500
16000,39952.65180045856,,39952.65180045856,0,500
16100,40894.67699419166,,40894.67699419166,0,500
16200,41936.05494166826,,41936.05494166826,0,500
16300,42946.968440737204,,42946.968440737204,0,500
16400,43972.750087003966,,43972.750087003966,0,500
16500,44897.804166453265,,44897.804166453265,0,500
16600,45970.24749789138,,45970.24749789138,0,500
16700,47064.21283577307,,47064.21283577307,0,500
16800,48186.54662274916,,48186.54662274916,0,500
16900,49278.89473593987,,49278.89473593987,0,500
17000,50270.98095023084,,50270.98095023084,0,500
17100,51425.47500244427,,51425.47500244427,0,500
17200,52604.2137530545,,52604.2137530545,0,500
17300,53756.481495276275,,53756.481495276275,0,500
17400,54889.92564294197,,54889.92564294197,0,500
17500,56077.623111379646,,56077.623111379646,0,500
17600,57309.99169908978,,57309.99169908978,0,500
17700,58434.73097207899,,58434.73097207899,0,500
17800,59732.51616912853,,59732.51616912853,0,500
17900,60993.17217555179,,60993.17217555179,0,500
18000,62248.730383908434,,62248.730383908434,0,500
18100,63489.91037017684,,63489.91037017684,0,500
18200,64809.58301089943,,64809.58301089943,0,500
18300,66060.06638034584,,66060.06638034584,0,500
18400,67346.6678143616,,67346.6678143616,0,500
18500,68807.14475259352,,68807.14475259352,0,500
18600,70142.4227199404,,70142.4227199404,0,500
18700,71450.40471336622,,71450.40471336622,0,500
18800,72869.57363490268,,72869.57363490268,0,500
18900,74284.89124702873,,74284.89124702873,0,500
19000,75735.30971952419,,75735.30971952419,0,500
19100,77042.25727372912,,77042.25727372912,0,500
19200,78518.8773354913,,78518.8773354913,0,500
19300,79886.92813907142,,79886.92813907142,0,500
19400,81440.35596194917,,81440.35596194917,0,500
19500,82960.08922324405,,82960.08922324405,0,500
19600,84464.89126880052,,84464.89126880052,0,500
19700,85987.07434801164,,85987.07434801164,0,500
19800,87479.887576066,,87479.887576066,0,500
19900,89029.95763963973,,89029.95763963973,0,500
20000,90592.2247070809,,90592.2247070809,0,500
20100,92142.31405833569,,92142.31405833569,0,500
20200,93643.73641386357,,93643.73641386357,0,500
20300,95271.58894066459,,95271.58894066459,0,500
20400,97052.41864103392,,97052.41864103392,0,500
20500,98672.59391425776,,98672.59391425776,0,500
20600,100291.55084806231,,100291.55084806231,0,500
20700,101925.71657284252,,101925.71657284252,0,500
20800,103677.69340976348,,103677.69340976348,0,500
20900,105279.55507301906,,105279.55507301906,0,500
21000,106935.02764547546,,106935.02764547546,0,500
21100,108620.43417029959,53155.60458036116,108843.1844899379,2,498
21200,110323.41152775461,53158.149106643905,110552.99089490765,2,498
21300,112133.14424880056,53192.82973221618,112369.8523392286,2,498
21400,113896.41847210462,53216.55851331567,114140.11268880658,2,498
21500,115702.8319696683,40675.240697807036,115853.18786400068,1,499
21600,117485.94624489093,,117485.94624489093,0,500
21700,119219.80942488516,,119219.80942488516,0,500
