step,msd_global,n_round,n_elongated
0,0.0,500,0
100,13.142471332564197,500,0
200,16.58569504806282,477,23
300,18.281415508290834,465,35
400,21.942175617251316,451,49
500,27.437246346122702,428,72
600,30.493660178893318,416,84
700,41.914186864388455,396,104
800,50.73028169734057,378,122
900,62.53781221509983,357,143
1000,74.0250039294541,348,152
1100,86.84718653657683,335,165
1200,105.07296786355856,318,182
1300,124.64433501240866,309,191
1400,140.37839630682387,299,201
1500,159.3771309411686,306,194
1600,182.28051058905706,305,195
1700,207.35122114741674,310,190
1800,231.3654253161148,306,194
1900,248.38299759486492,294,206
2000,250.29563223164675,282,218
2100,263.5143198261365,269,231
2200,297.1339486413549,269,231
2300,324.68344510359617,254,246
2400,352.20530780329034,248,252
2500,386.63393743177613,249,251
2600,433.5371942078522,248,252
2700,491.7668162127719,243,257
2800,538.7743222816116,234,266
2900,592.7072542999343,236,264
3000,648.7129130366606,238,262
3100,705.7144891013202,242,258
3200,757.1198467764858,238,262
3300,809.3344540534983,235,265
3400,844.0431612556474,228,272
3500,885.1900344611441,218,282
3600,905.2788825395284,221,279
3700,937.7936238338524,219,281
3800,994.4484154082909,213,287
3900,1069.1722940707193,208,292
4000,1162.5011619099964,202,298
4100,1264.128819794768,193,307
4200,1396.2049380454914,199,301
4300,1527.8120888476699,187,313
4400,1642.0840607885375,182,318
4500,1737.1945272883918,190,310
4600,1845.001060649426,196,304
4700,1934.3523184900519,197,303
4800,2023.0793954236015,192,308
4900,2154.285838527265,197,303
5000,2257.804185163269,202,298
5100,2350.6552773787134,208,292
5200,2481.246928798138,204,296
5300,2599.075444247274,201,299
5400,2758.782496671419,188,312
5500,2904.355531595607,184,316
5600,3069.861068431148,181,319
5700,3201.736444660018,178,322
5800,3310.424899699418,178,322
5900,3421.457129500039,179,321
6000,3547.942816162763,185,315
6100,3634.9484947116343,190,310
6200,3730.7267797433747,192,308
6300,3858.8748649958734,188,312
6400,3976.618349395376,186,314
6500,4132.0071938622095,179,321
6600,4280.624248743234,179,321
6700,4467.241563124573,178,322
6800,4601.604824007821,187,313
6900,4747.0707291957115,191,309
7000,4890.149156493417,196,304
7100,5049.463167013978,190,310
7200,5168.865242422211,196,304
7300,5283.548810569279,188,312
7400,5405.335363409137,179,321
7500,5608.896208185976,174,326
7600,5795.612288786052,179,321
7700,5992.985788477327,169,331
7800,6211.6411680532765,160,340
7900,6442.363743555661,146,354
8000,6737.867012720243,128,372
8100,6980.4535439747115,114,386
8200,7230.989125590289,105,395
8300,7436.1033547524,106,394
8400,7640.88799949384,106,394
8500,7877.572715198455,113,387
8600,8111.73514718163,111,389
8700,8329.522917226659,111,389
8800,8561.676215727312,106,394
8900,8791.532131080085,107,393
9000,8982.567389479918,104,396
9100,9212.498634184252,96,404
9200,9431.262791397705,83,417
9300,9687.421980285913,73,427
