seed,n_round,max_round,2_max_round,n_elongated,max_elongated,2_max_elongated,n_round_2,max_round_2,2_max_round_2,n_elongated_2,max_elongated_2,2_max_elongated_2,ratio_round,ratio_elongated,ratio_round_2,ratio_elongated_2
1123570616129223,9.1,9932.8,2.1,56.6,1.6,1.3,1.0,9942.3,0.0,51.8,2.9,2.3,0.00021143884115042,0.8833333333333332,0.0,0.825
680622798933824,6.7,9926.8,1.2,66.1,1.6,1.3,1.0,9932.9,0.0,60.0,2.8,2.4,0.00012088449547481455,0.85,0.0,0.875
201764007966294,9.4,9935.1,1.7,55.2,1.5,1.1,1.0,9944.2,0.0,52.2,2.4,1.7,0.00017111327024998474,0.8,0.0,0.7333333333333334
453356923466257,7.3,9934.3,1.0,58.9,1.4,1.1,1.0,9940.6,0.0,55.8,2.5,1.9,0.00010066137871370703,0.85,0.0,0.7833333333333334
346214149398000,9.0,9919.0,2.6,70.3,1.4,1.3,1.0,9928.9,0.0,65.4,3.1,2.1,0.0002621080711158733,0.95,0.0,0.74
353918643079908,7.1,9925.3,1.4,67.1,2.0,1.1,1.0,9931.8,0.0,61.7,2.7,2.4,0.00014104780919313952,0.55,0.0,0.9166666666666666
971536625474344,5.1,9954.8,1.2,40.8,1.1,1.0,1.0,9959.1,0.0,39.2,1.9,1.6,0.00012054751721038906,0.95,0.0,0.85
799035771825238,8.8,9934.9,2.1,55.1,1.6,1.1,1.0,9944.2,0.0,50.2,2.4,2.1,0.0002114114714556527,0.75,0.0,0.9
1114806189928891,8.1,9913.7,2.7,76.4,1.7,1.3,1.0,9922.6,0.0,71.2,2.6,2.1,0.0002725062375970943,0.8,0.0,0.8333333333333334
216465895742590,7.4,9926.0,1.8,66.2,1.2,1.1,1.0,9933.4,0.0,61.2,2.7,2.2,0.00018144158268700836,0.95,0.0,0.8333333333333333
926435018171726,8.1,9935.7,1.6,55.7,1.6,1.3,1.0,9943.4,0.0,52.3,2.6,2.2,0.00016106718042369303,0.8666666666666668,0.0,0.8583333333333332
744517311885370,7.9,9939.0,1.7,52.7,1.4,1.1,1.0,9946.7,0.0,49.5,2.5,1.9,0.00017104040593537504,0.85,0.0,0.8
812580382463326,7.2,9926.2,1.2,66.2,1.7,1.3,1.0,9932.8,0.0,59.9,3.2,2.3,0.0001208967184526124,0.8,0.0,0.7516666666666667
521742092743191,6.0,9928.6,1.3,65.5,1.4,1.0,1.0,9934.1,0.0,62.4,2.3,2.0,0.00013096724004580364,0.8,0.0,0.8833333333333332
1008612444973162,6.6,9940.9,1.8,52.1,1.4,1.0,1.0,9947.5,0.0,49.2,2.2,1.9,0.00018108659528218388,0.8333333333333333,0.0,0.8833333333333334
121838283310165,6.9,9935.4,1.3,57.0,1.8,1.1,1.0,9942.1,0.0,53.0,2.7,1.9,0.00013085663717955434,0.6666666666666666,0.0,0.7333333333333333
431006493426170,6.5,9935.5,1.4,57.9,1.5,1.2,1.0,9941.4,0.0,54.2,2.5,2.0,0.00014094642586882168,0.8666666666666666,0.0,0.8733333333333333
765322069857382,8.4,9929.7,1.6,60.9,1.9,1.3,1.0,9937.8,0.0,54.9,3.0,2.4,0.0001611472154610443,0.7166666666666667,0.0,0.8166666666666667
725201757884584,6.0,9940.7,1.5,53.5,1.3,1.0,1.0,9946.2,0.0,51.4,2.3,1.8,0.000150920661788392,0.85,0.0,0.8
184656659025018,9.4,9934.0,1.8,55.4,1.6,1.5,1.0,9943.4,0.0,51.2,2.6,2.2,0.00018121115277177315,0.95,0.0,0.8666666666666668
1034686135547599,9.1,9926.5,1.6,63.5,1.8,1.4,1.0,9935.2,0.0,58.0,2.9,2.2,0.0001611756347744085,0.8,0.0,0.7583333333333334
380972098894405,11.6,9920.4,2.0,66.0,1.9,1.5,1.0,9932.2,0.0,59.3,3.5,2.3,0.00020165982866297304,0.8166666666666668,0.0,0.7083333333333333
742183958399040,10.4,9927.6,2.1,59.8,1.9,1.3,1.0,9939.0,0.0,55.1,2.9,2.2,0.00021161847419598256,0.75,0.0,0.7916666666666667
37852570490343,7.8,9930.2,2.0,60.5,1.8,1.3,1.0,9938.3,0.0,55.6,3.2,2.1,0.00020142213121278067,0.75,0.0,0.7
734109262104827,8.3,9934.7,1.3,57.5,1.2,1.0,1.0,9942.3,0.0,55.2,2.1,1.7,0.0001308698303849368,0.9,0.0,0.8166666666666667
401686787590537,8.0,9932.8,2.7,57.3,1.6,1.3,1.0,9941.8,0.0,54.8,2.4,1.8,0.0002718355227492736,0.85,0.0,0.7583333333333334
350020380685320,7.2,9942.2,1.3,50.6,1.5,1.1,1.0,9948.8,0.0,46.7,2.5,2.0,0.00013077462867311628,0.8,0.0,0.8333333333333333
484612500106051,9.2,9949.9,1.8,40.2,1.4,1.1,1.0,9959.2,0.0,37.2,2.3,1.8,0.000180917704662075,0.85,0.0,0.7833333333333333
604884003999171,7.1,9921.3,2.7,70.0,1.4,1.0,1.0,9929.6,0.0,65.8,2.2,2.0,0.0002722416085205105,0.8,0.0,0.9333333333333332
501697692195937,9.5,9927.6,1.7,62.1,1.5,1.2,1.0,9937.2,0.0,55.8,2.8,2.3,0.00017123905910431048,0.8666666666666666,0.0,0.8583333333333332
851083349436041,5.8,9941.0,1.1,53.3,1.6,1.1,1.0,9946.0,0.0,50.4,2.4,2.0,0.00011066301588820958,0.7833333333333334,0.0,0.85
796940938751527,7.5,9934.8,1.8,56.4,1.9,1.3,1.0,9942.2,0.0,52.1,3.4,2.1,0.00018117463913411676,0.7333333333333333,0.0,0.6833333333333333
7713914261614,7.4,9932.8,1.7,59.5,1.2,1.1,1.0,9940.2,0.0,57.2,2.2,1.7,0.00017114069571083632,0.95,0.0,0.7833333333333334
