density,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary,mean_aspect_ratio_std,fraction_elongated_std,fraction_round_std,fraction_binary_std,n_realizations
0.4,2.5765915111607143,0.8578335200892858,0.051006593749999954,0.09115989508928565,0.04003948680522817,0.02858610726092741,0.019122329084738092,0.012852019180024599,64
0.45,2.5452466540178573,0.8310893348214285,0.06584924999999996,0.1030613258928571,0.04789935149420233,0.03694425656138559,0.02275467590685867,0.017077948852019822,64
0.5,2.4746470669642857,0.7765113928571429,0.09971147098214281,0.12377700669642855,0.04968321699663851,0.03135078436395462,0.024475443843024414,0.01023401136867436,64
0.6,2.346230881696428,0.6863758147321428,0.16406145982142853,0.14956268080357138,0.07145373215114018,0.04079587397759933,0.036481204453019805,0.008730177345532324,64
0.7,2.120338723214286,0.5437325089285714,0.2806663392857143,0.17560117633928568,0.07523289477593309,0.04060882052652848,0.037922529919101895,0.007869973229114518,64
0.75,1.9398554151785712,0.4424611049107143,0.37972195982142853,0.17781687276785713,0.07561496019967558,0.040970319190169566,0.03901143077007711,0.00850572526165955,64
0.76,1.9120200959821427,0.4273228258928571,0.39704483258928575,0.1756322946428571,0.08209753467376232,0.04366124187250462,0.043247642945234234,0.008299570504999661,64
0.77,1.8643349754464287,0.40096760267857146,0.42199544419642854,0.17703682142857136,0.09373965108997424,0.04964012329169114,0.04892360430455924,0.00806722759022884,64
0.78,1.8218537879464285,0.37842280357142855,0.4483168058035714,0.17326039508928565,0.0765566233610928,0.03976364200607918,0.04156269575305881,0.008604429552994985,64
0.79,1.785162265625,0.35890514732142853,0.4694514977678571,0.1716433214285714,0.09991756618900914,0.05241482033423263,0.05298899821780303,0.007417705464513715,64
0.8,1.7436524665178572,0.3367524107142857,0.49412187723214285,0.16912567187499997,0.11319227871037724,0.05853172517361956,0.061274021843156966,0.008851868925580571,64
0.81,1.670585424107143,0.2990033214285714,0.5353223772321429,0.16567428348214283,0.10516940154821815,0.05415081110348701,0.05716778625945886,0.008745003416602688,64
0.82,1.6141627209821428,0.26991166741071426,0.5691627120535715,0.16092559151785713,0.10666317546780098,0.053533691891791926,0.058647673519446636,0.008158706813742351,64
0.83,1.5643996830357143,0.24675601116071427,0.6013773102678572,0.15186667187499997,0.12078543749689957,0.0608174986207384,0.0669940030833135,0.009559475199601243,64
0.84,1.4738954754464286,0.2026451026785714,0.6564305669642857,0.14092439508928567,0.10369704274340051,0.04983028590460109,0.059902171155521794,0.011880583548505689,64
0.845,1.4312497254464287,0.18274445982142853,0.6837668950892857,0.13348861160714282,0.12402142064292417,0.058044212711339416,0.07368222397707253,0.017308093600824276,64
0.848,1.3325207946428572,0.13940058705357142,0.7471955691964285,0.11340391964285709,0.1943110096033874,0.08642911395808102,0.1205618999768535,0.035548244839203505,64
0.85,1.2160303928571428,0.08892590624999999,0.8238377276785713,0.08723621874999996,0.20152326858366496,0.0879133436963276,0.12817385870982456,0.041323937289954996,64
0.852,1.1825727566964286,0.07514684374999998,0.8474258303571429,0.0774272433035714,0.20634320481817664,0.08926786995094788,0.13380658059526782,0.045062827090376636,64
0.855,1.1213924687499999,0.048331450892857133,0.8906810379464286,0.060987479910714244,0.1763596545073165,0.07532139464060597,0.11716316909536,0.04254103101865085,64
0.86,1.050525716517857,0.019226343749999993,0.945523513392857,0.035250156249999956,0.12923374541183263,0.054768360583982725,0.0876589507610073,0.03327297147581499,64
0.87,1.0045991562499998,0.0007682187499999985,0.9853759687500001,0.013855781249999982,0.01400548062703477,0.005176641579888148,0.011231988731126448,0.0061544836139649705,64
0.88,1.0010613281249998,0.0,0.9941396250000001,0.005860374999999971,0.00023608681848655313,0.0,0.0010822660456887142,0.0010822660456887593,64
0.9,1.000161546875,0.0,0.998934921875,0.001065078124999975,7.470660702330652e-05,0.0,0.00043710070412395917,0.0004371007041239199,64
