step,msd_global,n_round,n_elongated,density
11500,77620.71677957497,0.0,500.0,0.01
11600,78629.7748827579,0.015625,499.984375,0.01
11700,79601.61123194618,0.046875,499.953125,0.01
11800,80566.2178961814,0.0625,499.9375,0.01
11900,81597.46108606327,0.03125,499.96875,0.01
12000,82674.47252940029,0.0,500.0,0.01
12100,83602.6061816258,0.03125,499.96875,0.01
12200,84615.81470385953,0.046875,499.953125,0.01
12300,85670.86159003446,0.015625,499.984375,0.01
12400,86637.22568485611,0.015625,499.984375,0.01
12500,87640.66189041304,0.015625,499.984375,0.01
12600,88510.87611421681,0.03125,499.96875,0.01
12700,89467.49393133224,0.03125,499.96875,0.01
12800,90385.3817435843,0.0,500.0,0.01
12900,91436.43230518806,0.03125,499.96875,0.01
13000,92505.70869570805,0.015625,499.984375,0.01
13100,93609.41825471212,0.015625,499.984375,0.01
13200,94693.1173565302,0.015625,499.984375,0.01
13300,95688.93412746706,0.046875,499.953125,0.01
13400,96679.57844021537,0.046875,499.953125,0.01
13500,97629.4002700895,0.03125,499.96875,0.01
13600,98622.63307818312,0.03125,499.96875,0.01
13700,99725.75301735713,0.0,500.0,0.01
13800,100682.2719945566,0.046875,499.953125,0.01
13900,101742.34727715763,0.0625,499.9375,0.01
14000,102961.8610718182,0.03125,499.96875,0.01
14100,103982.43145233735,0.015625,499.984375,0.01
14200,104987.97219253599,0.03125,499.96875,0.01
14300,105963.59236130798,0.046875,499.953125,0.01
14400,107093.34806363692,0.0,500.0,0.01
14500,108143.27773486894,0.03125,499.96875,0.01
14600,109186.57703323718,0.0,500.0,0.01
14700,110039.26310467559,0.0,500.0,0.01
14800,111031.42496990431,0.015625,499.984375,0.01
14900,112004.10082072076,0.03125,499.96875,0.01
15000,113033.47483397748,0.0,500.0,0.01
15100,113986.8129061043,0.015625,499.984375,0.01
15200,115078.9987253796,0.0,500.0,0.01
15300,116102.70113504869,0.0,500.0,0.01
15400,117071.80737816158,0.015625,499.984375,0.01
15500,117989.16861545181,0.03125,499.96875,0.01
15600,119044.0748389565,0.03125,499.96875,0.01
15700,119991.24359816113,0.015625,499.984375,0.01
15800,120984.00338232915,0.0,500.0,0.01
15900,122021.39296144526,0.0,500.0,0.01
16000,123028.83406757908,0.09375,499.90625,0.01
16100,124157.01616522277,0.03125,499.96875,0.01
16200,125229.54774777599,0.03125,499.96875,0.01
16300,126307.06182935803,0.015625,499.984375,0.01
16400,127261.08852807025,0.015625,499.984375,0.01
16500,128336.80147994563,0.046875,499.953125,0.01
16600,129412.58300497006,0.0,500.0,0.01
16700,130389.15838835397,0.03125,499.96875,0.01
16800,131461.70589364602,0.0,500.0,0.01
16900,132526.6422199034,0.03125,499.96875,0.01
17000,133577.04025992056,0.046875,499.953125,0.01
17100,134594.19596202832,0.015625,499.984375,0.01
17200,135505.31314122002,0.03125,499.96875,0.01
