step,msd_global,msd_round,msd_elongated,n_round,n_elongated
0,0.0,0.0,,500,0
100,11.7715444957056,11.7715444957056,,500,0
200,271.46463543796705,13.802626364107262,271.980992169578,1,499
300,440.1286330409147,,440.1286330409147,0,500
400,706.3230738652719,,706.3230738652719,0,500
500,903.1715841676917,,903.1715841676917,0,500
600,1101.7190944976476,,1101.7190944976476,0,500
700,1318.2281496676073,,1318.2281496676073,0,500
800,1570.273978804925,,1570.273978804925,0,500
900,1847.255932035381,,1847.255932035381,0,500
1000,2079.8110885187734,1492.9292452613317,2080.987204437125,1,499
1100,2318.4492444199527,,2318.4492444199527,0,500
1200,2578.1109815491354,2972.3675037445323,2577.320888318283,1,499
1300,2801.877311742601,,2801.877311742601,0,500
1400,3057.0685565472622,,3057.0685565472622,0,500
1500,3295.449049742099,,3295.449049742099,0,500
1600,3548.0248469688054,,3548.0248469688054,0,500
1700,3770.6272942821383,,3770.6272942821383,0,500
1800,4000.306759855107,,4000.306759855107,0,500
1900,4210.908004400586,,4210.908004400586,0,500
2000,4459.053416112751,,4459.053416112751,0,500
2100,4763.0749196872575,8576.907988284238,4755.431967645981,1,499
2200,4941.47190640799,10102.694544569234,4931.128774868587,1,499
2300,5139.747625757817,,5139.747625757817,0,500
2400,5325.6125618497545,,5325.6125618497545,0,500
2500,5513.915015983742,,5513.915015983742,0,500
2600,5852.593246187526,,5852.593246187526,0,500
2700,6084.966846636475,,6084.966846636475,0,500
2800,6401.4728586291185,,6401.4728586291185,0,500
2900,6741.879629303641,1894.5518849769005,6751.593712959608,1,499
3000,7030.024598423895,,7030.024598423895,0,500
3100,7237.105898247856,11336.77315343083,7228.890132205407,1,499
3200,7357.553271563038,,7357.553271563038,0,500
3300,7560.486933739911,,7560.486933739911,0,500
3400,7880.040450494549,10166.748899917906,7875.4578684315775,1,499
3500,7987.9831069113025,,7987.9831069113025,0,500
3600,8183.048972136832,,8183.048972136832,0,500
3700,8500.462789611123,19485.481574232435,8478.448723910478,1,499
3800,8622.109848453041,,8622.109848453041,0,500
3900,8870.615169433719,7955.9143150246255,8872.448237278226,1,499
4000,9062.0577079782,,9062.0577079782,0,500
4100,9246.73392744602,13600.76877227956,9238.00840671489,1,499
4200,9439.981851231292,,9439.981851231292,0,500
4300,9656.765944454593,,9656.765944454593,0,500
4400,9995.060579598608,7787.570167867265,9999.484408079032,1,499
4500,10129.254369365946,13387.603592213927,10116.168629515148,2,498
4600,10158.807180888964,4468.9176093648675,10204.693387110932,4,496
4700,10338.191639349425,6849.335784858158,10352.203108644571,2,498
4800,10779.721794160809,,10779.721794160809,0,500
4900,11173.418719626885,,11173.418719626885,0,500
5000,11692.677344949578,1660.6262214701474,11712.781655818273,1,499
5100,12085.783718675066,9995.494609453794,12089.972674805767,1,499
5200,12494.412888215458,10069.63964398796,12499.272153233951,1,499
5300,12651.597232101656,,12651.597232101656,0,500
5400,12902.394094541814,,12902.394094541814,0,500
5500,13103.592149290047,,13103.592149290047,0,500
5600,13463.635455058176,,13463.635455058176,0,500
5700,13832.124508172248,,13832.124508172248,0,500
5800,14220.795764037048,4391.875678283083,14240.492998677837,1,499
5900,14637.987967712586,5106.62357641844,14676.266539565173,2,498
6000,14911.560600485369,18482.176238945685,14890.007588583194,3,497
6100,15357.441737145167,,15357.441737145167,0,500
6200,15732.08859446737,,15732.08859446737,0,500
6300,15972.032354417312,,15972.032354417312,0,500
6400,16134.309033724165,,16134.309033724165,0,500
6500,16407.258464028408,,16407.258464028408,0,500
6600,16920.58580922439,,16920.58580922439,0,500
6700,17327.251867689654,,17327.251867689654,0,500
6800,17761.148637338803,,17761.148637338803,0,500
6900,17888.615313847233,,17888.615313847233,0,500
7000,18041.60739854002,,18041.60739854002,0,500
7100,18197.71677051717,,18197.71677051717,0,500
7200,18438.444533046044,,18438.444533046044,0,500
7300,18468.063268594124,,18468.063268594124,0,500
7400,18538.273819890463,53304.97646820696,18468.601069092227,1,499
7500,18672.66245835905,38652.781051318576,18552.05812077579,3,497
7600,18984.077031235956,24313.613795353176,18919.34581547745,6,494
7700,19549.994565940477,1421.877755937709,19586.323457343286,1,499
7800,19894.832762014103,2504.390468982879,19964.67389572106,2,498
7900,19740.506444953284,1267.9976731905406,19777.52550060812,1,499
8000,19845.33430597958,11959.57156607633,19877.004035858707,2,498
8100,20050.67468701949,,20050.67468701949,0,500
8200,20117.786417168805,22152.41443592198,20109.61522030634,2,498
8300,20187.256639623967,,20187.256639623967,0,500
8400,20322.89163683997,,20322.89163683997,0,500
8500,20459.291610656648,,20459.291610656648,0,500
8600,20829.769935754874,30559.720907116905,20810.271036012666,1,499
8700,21307.49156673424,71093.65070630913,21207.719704731087,1,499
8800,21637.709502840156,34074.76521127468,21587.76148794685,2,498
8900,22081.554364434778,,22081.554364434778,0,500
9000,22452.017299334493,,22452.017299334493,0,500
9100,22697.17116942403,,22697.17116942403,0,500
9200,22874.257442074366,,22874.257442074366,0,500
9300,23182.120282535456,35445.69991395383,23157.543970648847,1,499
9400,23631.405394845257,,23631.405394845257,0,500
9500,24071.765732307464,,24071.765732307464,0,500
9600,24462.5507072242,,24462.5507072242,0,500
9700,24900.404623448834,,24900.404623448834,0,500
9800,25261.843962503317,,25261.843962503317,0,500
9900,25596.742179525452,,25596.742179525452,0,500
10000,26017.61694612504,,26017.61694612504,0,500
10100,26497.58409983315,,26497.58409983315,0,500
10200,27061.64575748252,12972.40230620342,27089.88071429871,1,499
10300,27488.17857067806,,27488.17857067806,0,500
10400,27745.476034667478,67006.84741755982,27666.795931695746,1,499
10500,27900.624744401997,21946.286786226283,27936.56642221795,3,497
10600,28090.871667800653,,28090.871667800653,0,500
10700,28524.196963236882,,28524.196963236882,0,500
10800,28646.85394967294,,28646.85394967294,0,500
10900,28863.09837532594,,28863.09837532594,0,500
11000,29044.811117633446,46387.075767800554,28975.163468435985,2,498
11100,29368.431516084784,47969.35050236774,29256.15232703277,3,497
11200,29315.99975860667,23324.701832137278,29388.768559333024,6,494
11300,29416.237074641416,24985.501148370317,29434.031194827247,2,498
11400,29843.25196107766,,29843.25196107766,0,500
11500,30247.37101614175,,30247.37101614175,0,500
11600,30478.25294307916,6450.67895577909,30526.404393955512,1,499
11700,30836.281394749658,,30836.281394749658,0,500
11800,30873.196414870206,,30873.196414870206,0,500
11900,31019.62742788118,,31019.62742788118,0,500
12000,31150.56968528483,,31150.56968528483,0,500
12100,31535.163876781575,36892.81273825364,31513.647214687313,2,498
12200,31311.794185510327,7978.027202838042,31405.50409307126,2,498
12300,31403.080752930447,83552.72228850349,31298.572453259956,1,499
12400,31669.408496338536,73647.55757729398,31585.283949082113,1,499
12500,31955.518884717523,8491.12480117523,32002.541718552275,1,499
12600,32494.074232645107,8322.873944416533,32542.513511779827,1,499
12700,33037.589565865266,,33037.589565865266,0,500
12800,33646.98532402918,11177.779566447529,33737.223098156006,2,498
12900,34274.77254636117,34402.55823842279,34274.51646280995,1,499
13000,34742.14372943166,,34742.14372943166,0,500
13100,35309.34732981858,,35309.34732981858,0,500
13200,35845.699128239634,,35845.699128239634,0,500
13300,36126.45956862351,,36126.45956862351,0,500
13400,36036.71740239314,,36036.71740239314,0,500
13500,36492.80271120335,130662.02282921867,36304.08683922337,1,499
13600,36974.93570464725,,36974.93570464725,0,500
13700,37705.43213752192,,37705.43213752192,0,500
13800,38148.606582388944,,38148.606582388944,0,500
13900,38576.89851257641,,38576.89851257641,0,500
14000,38965.7940424748,,38965.7940424748,0,500
14100,39170.08597577577,,39170.08597577577,0,500
14200,39608.49088985574,45982.6139522068,39595.717096143606,1,499
14300,39954.46458341841,,39954.46458341841,0,500
14400,40121.01619690025,,40121.01619690025,0,500
14500,40353.93676073876,,40353.93676073876,0,500
14600,40793.7164424209,,40793.7164424209,0,500
14700,41336.60341612443,39613.15068321873,41340.05722921642,1,499
14800,41420.72659269723,,41420.72659269723,0,500
14900,41896.82373768158,,41896.82373768158,0,500
15000,41900.37886549885,,41900.37886549885,0,500
15100,42348.50323704856,,42348.50323704856,0,500
15200,42321.02602617657,,42321.02602617657,0,500
15300,42529.31237376216,,42529.31237376216,0,500
15400,42974.440260297575,,42974.440260297575,0,500
15500,43177.23263697567,,43177.23263697567,0,500
15600,42921.7806971194,,42921.7806971194,0,500
15700,42992.269801451,,42992.269801451,0,500
15800,43395.61459304853,,43395.61459304853,0,500
15900,43135.25021984988,,43135.25021984988,0,500
16000,43101.55293403246,,43101.55293403246,0,500
16100,43378.48670952584,,43378.48670952584,0,500
16200,44033.134940312026,,44033.134940312026,0,500
16300,44336.46104335381,,44336.46104335381,0,500
16400,44970.024636145456,,44970.024636145456,0,500
16500,45538.58041637833,,45538.58041637833,0,500
16600,46170.79249550154,,46170.79249550154,0,500
16700,46971.39981113687,,46971.39981113687,0,500
16800,47619.73899929952,17688.757158813445,47739.943745646866,2,498
16900,48363.268473671465,,48363.268473671465,0,500
17000,49259.19330054028,,49259.19330054028,0,500
17100,49846.79815969793,,49846.79815969793,0,500
17200,50307.34137541404,,50307.34137541404,0,500
17300,50699.273469720436,,50699.273469720436,0,500
17400,51233.40487946193,,51233.40487946193,0,500
17500,51788.90033696456,,51788.90033696456,0,500
17600,52565.773558778616,,52565.773558778616,0,500
17700,53177.61383796867,47928.03952891234,53188.13402696477,1,499
17800,53538.82346075299,,53538.82346075299,0,500
17900,54281.037739712236,18165.068152844666,54353.41443227109,1,499
18000,54614.33446031292,51389.44332725051,54620.79716799441,1,499
18100,55539.57560654874,,55539.57560654874,0,500
18200,55582.69479427601,,55582.69479427601,0,500
18300,55878.65683082029,,55878.65683082029,0,500
18400,56446.92225731365,,56446.92225731365,0,500
18500,56577.68738082932,,56577.68738082932,0,500
18600,56293.79336761296,23078.50487035621,56360.35707201628,1,499
18700,56195.22649709952,7793.682314407066,56292.22357962996,1,499
18800,56249.41800149946,2396.0858460703994,56357.34051082898,1,499
18900,56521.15228378431,,56521.15228378431,0,500
19000,56927.50034219722,23259.67288263712,57062.712500669346,2,498
19100,57541.84386740357,68815.5459307487,57473.79335193066,3,497
19200,58023.079938806986,,58023.079938806986,0,500
19300,58251.67102956436,,58251.67102956436,0,500
19400,58809.228513029615,,58809.228513029615,0,500
19500,58875.70295280127,,58875.70295280127,0,500
19600,58925.983493991705,,58925.983493991705,0,500
19700,58409.534786735225,43998.76904322285,58496.52130027755,3,497
19800,58519.17307538071,49186.117912423324,58613.44635985502,5,495
19900,58758.98703693413,76489.4453123141,58687.780377193645,2,498
20000,59470.55270023631,104131.00556999657,59381.05279468569,1,499
20100,60168.713011844105,,60168.713011844105,0,500
20200,60400.544767502084,,60400.544767502084,0,500
20300,60681.16173913015,,60681.16173913015,0,500
20400,61070.92527570274,,61070.92527570274,0,500
20500,61225.33466401613,44900.418193937,61258.049927483225,1,499
20600,61883.095380639235,31335.62191562545,61944.31276233265,1,499
20700,62375.354284259,,62375.354284259,0,500
20800,62479.04091612726,,62479.04091612726,0,500
20900,63067.96589156002,,63067.96589156002,0,500
21000,63303.377117010015,,63303.377117010015,0,500
21100,63725.09687672315,,63725.09687672315,0,500
21200,64337.71328434251,,64337.71328434251,0,500
21300,64977.140399298965,,64977.140399298965,0,500
21400,65634.3866612063,,65634.3866612063,0,500
21500,65709.61608261107,,65709.61608261107,0,500
21600,66397.05673524317,,66397.05673524317,0,500
21700,67178.10334395073,,67178.10334395073,0,500
21800,68436.53655320949,,68436.53655320949,0,500
21900,69181.16063569683,,69181.16063569683,0,500
22000,69424.23319470683,,69424.23319470683,0,500
22100,69460.11161587441,,69460.11161587441,0,500
22200,70172.12883524799,53749.46685935352,70205.03998149229,1,499
22300,70768.75148895914,61117.13913882643,70788.09339747642,1,499
22400,70878.99396593697,41072.82838509118,70998.69744216528,2,498
22500,71100.97556538394,41656.11218158133,71219.22802877269,2,498
22600,71396.497854689,42037.25871014419,71514.40644563094,2,498
22700,71696.08982337425,,71696.08982337425,0,500
