step,mean_aspect_ratio,fraction_elongated
100,1.0,0.0
200,1.0052500000000002,0.0013125000000000007
300,1.006625,0.0016562500000000002
400,1.0086250000000003,0.00215625
500,1.01025,0.0025625000000000005
600,1.012375,0.0030937500000000006
700,1.0151250000000003,0.0037812500000000008
800,1.0191250000000003,0.004781250000000001
900,1.02225,0.0055625000000000015
1000,1.025625,0.0064062500000000005
1100,1.0314999999999999,0.007875000000000002
1200,1.037125,0.009281250000000001
1300,1.0425,0.010625
1400,1.0471249999999999,0.011781249999999998
1500,1.0506250000000001,0.012656249999999999
1600,1.055375,0.01384375
1700,1.058375,0.014593749999999999
1800,1.062875,0.01571875
1900,1.06675,0.0166875
2000,1.073,0.01825
2100,1.0790000000000002,0.01975
2200,1.083,0.02075
2300,1.08525,0.021312499999999998
2400,1.089375,0.02234375
2500,1.0892500000000003,0.0223125
2600,1.09125,0.0228125
2700,1.092375,0.02309375
2800,1.095625,0.023906249999999997
2900,1.0973750000000002,0.024343749999999997
3000,1.1,0.024999999999999998
3100,1.1018750000000002,0.02546875
3200,1.102375,0.02559375
3300,1.1050000000000002,0.02625
3400,1.1048750000000003,0.026218750000000002
3500,1.1047500000000003,0.0261875
3600,1.10325,0.025812499999999995
3700,1.1031250000000001,0.025781249999999995
3800,1.1037500000000002,0.0259375
3900,1.1035000000000001,0.025875000000000002
4000,1.106375,0.026593749999999996
4100,1.106375,0.02659375
4200,1.104375,0.02609375
4300,1.1066250000000002,0.026656250000000003
4400,1.1087500000000001,0.027187499999999996
4500,1.111375,0.027843749999999997
4600,1.1137500000000002,0.0284375
4700,1.114,0.028499999999999998
4800,1.1141250000000003,0.028531249999999998
4900,1.1148750000000003,0.028718749999999998
5000,1.1165000000000003,0.029124999999999998
5100,1.11775,0.029437500000000002
5200,1.11875,0.029687500000000002
5300,1.118875,0.029718750000000002
5400,1.120125,0.030031250000000002
5500,1.11725,0.029312500000000002
5600,1.1175000000000002,0.029375000000000002
5700,1.1185,0.029625000000000002
5800,1.1187500000000001,0.029687500000000002
5900,1.11975,0.029937500000000002
6000,1.12125,0.030312500000000003
6100,1.124,0.031000000000000003
6200,1.1245000000000003,0.031125000000000003
6300,1.12625,0.0315625
6400,1.1283750000000001,0.032093750000000004
6500,1.1298750000000002,0.032468750000000005
6600,1.12775,0.0319375
6700,1.1263750000000001,0.031593750000000004
6800,1.1227500000000001,0.030687500000000006
6900,1.122625,0.030656250000000003
7000,1.12275,0.030687500000000006
7100,1.12225,0.0305625
7200,1.1217500000000002,0.0304375
7300,1.120875,0.030218750000000003
7400,1.1233750000000002,0.030843750000000003
7500,1.1265,0.031625
7600,1.129375,0.032343750000000004
7700,1.1330000000000005,0.03325
7800,1.135,0.033749999999999995
7900,1.1355000000000002,0.033875
8000,1.1367499999999997,0.034187499999999996
8100,1.1365,0.034124999999999996
8200,1.1376249999999997,0.03440625
8300,1.1398750000000002,0.03496874999999999
8400,1.1405,0.035124999999999997
8500,1.1405,0.035124999999999997
8600,1.142875,0.035718749999999994
8700,1.143625,0.035906249999999994
8800,1.1436250000000001,0.035906249999999994
8900,1.1451250000000002,0.03628125000000001
9000,1.145625,0.03640624999999999
9100,1.147,0.03674999999999999
9200,1.148125,0.037031249999999995
9300,1.1491250000000002,0.037281249999999995
9400,1.1523750000000001,0.038093749999999996
9500,1.153,0.03824999999999999
9600,1.1554999999999997,0.03887499999999999
9700,1.15825,0.039562499999999994
9800,1.160625,0.04015625
9900,1.164,0.040999999999999995
10000,1.1653750000000003,0.04134374999999999
10100,1.167125,0.04178125
10200,1.1693750000000003,0.04234375
10300,1.170375,0.04259375
10400,1.171375,0.04284374999999999
10500,1.169375,0.04234374999999999
10600,1.1715000000000002,0.042874999999999996
10700,1.1723750000000002,0.04309374999999999
10800,1.17575,0.0439375
10900,1.1784999999999999,0.044625
11000,1.179375,0.04484375
11100,1.179375,0.044843749999999995
11200,1.18175,0.04543749999999999
11300,1.1830000000000003,0.04574999999999999
11400,1.1818750000000002,0.04546875
11500,1.183375,0.04584375
11600,1.1841249999999999,0.046031249999999996
11700,1.1858750000000002,0.04646875
11800,1.1901249999999999,0.047531250000000004
11900,1.1895,0.047374999999999994
12000,1.192625,0.048156250000000005
12100,1.195125,0.048781250000000005
12200,1.198375,0.04959375
12300,1.2016250000000002,0.05040624999999999
12400,1.204875,0.05121875
12500,1.2085000000000001,0.052125
12600,1.2120000000000004,0.05299999999999999
12700,1.214,0.05349999999999999
12800,1.2145000000000001,0.053625000000000006
12900,1.2163750000000002,0.054093749999999996
13000,1.22,0.05499999999999999
13100,1.222125,0.05553125
13200,1.222625,0.05565624999999999
13300,1.2241250000000001,0.05603125
13400,1.2246250000000003,0.05615625
13500,1.229375,0.05734374999999999
13600,1.232,0.058
13700,1.2309999999999999,0.057749999999999996
13800,1.2309999999999999,0.05775
13900,1.23275,0.058187499999999996
14000,1.2325000000000002,0.058124999999999996
14100,1.2333749999999997,0.05834375000000001
14200,1.23525,0.0588125
14300,1.23825,0.05956250000000001
14400,1.2397500000000001,0.059937500000000005
14500,1.24225,0.06056250000000001
14600,1.2443750000000002,0.06109375
14700,1.2455,0.06137499999999999
14800,1.2481250000000002,0.062031249999999996
14900,1.2502500000000003,0.0625625
15000,1.2515,0.06287499999999999
15100,1.2535,0.063375
15200,1.256,0.064
15300,1.25925,0.06481250000000001
15400,1.2618750000000003,0.06546874999999999
15500,1.2626250000000003,0.06565625
15600,1.2641250000000002,0.06603125
15700,1.2653750000000001,0.06634374999999999
15800,1.2670000000000003,0.06675
15900,1.2692500000000002,0.06731250000000001
16000,1.269875,0.06746875000000001
16100,1.2716250000000002,0.06790625000000002
16200,1.2731250000000003,0.06828124999999999
16300,1.276,0.069
16400,1.2771249999999998,0.06928125
16500,1.27925,0.0698125
16600,1.2822500000000003,0.0705625
16700,1.2837500000000002,0.07093749999999999
16800,1.2846250000000003,0.07115624999999999
16900,1.28825,0.0720625
17000,1.2890000000000001,0.07225
17100,1.2896250000000002,0.07240624999999999
17200,1.2915,0.072875
17300,1.29175,0.07293749999999997
17400,1.2942500000000001,0.0735625
17500,1.2972500000000002,0.07431249999999999
17600,1.299375,0.07484375
17700,1.304125,0.07603125
17800,1.3079999999999998,0.07700000000000001
17900,1.3115,0.07787499999999999
18000,1.316125,0.07903125
18100,1.3175,0.07937499999999999
18200,1.319125,0.07978125
18300,1.318125,0.07953125
18400,1.3175,0.07937499999999999
18500,1.3195000000000001,0.079875
18600,1.32225,0.0805625
18700,1.3282500000000002,0.08206249999999998
18800,1.330875,0.08271875000000001
18900,1.3333749999999998,0.08334375
19000,1.337875,0.08446875
19100,1.342,0.08549999999999998
19200,1.344125,0.08603124999999999
19300,1.347125,0.08678124999999998
19400,1.3504999999999998,0.08762500000000001
19500,1.3541249999999998,0.08853125
19600,1.3573749999999998,0.08934374999999997
19700,1.3612499999999996,0.09031249999999999
19800,1.36525,0.0913125
19900,1.369875,0.09246875
20000,1.372,0.09300000000000001
20100,1.3763750000000001,0.09409374999999999
20200,1.3793749999999998,0.09484375
20300,1.38375,0.0959375
20400,1.3865,0.09662499999999999
20500,1.3900000000000001,0.0975
20600,1.3938749999999998,0.09846875
20700,1.39775,0.0994375
20800,1.40075,0.10018750000000001
20900,1.4036249999999997,0.10090624999999999
21000,1.407375,0.10184375
21100,1.40975,0.1024375
21200,1.413875,0.10346875
21300,1.41775,0.10443749999999999
21400,1.4212499999999997,0.10531249999999999
21500,1.425125,0.10628125000000001
21600,1.4289999999999996,0.10725
21700,1.4311250000000002,0.10778125
21800,1.43125,0.1078125
21900,1.431375,0.10784375
22000,1.4318750000000002,0.10796875
22100,1.43425,0.10856249999999999
22200,1.4333749999999996,0.10834374999999999
22300,1.4378749999999998,0.10946875000000002
22400,1.4420000000000002,0.1105
22500,1.4471249999999998,0.11178124999999998
22600,1.4481249999999999,0.11203125
22700,1.4497499999999999,0.11243749999999998
22800,1.4524999999999997,0.113125
22900,1.4536250000000002,0.11340625
23000,1.4542499999999998,0.1135625
23100,1.457125,0.11428125000000001
23200,1.460375,0.11509375
23300,1.4661250000000001,0.11653125
23400,1.4691249999999998,0.11728125
23500,1.4718749999999998,0.11796874999999998
23600,1.4743749999999998,0.11859375
23700,1.478375,0.11959374999999998
23800,1.4806249999999999,0.12015625
23900,1.484625,0.12115625000000001
24000,1.4854999999999998,0.121375
24100,1.489375,0.12234375
24200,1.49375,0.12343749999999999
24300,1.496625,0.12415624999999998
24400,1.4985,0.12462499999999999
24500,1.5025,0.125625
24600,1.5052499999999995,0.1263125
24700,1.508,0.127
24800,1.5139999999999998,0.1285
24900,1.5191250000000003,0.12978125
25000,1.5226249999999997,0.13065625000000003
25100,1.5263749999999998,0.13159375
25200,1.5289999999999997,0.13225
25300,1.5305000000000004,0.132625
25400,1.5310000000000001,0.13275
25500,1.5334999999999999,0.133375
25600,1.5371249999999999,0.13428125
25700,1.541625,0.13540625
25800,1.544875,0.13621874999999997
25900,1.5461249999999997,0.13653125
26000,1.5474999999999997,0.13687500000000002
26100,1.5476249999999998,0.13690625
26200,1.55075,0.1376875
26300,1.55275,0.13818750000000002
26400,1.55575,0.13893750000000002
26500,1.55875,0.13968749999999996
26600,1.5613749999999997,0.14034375
26700,1.5642500000000001,0.1410625
26800,1.5692500000000003,0.1423125
26900,1.57475,0.14368750000000002
27000,1.5765,0.14412499999999998
27100,1.5801250000000002,0.14503125000000003
27200,1.5837499999999995,0.1459375
27300,1.5883749999999999,0.14709375
27400,1.590125,0.14753124999999997
27500,1.5925,0.14812499999999998
27600,1.593125,0.14828125
27700,1.594875,0.14871874999999998
27800,1.5963749999999999,0.14909375
27900,1.5973750000000002,0.14934374999999997
28000,1.5979999999999999,0.14950000000000002
28100,1.6005,0.15012499999999998
28200,1.6014999999999997,0.150375
28300,1.60375,0.1509375
28400,1.6075,0.151875
28500,1.609,0.15225
28600,1.610625,0.15265625000000002
28700,1.6112499999999998,0.1528125
28800,1.612625,0.15315625
28900,1.612625,0.15315625
29000,1.6148749999999998,0.15371875
29100,1.6184999999999998,0.154625
29200,1.6211249999999997,0.15528125
29300,1.623125,0.15578124999999998
29400,1.6256250000000003,0.15640625
29500,1.6278750000000002,0.15696875
29600,1.629625,0.15740625000000003
29700,1.63075,0.1576875
29800,1.632625,0.15815625
29900,1.633875,0.15846875
30000,1.63425,0.1585625
30100,1.6357500000000003,0.15893749999999998
30200,1.6367500000000001,0.15918749999999998
30300,1.639625,0.15990625
30400,1.642125,0.16053125
30500,1.6429999999999996,0.16075
30600,1.6459999999999997,0.1615
30700,1.6505,0.162625
30800,1.6523750000000001,0.16309374999999998
30900,1.6537499999999998,0.1634375
31000,1.6545,0.163625
31100,1.656625,0.16415625
31200,1.6580000000000001,0.16449999999999998
31300,1.6597499999999998,0.1649375
31400,1.6607500000000002,0.1651875
31500,1.661,0.16524999999999998
31600,1.6623750000000002,0.16559374999999998
31700,1.6646250000000002,0.16615624999999998
31800,1.66775,0.1669375
31900,1.6685,0.167125
32000,1.669875,0.16746875000000003
32100,1.6712500000000001,0.1678125
32200,1.6721249999999999,0.16803125
32300,1.6745,0.168625
32400,1.6768750000000001,0.16921874999999997
32500,1.678625,0.16965624999999998
32600,1.68025,0.1700625
32700,1.6797499999999999,0.1699375
32800,1.6812500000000001,0.1703125
32900,1.6824999999999999,0.17062499999999997
33000,1.68375,0.17093749999999996
33100,1.6848749999999997,0.17121874999999998
33200,1.6849999999999998,0.17125
33300,1.6856250000000002,0.17140625
33400,1.6865,0.17162499999999997
33500,1.68825,0.1720625
33600,1.6885,0.172125
33700,1.68975,0.1724375
33800,1.6898750000000002,0.17246875
33900,1.6921249999999999,0.17303125
34000,1.6933749999999999,0.17334375000000002
34100,1.695125,0.17378125
34200,1.697125,0.17428125
34300,1.698875,0.17471875
34400,1.6995,0.174875
34500,1.699375,0.17484375
34600,1.7,0.175
34700,1.701,0.17525000000000002
34800,1.702,0.1755
34900,1.7021249999999999,0.17553125
35000,1.702,0.1755
35100,1.7027500000000002,0.1756875
35200,1.703375,0.17584375
35300,1.704375,0.17609375
35400,1.7048750000000001,0.17621874999999998
35500,1.70625,0.1765625
35600,1.708875,0.17721874999999998
35700,1.7109999999999999,0.17775000000000002
35800,1.712125,0.17803125
35900,1.713125,0.17828124999999997
36000,1.7131249999999998,0.17828124999999997
36100,1.7132500000000002,0.1783125
36200,1.714,0.1785
36300,1.71425,0.1785625
36400,1.71475,0.1786875
36500,1.715375,0.17884375
36600,1.7153749999999999,0.17884375
36700,1.7162499999999998,0.17906249999999999
36800,1.7163749999999998,0.17909375
36900,1.7163749999999998,0.17909375
37000,1.7163749999999998,0.17909375000000002
37100,1.717125,0.17928125000000003
37200,1.7169999999999999,0.17925000000000002
37300,1.71575,0.17893749999999997
37400,1.7168750000000002,0.17921875
37500,1.71725,0.1793125
37600,1.717875,0.17946875
37700,1.717,0.17925000000000002
37800,1.71625,0.1790625
37900,1.716625,0.17915625
38000,1.7165000000000001,0.179125
38100,1.71675,0.1791875
38200,1.7165,0.179125
38300,1.71725,0.1793125
38400,1.7181250000000001,0.17953125
38500,1.7187500000000002,0.1796875
38600,1.719,0.17975
38700,1.7197500000000001,0.1799375
38800,1.72025,0.18006250000000001
38900,1.720875,0.18021875
39000,1.7214999999999998,0.18037499999999998
39100,1.722625,0.18065625000000002
39200,1.72375,0.1809375
39300,1.725,0.18125
39400,1.725625,0.18140625
39500,1.726,0.1815
39600,1.727625,0.18190625
39700,1.728375,0.18209375
39800,1.7305,0.18262499999999998
39900,1.7315,0.182875
40000,1.7316250000000002,0.18290625
40100,1.732125,0.18303125
40200,1.73275,0.1831875
40300,1.733625,0.18340625000000002
40400,1.73325,0.1833125
40500,1.73375,0.1834375
40600,1.73275,0.18318749999999998
40700,1.7326249999999999,0.18315625
40800,1.733125,0.18328124999999998
40900,1.7333749999999999,0.18334375
41000,1.733875,0.18346874999999999
41100,1.735125,0.18378124999999998
41200,1.7355,0.183875
41300,1.735875,0.18396875
41400,1.7365000000000002,0.184125
41500,1.7372500000000002,0.1843125
41600,1.7378749999999998,0.18446875000000001
41700,1.7372500000000002,0.1843125
41800,1.738,0.18450000000000003
41900,1.7389999999999999,0.18475
42000,1.7398749999999998,0.18496875000000002
42100,1.7411249999999998,0.18528125000000004
42200,1.741375,0.18534375000000003
42300,1.7427499999999998,0.18568750000000003
42400,1.7435,0.185875
42500,1.744875,0.18621875000000002
42600,1.7461250000000001,0.18653125
42700,1.7474999999999998,0.18687499999999999
42800,1.749,0.18725000000000003
42900,1.7493750000000001,0.18734375000000003
43000,1.7502499999999999,0.18756250000000002
43100,1.7497499999999997,0.1874375
43200,1.749375,0.18734375
