step,msd_global,n_round,n_elongated
0,0.0,500,0
100,15.239795316843244,500,0
200,16.924193475400052,496,4
300,17.22287044115718,495,5
400,18.46337881875786,489,11
500,20.301529147603738,485,15
600,21.91232138826981,481,19
700,24.2914340355082,475,25
800,27.47639241959394,468,32
900,30.48342418655939,462,38
1000,35.578542017645695,454,46
1100,43.07259523168845,444,56
1200,50.12943054497076,432,68
1300,54.41301383031573,422,78
1400,65.9347418582195,413,87
1500,74.25280010463659,415,85
1600,80.03616491693602,411,89
1700,87.37277209647377,406,94
1800,103.93025373254285,406,94
1900,114.35057571445952,394,106
2000,124.5920659646699,390,110
2100,135.5060697020657,388,112
2200,147.62878547029624,385,115
2300,166.99376263212469,382,118
2400,183.34977766918547,376,124
2500,208.7417782968743,375,125
2600,225.2338770539461,373,127
2700,240.10856780814802,364,136
2800,251.8195853321001,368,132
2900,265.1818792453933,373,127
3000,286.2708555234783,369,131
3100,303.19697842090665,372,128
3200,328.8493264760778,371,129
3300,356.3790310965758,368,132
3400,387.3645195802847,376,124
3500,412.4794251943645,372,128
3600,431.3660817728388,364,136
3700,457.4429734719179,357,143
3800,481.87159237170476,348,152
3900,504.1732732446902,343,157
4000,531.6485836288168,347,153
4100,557.5641370499802,344,156
4200,597.9185621250491,337,163
4300,620.9550783205817,335,165
4400,672.7298275101263,330,170
4500,728.7652070054465,330,170
4600,775.3644597656355,330,170
4700,812.4420585095154,338,162
4800,857.6091937866851,336,164
4900,895.9356835781005,333,167
5000,925.9704142587716,324,176
5100,978.3073533304896,311,189
5200,1015.4583513240198,307,193
5300,1068.0716554835826,305,195
5400,1137.257581691235,311,189
5500,1200.1939517535143,308,192
5600,1251.462663043593,301,199
5700,1312.252426380089,295,205
5800,1376.7149008456577,288,212
5900,1444.4298019499283,285,215
6000,1519.6342342616083,275,225
6100,1614.5999207824161,270,230
6200,1714.5634951725885,261,239
6300,1820.41147314429,258,242
6400,1893.216185881662,256,244
6500,1994.0982055811494,255,245
6600,2093.145251490861,250,250
6700,2205.895568911075,254,246
6800,2297.201673084819,246,254
6900,2432.6345370700114,246,254
7000,2558.1002801281206,239,261
7100,2707.67904099793,235,265
7200,2850.516870156824,228,272
7300,3027.944957064435,216,284
7400,3203.2955582618183,208,292
7500,3358.657584670006,198,302
7600,3525.543569996118,202,298
7700,3677.4415726964507,190,310
7800,3828.616071340058,181,319
7900,3997.6547432387147,177,323
8000,4130.748884717641,168,332
8100,4334.120989748367,175,325
8200,4527.386099612875,175,325
8300,4797.41377427366,174,326
8400,5051.895584009803,167,333
8500,5293.173037327645,157,343
8600,5565.390467365338,153,347
8700,5765.923763228196,151,349
8800,5938.336777018515,155,345
8900,6167.011291625844,154,346
9000,6400.152657616808,153,347
9100,6625.693102224406,160,340
9200,6874.4666689019095,161,339
9300,7183.4218514541835,161,339
9400,7481.666546859303,169,331
9500,7768.992049913316,170,330
9600,8053.825307499525,175,325
9700,8378.34237253471,174,326
9800,8644.051601406898,172,328
9900,8925.240321153908,166,334
10000,9188.178048873127,161,339
10100,9408.362609161817,159,341
10200,9673.401884240518,157,343
10300,9982.01933900391,154,346
10400,10322.61076924759,154,346
10500,10680.207582576562,153,347
10600,11065.882537646934,150,350
10700,11472.180079974836,149,351
10800,11824.42642797481,149,351
10900,12194.751225700722,148,352
11000,12552.390840553206,144,356
11100,12905.301472919156,141,359
11200,13312.996894798898,124,376
11300,13708.401907700201,121,379
11400,14140.199017285086,114,386
11500,14633.908846764054,114,386
11600,15037.46407645928,116,384
11700,15520.65276579747,116,384
11800,16022.248120422282,118,382
11900,16484.540600582128,118,382
12000,17000.283312777017,119,381
12100,17494.889151521482,117,383
12200,17928.85739678721,116,384
12300,18395.4220989838,116,384
12400,18881.11455523393,119,381
