seed,nematic,polar,nematic_2,polar_2
1099062448631258,0.14548623854341636,0.269372940980895,0.07915772496832042,0.14666441363365554
853827592514924,0.16577085796259633,0.4193380078007537,0.10519620682308904,0.2661501629849068
1052030010736714,0.1248898211552282,0.22512543388265188,0.08475319455241094,0.1561544122164073
993068073743470,0.24450843955829568,0.544834195253459,0.1985600049233879,0.44321397676518504
375074238073900,0.2317617213928821,0.4194915205901683,0.16196543445591174,0.29231525590201674
416178520884477,0.11831920065449182,0.42458966090060135,0.08912232291659193,0.32994367780643463
874051135843279,0.11417233573619812,0.29350412501938583,0.06569356533088208,0.168258630385823
12944511869278,0.13221151259888025,0.2239727084530653,0.07784148854329173,0.13332281484283492
542029227742456,0.24945541519844192,0.4605910239065623,0.17583183900376295,0.321037900243577
1011744331896734,0.23128345635636224,0.4119514113540009,0.15313519113808477,0.26905304150122417
211701226972609,0.16284884649933368,0.3635986181533419,0.10031841661618798,0.2263758210372278
292918525777755,0.1461376023700565,0.3277276474105685,0.08447593644112357,0.1938749992774512
731147908347497,0.11800937190500067,0.12957950134864069,0.06489599076984666,0.07039975216228611
985549376192247,0.11401260554453348,0.28091925373030036,0.07123679009916899,0.17498528504856908
873456432950595,0.13999192440022565,0.2276119506998194,0.0805715468634184,0.13023611266822488
422219896800918,0.21801785027061754,0.46424475342635674,0.17352973527690668,0.3709770778890064
900740014674953,0.1260726364219509,0.192650995938983,0.08504093164958548,0.1282566662789032
1020578668480920,0.17485793978081682,0.41783284070897114,0.12643753900584068,0.30297210635038574
343569160877337,0.12763762737168513,0.27461598836699225,0.08166248773087956,0.17417964916148243
78804909138230,0.2097478144768769,0.1725412420332884,0.12351233116082176,0.10204937565158205
333614425743970,0.13930634927436897,0.17994479616109105,0.07713726030578481,0.09924579396317293
974443487743328,0.10290628008832706,0.21903956486043694,0.0627292086600754,0.13173101576484084
703985244396274,0.11346262244355125,0.2504885724938671,0.07430612048878449,0.17089810646519163
1122578106359740,0.11544278844525083,0.26246006604588895,0.06802739773342897,0.15376736225050697
492938554100859,0.19228852156123116,0.3186235990693836,0.1272208002606073,0.2015348070624384
170902461924754,0.1060720746401237,0.12093542579068843,0.05776558987352008,0.06655094814069715
260045648084392,0.3169082415479435,0.2783869971653771,0.24118376932786784,0.1998548947342234
450419983107763,0.12581989608663538,0.2779867067810491,0.08608297945169921,0.18994817850602128
