step,msd_global,n_round,n_elongated
0,0.0,2500,0
100,24.33060855021417,2500,0
200,24.4809194786447,2493,7
300,27.773505838748033,2490,10
400,30.232681772457937,2487,13
500,30.809494518416944,2486,14
600,31.499177762836776,2482,18
700,30.77448599199165,2478,22
800,34.91967927519378,2468,32
900,37.25418318671062,2458,42
1000,37.87253063434011,2442,58
1100,38.62826066198524,2430,70
1200,42.70361216559714,2417,83
1300,47.16929113139249,2406,94
1400,49.6879973826604,2388,112
1500,51.30800113351912,2370,130
1600,59.87754177253267,2353,147
1700,67.10612285662252,2336,164
1800,74.75711214304634,2324,176
1900,78.11402383902237,2300,200
2000,82.97789523578207,2277,223
2100,87.6153965129263,2265,235
2200,94.59242052621167,2249,251
2300,103.3106498896976,2230,270
2400,107.72373204205495,2200,300
2500,115.67324568235125,2175,325
2600,127.8196199810605,2148,352
2700,140.20100666083414,2118,382
2800,163.57559164542738,2097,403
2900,186.4536549229815,2059,441
3000,214.53104353739852,2037,463
3100,241.2814522389534,2007,493
3200,272.8956353352973,1991,509
3300,299.82081878828603,1982,518
3400,336.05386941427,1973,527
3500,376.8043258070843,1956,544
3600,400.40308480607655,1937,563
3700,420.414912787175,1925,575
3800,453.1037728321055,1917,583
3900,492.0241257003829,1900,600
4000,525.6441151473397,1909,591
4100,566.4003236186152,1891,609
4200,601.9688183379736,1874,626
4300,640.5290558592582,1871,629
4400,669.6757888754399,1879,621
4500,695.8314694412669,1867,633
4600,724.9361230300519,1858,642
4700,749.8254418310694,1846,654
4800,779.1234816161307,1838,662
4900,792.1663239791222,1812,688
5000,818.075843827112,1803,697
5100,854.9248031760461,1799,701
5200,889.3692508147668,1783,717
5300,924.2171179048419,1770,730
5400,960.6889843231269,1776,724
5500,987.6376885174569,1780,720
5600,1021.8606338308431,1793,707
5700,1047.6947390147773,1793,707
5800,1068.2042320640035,1782,718
5900,1110.4019391929573,1771,729
6000,1164.5070176613767,1745,755
6100,1216.001497752834,1717,783
6200,1261.9382620378212,1696,804
6300,1301.6148659991734,1674,826
6400,1347.2053456413287,1652,848
6500,1401.4583834915488,1633,867
6600,1447.6057579013159,1603,897
6700,1487.5672292302686,1602,898
6800,1517.8210842543222,1587,913
