density,nematic,polar,nematic_2,polar_2,fraction_elongated,nematic_std,polar_std,nematic_2_std,polar_2_std,fraction_elongated_std,n_realizations,nematic_u4,polar_u4,nematic_2_u4,polar_2_u4,fraction_elongated_u4
0.75,0.44069713550236267,0.551146083285517,0.3421926278200648,0.42875557648440876,0.74810775,0.1627815180529274,0.19268592313618912,0.1785933496592291,0.19976635298217718,0.12181071285018999,8,0.508340920950862,0.5736607530111417,0.30615497257135516,0.4629192561965171,0.6359198866119675
0.76,0.2480714611868293,0.48624924026749133,0.1462171550955051,0.2908962272615039,0.5873025,0.1000758751418093,0.1130239210410557,0.06274984425490272,0.08380689469347613,0.07182204851078618,8,0.5044302906296256,0.6096996168727037,0.4581741594855472,0.5935848948532532,0.6522048197191108
0.77,0.4053848830836705,0.34714644969588776,0.2558551911454454,0.206939253938273,0.607464,0.13556484902648083,0.15421561137055864,0.133050727093807,0.0987464015348797,0.1453697207693934,8,0.5875740409537601,0.5032768678760666,0.3638455442963867,0.4397210844970386,0.5847946081162573
0.78,0.31618949491545556,0.36297199556789383,0.19026462280293627,0.23528588587916757,0.597423,0.08266730459889586,0.22235275435263963,0.07161179252009364,0.16858444896543523,0.1290831757190467,8,0.5762970545695423,0.44729380872821434,0.4932863055686021,0.3390793228217782,0.6127215791152649
0.79,0.3385064557674605,0.4462115526434347,0.2027569345087621,0.2711376668559013,0.56677875,0.14245002714779045,0.20809957090667155,0.12329286211460024,0.18096684629637622,0.11503449954035536,8,0.4928431967596265,0.4332027941984762,0.2671778699560682,0.18069043966344867,0.6132924483533373
0.8,0.29012919088196915,0.4195167482076281,0.16784878177836432,0.23063584489762445,0.536602,0.1307210238207997,0.13518361848874083,0.11764073541549916,0.10150141451906937,0.11418473987109046,8,0.38687127429288704,0.5678116302531995,0.029771811515796776,0.48375489707799657,0.6092853197061058
0.81,0.2724089510299567,0.46102019461061294,0.18720840863540272,0.287948604908401,0.5804279999999999,0.21516635399746273,0.13107440901702813,0.2353332082783665,0.19718657759260186,0.1713795637091624,8,-0.1679577924443254,0.5336331603725314,-1.0096578652861044,-0.1378319979805227,0.5204650044025996
0.82,0.36526384643834764,0.4084198279814081,0.2066955736091613,0.22720644057039313,0.53656875,0.17944743936655,0.15751875279438032,0.12490300789239986,0.13041240928681408,0.11591270205232651,8,0.3905521251068734,0.5326131102613363,0.3556925510990061,0.28079924941913204,0.6082869667450626
0.83,0.34825893021242144,0.5024729249721538,0.17973122166793137,0.2630913177770865,0.49932875,0.10998623774383526,0.1660337098003193,0.08463267639698295,0.12559069679482152,0.11574414649037637,8,0.5934307867783384,0.5827470954579457,0.44547061886436334,0.47770255428008357,0.5962310504264429
0.84,0.3569492986358375,0.4681117798624234,0.23769663128682963,0.3060376095001525,0.590598,0.19323579156287937,0.20114027133119175,0.23347083071800626,0.25636070523453713,0.18989025193967773,8,0.196155783323141,0.3818144750039003,-0.6335333430859325,-0.3448820857402757,0.5225126673668922
0.85,0.3094263387101497,0.39737255739295874,0.16796162331794717,0.20827899694532143,0.517711,0.18260117775210097,0.11593880526342377,0.11909674336477387,0.08036261192885939,0.08592677760578651,8,0.34793847466022565,0.5692079450312548,0.2029905038994949,0.494284657643681,0.6359018491109139
0.86,0.35157330901736455,0.5304854323045316,0.22231464003829143,0.29047547005947705,0.53551875,0.2583782448366325,0.07663396614397869,0.2849470945726145,0.13713489047317726,0.1912410453222021,8,-0.005911974564452693,0.6442888183333548,-1.0478342993322145,0.2936140163574301,0.44811867451778886
0.87,0.31901931344255957,0.4734866161597301,0.16181219686856127,0.2456008455346371,0.49723324999999996,0.10778126367864832,0.11638395325197777,0.07884157899836808,0.11609134234692504,0.10894174617361864,8,0.5760602397909985,0.5929408768380751,0.42448854306328065,0.35010789097504047,0.5993348358232871
0.88,0.4832483985567881,0.4405681197139629,0.3126372749939899,0.28265495789327777,0.55321875,0.275439089220692,0.2529426603084261,0.20013677114804504,0.19077040560385788,0.24976832614230446,8,0.5001069707452619,0.489493121704884,0.40189239090253537,0.3290228693399423,0.5690938901750238
0.89,0.3595151352262488,0.38727751844707625,0.2003421034496457,0.21696612414920913,0.39266124999999996,0.26402892059994754,0.28102044047942815,0.17418233061161031,0.1995969241891478,0.2695483732593942,8,0.42276217140392125,0.3965498643976304,0.22540060746964785,0.044545137101629995,0.44008403902834103
0.9,0.22943154013662256,0.31077492362704734,0.10727584493679794,0.158620266698224,0.30373524999999996,0.22411296570654335,0.30208821070383163,0.1047257246242876,0.16909782194580492,0.26682276949945094,8,0.22818605475056375,0.32908197000555495,0.16549132326395433,0.14215849285376947,0.354647864530239
