density,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary,mean_aspect_ratio_std,fraction_elongated_std,fraction_round_std,fraction_binary_std,n_realizations
0.4,2.6053349497767857,0.88099609375,0.03753616071428567,0.08146774553571423,0.03797391729641757,0.032561855941652285,0.017276098496547588,0.01820334800256896,128
0.5,2.5310520703125,0.8158805803571428,0.07174838169642853,0.11237103794642854,0.06528754721724672,0.04638646471655765,0.031174893226960588,0.01877342826435486,128
0.6,2.4031904296874997,0.7218891183035714,0.1342424665178571,0.14386841517857138,0.08483328844431805,0.05563025207689787,0.04164504968603782,0.018036317559086676,128
0.7,2.1596390178571427,0.5658593191964285,0.25910814732142856,0.17503253348214282,0.09598565859331357,0.05347597830757836,0.04921974666679112,0.00967940803496136,128
0.75,1.9644447879464284,0.4539965401785714,0.3638642857142857,0.1821391741071428,0.1061370427338586,0.05775325361446493,0.05514030916090002,0.0090913680837153,128
0.76,1.9277151562500001,0.43250452008928575,0.38424642857142854,0.1832490513392857,0.10826380407516677,0.05764374816449278,0.05643225449671093,0.008601457492984,128
0.77,1.892102154017857,0.41354570312499994,0.40431166294642856,0.1821426339285714,0.11775961497911927,0.061982879695391006,0.06252202276225313,0.00891365417248464,128
0.78,1.8114039620535713,0.37025245535714285,0.44905597098214284,0.18069157366071426,0.1131324857909922,0.06028773505666384,0.059323915733595106,0.0083728595463822,128
0.79,1.767086556919643,0.3469635044642857,0.47523303571428577,0.17780345982142853,0.10389445291632063,0.05505002081824606,0.05569446338413826,0.009160699248519092,128
0.8,1.6849105524553571,0.30373833705357145,0.5204795200892857,0.17578214285714283,0.0897281956190047,0.045389759092691856,0.0489754450979084,0.009196304208099014,128
0.81,1.6313333314732144,0.2774017857142857,0.5538666294642858,0.16873158482142853,0.08755865598813356,0.044758752179586414,0.0479480455870117,0.009730692969856253,128
0.82,1.5774136216517856,0.25035295758928566,0.5868520089285714,0.16279503348214283,0.1177389626516688,0.05919688714345516,0.06577566888429338,0.010407182078862104,128
0.83,1.5176358482142858,0.22191484374999998,0.6251963727678571,0.15288878348214283,0.1092164521057687,0.05388441065877522,0.06257980456003658,0.012069885474671277,128
0.84,1.4327293638392857,0.18107003348214284,0.6781982700892857,0.14073169642857142,0.10706630097023419,0.05035042506834065,0.06371595697078522,0.0154583758843912,128
0.845,1.353254207589286,0.14591054687499996,0.7294931361607144,0.12459631696428566,0.16220683401939973,0.07338803708231219,0.09907358317440888,0.027729497045839355,128
0.848,1.2467794531249998,0.10066484374999997,0.7993258928571428,0.10000926339285712,0.20511944479410255,0.08963684437329582,0.12900997342068354,0.04108848241197271,128
0.85,1.1745472098214287,0.07021863839285712,0.8511147321428572,0.07866662946428568,0.1948276486117465,0.08401444612869506,0.12730893827182785,0.0449277493268567,128
0.852,1.1340717243303573,0.053475223214285696,0.8795349888392858,0.06698978794642853,0.17782296562707317,0.07656425130651713,0.11749433643524919,0.042621644967129044,128
0.855,1.0653788281249998,0.024797154017857134,0.9284271205357143,0.04677572544642853,0.13609846392025798,0.05853305381158785,0.09044181707883849,0.03326675127798369,128
0.86,1.0128025,0.0033810267857142836,0.9720681919642854,0.024550781249999952,0.042752885628548315,0.017601190887187028,0.031008396856434178,0.014653079019730174,128
0.87,1.0025067578125002,3.90625e-06,0.9871867187500001,0.012809374999999967,0.0005299953906513858,4.4194173824159226e-05,0.0020825529870564332,0.002082763439113321,128
0.88,1.0010993359375,0.0,0.9939632812500001,0.006036718749999965,0.00029697051146969225,0.0,0.00129034092386591,0.0012903409238659155,128
0.9,1.0001534374999999,0.0,0.9989625,0.0010374999999999916,9.062501696988799e-05,0.0,0.0005199560853655528,0.0005199560853655342,128
