step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,9.907511236532711,1000,0
200,14.350806185773688,944,56
300,23.156272655054995,896,104
400,32.72051070586283,846,154
500,48.06432620870114,799,201
600,65.49808618002969,771,229
700,85.69427865475666,729,271
800,105.54342751653314,692,308
900,127.42130073047409,664,336
1000,152.7886352341054,663,337
1100,171.97734502294054,648,352
1200,192.1382477890253,638,362
1300,217.08846878716878,623,377
1400,246.78987161987214,624,376
1500,279.0728782841463,613,387
1600,305.88699029973685,598,402
1700,340.02685796082096,601,399
1800,373.28334843919345,585,415
1900,405.8918634035309,564,436
2000,437.979566862328,545,455
2100,477.2510672962527,536,464
2200,519.7515665274783,520,480
2300,546.8515745417121,512,488
2400,556.5338679025336,504,496
2500,591.0848801758493,495,505
2600,633.03215782973,501,499
2700,669.6823782426465,496,504
2800,708.6321648400659,489,511
2900,743.4211773244301,486,514
3000,805.9212437417323,477,523
3100,841.6213349078861,474,526
3200,884.8224666444416,505,495
3300,913.5461176543082,515,485
3400,940.9151529398879,515,485
3500,975.3041017934955,510,490
3600,1027.185872479704,505,495
3700,1088.6186455533486,505,495
3800,1157.7040890384949,488,512
3900,1237.3128074547528,489,511
4000,1335.015500305519,496,504
4100,1408.1669817028496,484,516
4200,1466.2279388925006,467,533
4300,1544.1007394890757,458,542
4400,1625.231886601116,451,549
4500,1704.4651597175682,448,552
4600,1757.5037918844932,443,557
4700,1802.2645719487155,450,550
4800,1838.6459941454125,446,554
4900,1880.4925588326398,431,569
5000,1933.666861135975,429,571
5100,1964.2866045127664,440,560
5200,1981.8454285048456,439,561
5300,2031.7648933808612,431,569
5400,2083.8841148013894,427,573
5500,2181.4315917788845,418,582
5600,2239.429940029116,429,571
5700,2347.461914327451,426,574
5800,2441.7672720102264,440,560
5900,2520.4834033371662,436,564
6000,2604.656366160128,433,567
6100,2693.47991115468,411,589
6200,2787.4611634550315,388,612
6300,2885.6634209685476,371,629
6400,3000.7248109898082,360,640
6500,3096.5135668921384,355,645
6600,3195.4827704760482,356,644
6700,3288.902549304986,348,652
6800,3347.5323218126373,342,658
6900,3438.4996093793684,333,667
7000,3540.2514027969883,325,675
7100,3639.4428707059747,329,671
7200,3742.0280936611193,334,666
7300,3814.1230841245874,360,640
7400,3922.5741673445414,373,627
7500,4034.812506068156,365,635
7600,4149.539882838398,365,635
7700,4268.952933952334,360,640
7800,4379.552360546019,358,642
7900,4485.418527414312,340,660
8000,4636.615537039647,343,657
8100,4779.870692811202,348,652
8200,4889.9150118295065,334,666
8300,4997.323973175948,322,678
8400,5117.239293544459,306,694
8500,5273.0979864098335,305,695
8600,5409.896857595868,296,704
8700,5572.280278213802,301,699
8800,5702.836083343575,314,686
8900,5840.158510035593,322,678
9000,6019.803370267956,319,681
9100,6227.842559215111,322,678
9200,6372.144347739518,313,687
9300,6540.503947516043,305,695
9400,6677.127965849584,284,716
9500,6855.355072411524,257,743
9600,7035.879713625697,242,758
9700,7207.303962044067,231,769
9800,7381.5602168555815,229,771
9900,7549.350616518501,226,774
10000,7778.913115698828,218,782
10100,8012.589277051696,219,781
10200,8210.475374665737,214,786
10300,8402.148620209806,202,798
10400,8654.393045289364,187,813
10500,8930.458274644892,179,821
10600,9209.18777286121,176,824
10700,9526.558583090597,170,830
10800,9870.247041438595,165,835
10900,10206.459708804628,166,834
11000,10518.609422224477,179,821
11100,10850.580941090802,173,827
11200,11219.644430761728,173,827
11300,11507.82342882908,177,823
11400,11824.990199362543,176,824
11500,12164.796950116732,171,829
11600,12560.518363439973,167,833
11700,12968.65479063095,161,839
11800,13300.47646999053,160,840
11900,13700.122835063074,155,845
12000,14138.096652141234,153,847
12100,14634.10672006825,143,857
12200,15103.13938309584,134,866
12300,15605.878126899435,126,874
12400,16060.158647231321,115,885
12500,16524.066898196565,110,890
12600,16961.634828092338,105,895
12700,17497.9910260904,101,899
12800,17982.717611057928,97,903
12900,18479.01661729981,96,904
13000,19062.127110742385,96,904
13100,19600.993347019798,97,903
13200,20120.203919967942,97,903
13300,20789.004883112124,97,903
13400,21340.22415131963,98,902
13500,21971.090362169598,98,902
13600,22651.36783599659,99,901
13700,23327.439884384952,99,901
13800,23954.95799277558,99,901
13900,24633.671821144933,99,901
14000,25333.861249006775,99,901
14100,25994.81942665863,98,902
14200,26649.66777614732,98,902
14300,27304.770098237044,98,902
14400,28043.621731125102,98,902
14500,28764.58272007236,98,902
14600,29432.26296496755,98,902
14700,30287.58053779236,98,902
14800,31112.10696754898,98,902
14900,31934.561808597206,98,902
15000,32770.7921381702,98,902
15100,33591.23624244177,98,902
15200,34469.306141247696,98,902
15300,35335.50701798888,98,902
15400,36192.6184595836,98,902
15500,36950.065106440416,98,902
15600,37825.76604070442,97,903
15700,38757.810332206696,97,903
15800,39682.48215132076,97,903
15900,40609.219060808406,97,903
16000,41513.5353254807,97,903
16100,42428.450375381755,97,903
16200,43435.78531268546,97,903
16300,44547.46368441395,97,903
16400,45600.88736898513,97,903
16500,46610.35442943178,97,903
16600,47648.97063648427,97,903
16700,48701.165913465964,97,903
16800,49565.541842443825,97,903
16900,50609.27624555387,97,903
17000,51685.841665059954,97,903
17100,52837.25044454056,97,903
17200,53933.47945662589,97,903
17300,55061.44447745887,97,903
17400,56130.14995751466,97,903
17500,57221.7115783178,97,903
17600,58479.729518866545,97,903
17700,59710.12344705197,97,903
17800,60951.37296168442,97,903
17900,62149.662922115866,97,903
18000,63327.70932208106,97,903
18100,64450.92906360993,97,903
18200,65671.22587730504,97,903
18300,66906.45193015398,97,903
18400,68141.05245662887,96,904
18500,69340.87016202621,96,904
18600,70619.66372738843,96,904
18700,72015.69608614773,96,904
18800,73320.34775311998,96,904
18900,74701.55762476548,97,903
19000,76055.33588900893,98,902
19100,77417.11390125577,98,902
19200,78834.09534315673,98,902
19300,80128.48384874273,98,902
19400,81476.76577396451,98,902
19500,82977.99188552669,98,902
19600,84407.904884341,98,902
19700,85831.11464582903,98,902
19800,87092.54609258172,98,902
19900,88519.3992083127,98,902
20000,90011.87842108183,98,902
20100,91656.40254286135,98,902
20200,93134.95597014681,98,902
20300,94698.66469044468,98,902
20400,96174.27629250841,98,902
20500,97765.63302340773,99,901
20600,99354.66759924778,100,900
20700,100825.62282429417,98,902
20800,102426.56914655527,98,902
20900,104174.00534833112,98,902
21000,105714.0546786923,98,902
21100,107046.21583219116,98,902
21200,108677.93900803587,98,902
21300,110418.13200694656,98,902
21400,112091.8342840442,98,902
21500,113768.31718467054,98,902
21600,115381.61317784034,98,902
21700,117130.51036022308,98,902
21800,118997.05448434374,98,902
21900,120902.39446605052,98,902
22000,122554.04530969188,98,902
22100,124312.01171461114,98,902
22200,126001.88045852455,98,902
22300,127680.12241175925,98,902
22400,129455.53276564991,98,902
22500,131332.64685049257,98,902
22600,133207.0748559009,98,902
22700,135017.49106858674,97,903
22800,136748.29217908793,97,903
22900,138661.94812813544,97,903
23000,140526.949275312,97,903
23100,142505.11161941435,97,903
23200,144410.38721085482,97,903
23300,146426.3259847388,97,903
23400,148408.3495770222,97,903
23500,150237.2075198627,97,903
23600,152225.10698757027,97,903
23700,154177.51350058825,97,903
23800,156213.95089793633,97,903
23900,158246.83225986193,97,903
24000,160146.38924382455,97,903
24100,162339.13122005368,97,903
24200,164326.82491910938,97,903
24300,166171.88867474423,97,903
24400,168294.66226217817,97,903
24500,170416.75442263193,97,903
24600,172392.13564866618,97,903
24700,174609.8543406408,97,903
24800,176760.694893677,97,903
24900,178863.3011202764,97,903
25000,180918.70474500026,97,903
25100,183226.2043125579,97,903
25200,185475.02957394012,97,903
25300,187602.7876389761,97,903
25400,189703.59680922647,97,903
25500,192182.85927874147,97,903
25600,194296.53549895054,99,901
25700,196582.2037459511,97,903
25800,198742.61106941,97,903
25900,200944.97157171954,97,903
26000,203221.8987289414,97,903
26100,205404.402239025,97,903
26200,207699.59351051803,97,903
26300,210037.7550337598,97,903
26400,212435.98784030657,97,903
26500,214979.1620752946,97,903
26600,217305.86649906932,97,903
26700,219530.1549793058,97,903
26800,222081.69247053622,96,904
26900,224495.3749835354,96,904
27000,226879.6596867982,96,904
27100,229347.39734880463,96,904
27200,231545.15683468292,96,904
27300,234072.78267532535,96,904
27400,236471.45596059377,96,904
27500,239040.2969625787,96,904
27600,241495.32427880168,96,904
27700,243961.76815129703,96,904
27800,246490.9881098162,96,904
27900,249194.5746749093,96,904
28000,251655.40175821626,96,904
28100,254297.59280768997,96,904
28200,257007.00142871935,96,904
28300,259672.58909910335,96,904
28400,262341.4054899451,96,904
28500,264862.9003561862,96,904
28600,267315.7669150034,96,904
28700,269871.8013793975,96,904
28800,272478.7694973295,96,904
28900,274946.50378756155,96,904
29000,277665.5558193979,96,904
29100,280557.78593186865,96,904
29200,283101.53310057067,96,904
29300,285876.64145679935,96,904
29400,288703.77582440345,96,904
29500,291674.9603853865,96,904
29600,294501.0191097081,96,904
29700,297208.47097950266,96,904
29800,300002.95840447594,97,903
29900,302796.07998672355,96,904
30000,305693.36502447666,94,906
30100,308205.65375968517,95,905
30200,311011.71810999967,95,905
30300,313719.1003877506,95,905
30400,316465.1672067135,95,905
30500,319551.1496330015,94,906
30600,322441.23051662464,94,906
30700,325440.01762455417,94,906
30800,328523.3929625902,94,906
30900,331402.7516921385,94,906
31000,334444.2833165459,94,906
31100,337304.0295000258,94,906
31200,340543.90239804744,94,906
31300,343722.0873203053,94,906
31400,346447.9300905707,94,906
31500,349364.266007781,94,906
31600,352224.3090798907,94,906
31700,355185.9876370082,94,906
31800,358308.70093291247,94,906
31900,361414.8335212363,94,906
32000,364535.37300537596,94,906
32100,367506.6532846989,93,907
32200,370942.7508182815,93,907
32300,374109.7050017461,93,907
32400,377259.43277715286,93,907
32500,380331.9935762516,93,907
32600,383653.2814930989,93,907
32700,387004.9440008834,93,907
32800,390097.5696735621,93,907
32900,393160.8964646586,93,907
33000,396619.86714869743,93,907
33100,399571.4666391569,93,907
33200,402340.4387132804,93,907
33300,405682.7621424973,93,907
33400,409177.4579720439,93,907
33500,412804.3517235638,92,908
33600,416540.0397300512,90,910
33700,419582.4914701151,87,913
33800,422716.6704462504,86,914
33900,426133.18675281276,84,916
34000,429682.37383372185,84,916
34100,433118.78409930575,84,916
34200,436255.84959275956,84,916
34300,439638.67047868605,85,915
34400,442816.5172640976,85,915
34500,446147.4817256161,85,915
34600,449451.5015971585,83,917
34700,453089.5147356393,82,918
34800,457012.60271215835,81,919
34900,460675.5699318644,81,919
35000,463836.3728980343,80,920
35100,467259.3629741818,80,920
35200,470706.95098576805,80,920
35300,474410.03145731834,80,920
35400,478128.34657358,81,919
35500,481386.9249808615,82,918
35600,484704.50714396505,81,919
35700,488398.8155710209,80,920
35800,492050.9132491765,80,920
35900,495640.15509379195,80,920
36000,499218.9823911755,79,921
36100,502561.0182806027,79,921
36200,506241.46022691764,79,921
36300,510088.9505388056,78,922
36400,513846.71041164646,77,923
36500,517431.29699872126,77,923
36600,521048.6549305154,77,923
36700,524948.4933543147,77,923
36800,528467.9364471573,77,923
36900,532001.506737151,77,923
37000,535847.0152331019,77,923
37100,539808.2850429349,77,923
37200,543314.5998271374,77,923
37300,547361.6326752247,77,923
37400,551105.8044244559,77,923
37500,554837.5031184917,77,923
37600,558705.0085353126,77,923
37700,562721.7675696333,77,923
37800,566082.9558074061,77,923
37900,570020.8161710036,77,923
38000,574084.8262898973,77,923
38100,578098.3007416043,77,923
38200,581852.171647824,77,923
38300,585583.5999875534,77,923
38400,589689.5014554199,76,924
38500,593839.7928898935,76,924
38600,597533.6745059927,76,924
38700,601686.3838118053,76,924
38800,605960.3624385864,76,924
38900,609239.7723635428,76,924
39000,613326.9992780414,77,923
39100,617521.0618401286,80,920
39200,621279.0702631054,78,922
39300,625333.3940858712,76,924
39400,629601.4642694361,76,924
39500,633998.8159120384,76,924
39600,637717.2996854432,76,924
39700,641396.6200347791,76,924
39800,645704.6717818904,76,924
39900,650220.2135583563,76,924
40000,654120.0369980586,76,924
40100,658110.8980670333,75,925
40200,662720.553957142,75,925
40300,666658.03956816,75,925
40400,670623.9765176937,74,926
40500,674764.4784293323,74,926
40600,679017.7876959464,73,927
40700,683178.5262597643,73,927
40800,687825.4563281584,72,928
40900,691814.0299024384,72,928
41000,695961.1571658856,72,928
41100,699684.4239252552,72,928
41200,704261.9344353011,72,928
