step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,16.34108498728318,1000,0
200,21.618843033072945,962,38
300,24.373190128553798,919,81
400,36.460660262088076,874,126
500,43.20247281392949,834,166
600,56.30297922760174,785,215
700,66.42853061149746,764,236
800,77.07294636158733,729,271
900,96.3736243073838,700,300
1000,112.25247218312349,687,313
1100,130.92813142047373,677,323
1200,144.83916236269357,662,338
1300,160.1034520649486,644,356
1400,172.45710891616562,635,365
1500,189.17029347439677,625,375
1600,204.4215442095857,621,379
1700,220.74785200968785,606,394
1800,233.06208589661455,586,414
1900,251.3531959201884,571,429
2000,272.36557633847593,556,444
2100,303.29647052402095,554,446
2200,331.53378623838466,557,443
2300,359.28555108277374,546,454
2400,388.61299917157305,545,455
2500,423.77120032504087,538,462
2600,457.8079866910668,521,479
2700,485.77109631612336,520,480
2800,514.1100424397176,518,482
2900,547.9067713272353,512,488
3000,599.8296930666949,507,493
3100,661.2289387200834,504,496
3200,721.8697601381815,505,495
3300,797.9070327247374,511,489
3400,845.9788785507089,498,502
3500,890.5454518875051,489,511
3600,912.4475136252835,489,511
3700,933.7046581693957,486,514
3800,945.5550798132443,466,534
3900,961.6323401902526,456,544
4000,999.4600165157241,463,537
4100,1051.287518313774,462,538
4200,1089.0999419428285,453,547
4300,1139.9469275694578,449,551
4400,1194.8463400858163,450,550
4500,1233.0354319607743,467,533
4600,1263.1988740903787,487,513
4700,1302.4013374598705,493,507
4800,1359.5349883222477,495,505
4900,1423.9600086135479,472,528
5000,1488.411420349998,487,513
5100,1559.574726917226,498,502
5200,1632.961132206273,494,506
5300,1724.9427049379217,495,505
5400,1822.7249640765888,462,538
5500,1923.4208832970464,440,560
5600,1984.6728295482358,428,572
5700,2031.2698690814707,417,583
5800,2125.5487097489954,402,598
5900,2178.230036951344,406,594
6000,2253.3273992571876,398,602
6100,2331.777566875728,401,599
6200,2418.4437005329783,416,584
6300,2531.6173594526526,406,594
6400,2638.4816327337203,417,583
6500,2752.4587334350804,393,607
6600,2868.0805200945783,382,618
6700,3005.1962863201347,377,623
6800,3123.157142979835,363,637
6900,3275.68968936944,349,651
7000,3433.4276697916825,343,657
7100,3633.4269973890578,353,647
7200,3844.0619452711935,349,651
7300,4013.7546585408345,357,643
7400,4206.499049471963,350,650
7500,4322.293547152828,342,658
7600,4480.368098067507,332,668
7700,4611.143445633052,323,677
7800,4813.800925818842,306,694
7900,5011.370049631911,288,712
8000,5190.87669033961,270,730
8100,5431.908754950287,267,733
8200,5688.8960141267735,258,742
8300,5969.552024753869,246,754
8400,6218.060847449814,234,766
8500,6415.373496909634,223,777
8600,6676.518367349682,218,782
8700,6942.257063062429,202,798
8800,7273.036635862608,189,811
8900,7590.076385051165,168,832
9000,7968.847760609614,156,844
