density,nematic,polar,nematic_2,polar_2,nematic_std,polar_std,nematic_2_std,polar_2_std,n_realizations
0.4,0.14870253600888803,0.3552096507057573,0.139758127818786,0.3343818205793122,0.06358827596502964,0.1451651355463721,0.06171303421835243,0.14078804421328664,64
0.45,0.13959826709342543,0.3301532332753415,0.12797429721848136,0.3030726098289168,0.061554530221498295,0.1321620468343415,0.05896615628816842,0.1261827343848923,64
0.5,0.11248751214112193,0.2806576496050345,0.0993901318039263,0.24832903562958425,0.035617329626651845,0.10959090462633445,0.03273795428313016,0.10076890269723705,64
0.55,0.11793463518948501,0.27989490778437937,0.10137853922130823,0.2409891972587535,0.04136078781651476,0.11769330168329023,0.038042030388341704,0.10630165176233398,64
0.6,0.12103532080312313,0.26522548538655943,0.09898543362624268,0.2175271499782365,0.041062289711902136,0.10458640905889124,0.03471639541603395,0.0903649319592398,64
0.65,0.10877235549757315,0.24290723703591383,0.08313459151288982,0.1865889859490174,0.029960613539434088,0.09887562195110274,0.025540028147660657,0.08196974643573979,64
0.7,0.11563170739693372,0.24449557608846992,0.08214077224685014,0.17401195041267398,0.04406226699668376,0.09514743416089964,0.03398414949591891,0.07379182076103001,64
0.75,0.10721924525435433,0.20234361610597262,0.06806376469065806,0.1292662481457893,0.03771082894693261,0.09737797365295395,0.028277628491630756,0.0702620422080941,64
0.76,0.10122207497248832,0.20708636673638214,0.06167777216173081,0.12675355427180307,0.0336986228037715,0.08025561719980899,0.023307298866373564,0.05478022991250394,64
0.77,0.10347297672441935,0.197778184715724,0.06030247555569686,0.11683204308246017,0.028822093824362162,0.08842343266345026,0.0191472427417781,0.059156973834756814,64
0.78,0.09889060577640335,0.20387146037058157,0.055603199484987244,0.11567047486466844,0.03315516861131518,0.08818727376168863,0.022234451696328348,0.05822588754269978,64
0.79,0.10961876236791476,0.2245348474701957,0.06115954174104654,0.12592972857012208,0.03234150127169887,0.08651824023124524,0.022461720852226474,0.057621537010760795,64
0.8,0.1059494331688911,0.19950151877373054,0.05501321391678547,0.1039600900670529,0.03746471416227456,0.07998430537746201,0.022771775909961826,0.04772798479007719,64
0.81,0.10008267416379077,0.1981783604449054,0.049719471566386494,0.09881602913959239,0.03599576586415351,0.07454029944823164,0.021425600283703772,0.04523231178027618,64
0.82,0.09182201741995583,0.17355191848568322,0.04229143642938848,0.07958612617629722,0.027404428642571782,0.06550705641312021,0.015123029975111182,0.03446684667370936,64
0.83,0.11205440462813887,0.2096007739129856,0.051989988609574024,0.09770226619335241,0.0435065312040365,0.09667979669028812,0.027154315288820525,0.058085157530800645,64
0.84,0.10736307231941206,0.18698185810492945,0.043334168066249984,0.0764891467798845,0.03401781057701313,0.08589779944369874,0.02294108146970679,0.053255422202871744,64
0.845,0.10330326899178069,0.17990606046037644,0.040381804109839686,0.07112521265202931,0.04048075945900607,0.077555200348162,0.02297831352834371,0.04267332567347251,64
0.85,0.10641040456543402,0.15729857375229267,0.029795749027211438,0.05189483105203059,0.03430350477074409,0.08210250651967349,0.021865124462162724,0.046209998696661495,64
0.852,0.1089445072109213,0.14329616390692204,0.023462561129613403,0.04025116450031109,0.03459262550087959,0.07777291522187833,0.019127324182430565,0.04196406226970245,64
0.853,0.11606626521766217,0.1512355215722037,0.02490311741435178,0.04372721294376777,0.04938778377023598,0.07786155120164155,0.021981318928219147,0.044199742175554814,64
0.854,0.11427122914853274,0.13936976044027774,0.01942060418174974,0.03674338848726042,0.05062461828365429,0.08336680890971886,0.022380151058589932,0.0532783186976314,64
0.855,0.11268728122625751,0.12713916615423054,0.016184666693583358,0.027246155156600345,0.040591919078538555,0.07183471451750138,0.01881131802236999,0.0385791107975975,64
0.857,0.11047126123326757,0.11046156829078069,0.011084109743968926,0.017338205103235763,0.04561895509315219,0.04737428119735495,0.013791358926710583,0.026106533256140763,64
0.86,0.13511483058700982,0.11001561782563254,0.0073687581161682265,0.010988776328368805,0.04968444231637085,0.04728560321913291,0.012178394107893896,0.025105952748949088,64
0.87,0.15737050658400448,0.12643234308958154,0.003129417299549047,0.003652957422561682,0.04955465050935502,0.016538865916979277,0.005233116919906626,0.00905101954342199,64
0.88,0.20340456227362677,0.17363282344750175,0.0011918602031070656,0.0010135960726493998,0.058863567363004854,0.03255578294180463,0.0003770114480084583,0.00020533981850558877,64
0.9,0.4193863661663072,0.39223615048164073,0.0004415222261616312,0.00042157001596348283,0.11976187132743196,0.08459129388411156,0.00010414718922894265,9.62915658818381e-05,64
