density,nematic,polar,nematic_2,polar_2,fraction_elongated,nematic_std,polar_std,nematic_2_std,polar_2_std,fraction_elongated_std,n_realizations,nematic_m2,nematic_m4,nematic_u4,polar_m2,polar_m4,polar_u4,nematic_2_m2,nematic_2_m4,nematic_2_u4,polar_2_m2,polar_2_m4,polar_2_u4,fraction_elongated_m2,fraction_elongated_m4,fraction_elongated_u4
0.75,0.9117910883977776,0.7875922275547647,0.9008387252820643,0.7788702903287272,0.98742475,0.040306956635902495,0.21877160287120637,0.05136332966870983,0.22027606414083414,0.018332783409738512,32,0.8330273844029201,0.6989751286707186,0.6642454465030353,0.6667625967148733,0.5201487730859515,0.61000066622545,0.8141875717336606,0.6704280042470983,0.6628819900620583,0.653758207886502,0.5034038812415795,0.6073903264482958,0.9753711308999999,0.9526978417586798,0.6661940048681159
0.76,0.9241978445224848,0.7507620030982487,0.9109101947525102,0.7429039338079658,0.985686,0.0209307661318732,0.2673154402223815,0.02639881891765024,0.2699720554464864,0.021041413125609684,32,0.8545976981907576,0.731903717698839,0.6659517038199796,0.6329183090668016,0.5020400472256112,0.582244872813277,0.8304757266743763,0.6920730225851013,0.6655148978900319,0.6225566955618762,0.48922383130754976,0.5792457289834083,0.9720149432,0.9464472372557347,0.6660901196443133
0.77,0.9164073068804786,0.7527084510415636,0.8976150029335752,0.7381634733357841,0.978806,0.04090375720935131,0.25449757051697364,0.05693191073372426,0.25426774548920006,0.0310490234306974,32,0.841529787021841,0.713387674118461,0.6642118539672361,0.6294304527780875,0.48719225577190683,0.5900946187515608,0.8091265796331459,0.6641287620779843,0.6618587929794094,0.6077709021168636,0.45916113636017486,0.5856531326372207,0.9591044909999997,0.9235816391833962,0.6653258364147641
0.78,0.9159360510017002,0.7600189141019382,0.9008608136674041,0.7505816504531695,0.9835917499999999,0.03600603053673988,0.22992607419430555,0.04287770741683027,0.2312470753993224,0.02833705471411888,32,0.8402556256662481,0.7101732275263258,0.6647103220824242,0.6288581261302684,0.47638793427916243,0.5984550724609738,0.8134703881168228,0.6675916582335265,0.6637160423724026,0.6152534662180353,0.45734269035342134,0.5972715141612208,0.9682947299,0.9405352941491834,0.6656212219603342
0.79,0.9212537501327418,0.7052901696482521,0.9102139317144141,0.6981222769543765,0.9877395000000001,0.04053361145436232,0.267157079401529,0.04785137184522079,0.2683931975715258,0.018691528603845917,32,0.8503721575845457,0.7281896504348705,0.6643356775799433,0.5666093004555146,0.4189258069631456,0.5650408588312187,0.8308143104953299,0.6970722676186315,0.6633732583850094,0.5571878002100492,0.40852804428866996,0.5613709183558624,0.9759901409999998,0.9538882503640312,0.6662007294132755
0.8,0.9110963973717333,0.7071294092041833,0.8881963426210044,0.6892365030272556,0.9732157499999999,0.0676975327291062,0.2322730702443458,0.08714840648213115,0.23322979306580444,0.03776302603973117,32,0.8349455071916158,0.7095952293879204,0.6607083528614666,0.552411371935519,0.3910257813746385,0.5728711395346133,0.796643728050643,0.6535910817418247,0.6567136142331175,0.5278369910633126,0.36467277951880406,0.5637027782610734,0.9485717736999999,0.9048424569225639,0.6647943572041252
0.81,0.912477886279245,0.757606364804283,0.890065487198237,0.7417577160228738,0.9735342499999999,0.04930200015441609,0.20490538886364862,0.0816908012809203,0.2112564315167673,0.0479807175348733,32,0.8350259791925884,0.7045247585060321,0.6631977142393797,0.6146680319744482,0.45080008835103713,0.6022762876593994,0.7988814226913885,0.6557741421234724,0.6574938382000807,0.5935844120369336,0.42706573423640465,0.5959747596600521,0.9501172254999999,0.9107174622985712,0.6637145900459085
0.82,0.9189615772146638,0.7200951304109711,0.8992950069208527,0.7071385303733135,0.9781660000000003,0.02939083719340314,0.2747910275391556,0.05330101360017582,0.2770825782444298,0.040107272055600225,32,0.8454067058309683,0.7176683839128843,0.6652880770677745,0.5917709694735862,0.4525898498867238,0.5691994561360283,0.8115843347092198,0.6671284435605713,0.6623856547494782,0.5744595254224036,0.4320026318329192,0.5636386590425149,0.9583893315999998,0.9240556597078405,0.6646541507029744
0.83,0.8875607577081506,0.6951080601416875,0.8635466594750839,0.678236063750349,0.94082575,0.1748515494455044,0.2855365916957353,0.17885579911592042,0.2841801100387006,0.17612010903101546,32,0.8174913743943124,0.7000312163494955,0.6508357314123067,0.5622931051576545,0.41273327030841267,0.564866312142749,0.7768364565873485,0.6385668378810726,0.6472833922645805,0.5384640582119993,0.38382592565036233,0.5587348683803227,0.9152764080999999,0.8702456364014317,0.6537290463035944
0.84,0.848849048549326,0.6021761164119246,0.8175924565397188,0.5821427695240519,0.9024929999999998,0.2269825997355058,0.3085033822330843,0.22522864495389536,0.300328167030678,0.2425448658973454,32,0.7706938642888637,0.6399291675757611,0.6408740003759175,0.4548860600220933,0.304050662264551,0.5101992533626905,0.7178683822895993,0.5628629731432158,0.6359242321117324,0.4264022926337955,0.26951302615728007,0.5058947783015618,0.8715689327999999,0.8195897240774994,0.6403568712574895
0.85,0.6473254707333689,0.5447156400313471,0.6353711321809613,0.5368911441613241,0.7054145,0.4138375436950915,0.3921118562042129,0.40700979887284716,0.3898276310259795,0.44908481375635567,32,0.5850307192669234,0.48200359596403125,0.5305690910731711,0.44568122080325046,0.327266714050517,0.45079825170550836,0.5643019750674477,0.4505849038838444,0.5283365297749699,0.43549894743385775,0.3163214200977878,0.4440533372230836,0.6930043005999998,0.6706202739468795,0.5345387145756235
0.86,0.5640885193982881,0.4537320028576316,0.5118887709949449,0.4095125585847373,0.5666417499999999,0.4486634456131977,0.4056646245370362,0.4411797666816831,0.39218934136069283,0.4799757847041734,32,0.5132865122260042,0.43219071504164974,0.45319248690850944,0.3653624596295817,0.26527110458018155,0.3375992027565523,0.45073400622967386,0.36058573299881014,0.40837484104273447,0.3167462326243531,0.21482030232821597,0.2862746001964839,0.5443348714999999,0.509312868710016,0.4270310595170328
0.87,0.4170216297986259,0.37629164099662993,0.41065388165727207,0.3698992760067974,0.4612072499999999,0.4534686494754357,0.4349024880273565,0.44717725479212894,0.42774577416259124,0.49903523858916204,32,0.3733680519368968,0.30374932899751256,0.2736937776441012,0.3249008744436582,0.2527397636314015,0.20191240610542538,0.36270098491354225,0.2882842648792996,0.2695302868532765,0.3141939346127155,0.23748411919009577,0.19810459540912706,0.45399383549999983,0.4404845514854031,0.28762361372838363
0.88,0.2597092214839829,0.15862140836408645,0.24845274138085577,0.15328691211225956,0.268372,0.4222866762175362,0.2984224523940927,0.4068898228832939,0.29158821395917234,0.4378636748766859,32,0.24021649318051166,0.2064819075945077,-0.19276559602470456,0.11144558101000612,0.07139797135519256,-0.9161915121964559,0.2221384718030667,0.1820914906691177,-0.23004453801645774,0.10588094880440235,0.06525305413843863,-0.940188561970801,0.2577665476,0.24129435986464706,-0.21052233303547552
0.89,0.15168671539328643,0.15381366940077815,0.13649931363227746,0.13647036411005042,0.16447750000000005,0.33443364720841373,0.32773596017028234,0.3077294119428241,0.29666462037250463,0.35067235026813953,32,0.13149812143111278,0.10779532494181926,-1.0779714394228224,0.12778028013114062,0.09142926683140047,-0.8665357424188027,0.11062912863849968,0.08266104756343952,-1.2513378176946413,0.10404991647989206,0.06770951072669223,-1.0847066365949734,0.1463627318,0.12041630351690788,-0.8737127971223149
0.9,0.1356274508506717,0.1009298332232666,0.09551856651595741,0.06005042839832133,0.11133249999999996,0.3246469524593317,0.2646225246911954,0.2691945804316368,0.1808419849422758,0.3047145168753543,32,0.1205967827474281,0.10003151740004748,-1.2926837781282363,0.07810666225577262,0.0596961785522519,-2.2617383291293556,0.07936655086207245,0.060746752555296865,-2.2145989412498124,0.03532290140344477,0.018776060085810727,-4.016149521972355,0.10238677439999996,0.09218863136063324,-1.931354823136492
