seed,nematic,polar,nematic_2,polar_2,fraction_elongated
1099062448631258,0.9364315315933035,0.5424218276301259,0.9364315315933035,0.5424218276301259,1.0
853827592514924,0.9478958171577934,0.83422681676888,0.9478958171577934,0.83422681676888,1.0
1052030010736714,0.9160192395121559,0.9097417536062429,0.9160192395121559,0.9097417536062429,1.0
993068073743470,0.9759047319604437,0.22601424109477808,0.9759047319604437,0.22601424109477808,1.0
375074238073900,0.952146074725391,0.9150139194355467,0.952146074725391,0.9150139194355467,1.0
416178520884477,0.92463903979974,0.7118546945630847,0.92463903979974,0.7118546945630847,1.0
874051135843279,0.944505311781783,0.5191857433260636,0.942616301158219,0.5181473718394115,0.9979999999999994
12944511869278,0.9444612266624861,0.7507593355227946,0.9444612266624861,0.7507593355227946,1.0
542029227742456,0.9112181443947479,0.49005730445440504,0.8157222338901469,0.4387006802590441,0.8952000000000004
1011744331896734,0.9541779523110153,0.6262473671667783,0.9541779523110153,0.6262473671667783,1.0
211701226972609,0.9639670074815802,0.024856153136831902,0.9639670074815802,0.024856153136831902,1.0
292918525777755,0.9075359565887338,0.9416404543163641,0.9039058127623789,0.9378738924990988,0.9960000000000006
731147908347497,0.9569069463039185,0.5324530722504391,0.9569069463039185,0.5324530722504391,1.0
985549376192247,0.9504568708637093,0.9465337989573976,0.9504568708637093,0.9465337989573976,1.0
873456432950595,0.9770316829617331,0.07997764049056297,0.9770316829617331,0.07997764049056297,1.0
422219896800918,0.948829005363851,0.587971670957646,0.948829005363851,0.587971670957646,1.0
900740014674953,0.9414077694272042,0.31881666967656946,0.9414077694272042,0.31881666967656946,1.0
1020578668480920,0.8965360947997812,0.9081339524155024,0.8965360947997812,0.9081339524155024,1.0
343569160877337,0.9497860678125817,0.21364416169965394,0.9497860678125817,0.21364416169965394,1.0
78804909138230,0.9022066931944511,0.9409673103515699,0.8977884111795941,0.9363483275899359,0.9950800000000004
333614425743970,0.9703613277502017,0.0999654614440388,0.9703613277502017,0.0999654614440388,1.0
974443487743328,0.9628671437256797,0.6688835429563362,0.9609414094382287,0.6675457758704232,0.9979999999999994
703985244396274,0.909744577743113,0.7771372980804441,0.909744577743113,0.7771372980804441,1.0
1122578106359740,0.973112520756547,0.4884782735035243,0.973112520756547,0.4884782735035243,1.0
492938554100859,0.9401736860624403,0.492307279422138,0.9401736860624403,0.492307279422138,1.0
170902461924754,0.9239602179788652,0.31114473738642656,0.9239602179788652,0.31114473738642656,1.0
260045648084392,0.9373110325952837,0.8373191194133844,0.9373110325952837,0.8373191194133844,1.0
450419983107763,0.9189910514993972,0.7805656463711778,0.9171530693963981,0.7790045150784357,0.9979999999999994
543308666121182,0.9434346456376629,0.6599285678038237,0.9434346456376629,0.6599285678038237,1.0
593849570694833,0.9278891598284384,0.7930636300206899,0.9278891598284384,0.7930636300206899,1.0
582382717235568,0.9142679096724392,0.6786738443217812,0.9142679096724392,0.6786738443217812,1.0
1123570616129223,0.9158610752457341,0.944291498251053,0.9158610752457341,0.944291498251053,1.0
680622798933824,0.9329723612752988,0.6061982978379526,0.9329723612752988,0.6061982978379526,1.0
201764007966294,0.9050877606592823,0.9377549303762851,0.9050877606592823,0.9377549303762851,1.0
453356923466257,0.901105035472295,0.7760573163279817,0.901105035472295,0.7760573163279817,1.0
346214149398000,0.9517083224202685,0.40963218470187107,0.9517083224202685,0.40963218470187107,1.0
353918643079908,0.9528537160029049,0.7221758835387279,0.9527009853458501,0.7220591609722626,0.99984
971536625474344,0.9700909393504736,0.2416738914150928,0.9700909393504736,0.2416738914150928,1.0
799035771825238,0.8999184712589442,0.9406840725120449,0.8999184712589442,0.9406840725120449,1.0
1114806189928891,0.91532982386972,0.8869911378755364,0.91532982386972,0.8869911378755364,1.0
216465895742590,0.939136799727071,0.28065942199715754,0.916597516533621,0.2739235958692258,0.9759999999999992
926435018171726,0.9468596796747135,0.8128737590334366,0.9468596796747135,0.8128737590334366,1.0
744517311885370,0.9704361366581761,0.7977977681288959,0.9704361366581761,0.7977977681288959,1.0
812580382463326,0.9101694730121997,0.8745807612261184,0.9083491340661753,0.8728315997036663,0.9979999999999994
521742092743191,0.9793052667334734,0.035981224299709895,0.9793052667334734,0.035981224299709895,1.0
1008612444973162,0.8991488283464022,0.65408929968987,0.8991488283464022,0.65408929968987,1.0
121838283310165,0.9288065590648865,0.24260999522900184,0.9269489459467567,0.24212477523854387,0.9979999999999994
431006493426170,0.9277658797971927,0.5033164338465601,0.9277286775930418,0.5032961785840961,0.99996
765322069857382,0.8983733138807944,0.8426357047305845,0.8983733138807944,0.8426357047305845,1.0
725201757884584,0.8975275219861093,0.7840158427416646,0.8975275219861093,0.7840158427416646,1.0
184656659025018,0.9509090633967756,0.2433937798356942,0.9509090633967756,0.2433937798356942,1.0
1034686135547599,0.9524959531095191,0.03585168762917455,0.8401014306425959,0.031621188488931945,0.8819999999999999
380972098894405,0.9658393254807901,0.9083623016116988,0.9658393254807901,0.9083623016116988,1.0
742183958399040,0.9200937253770681,0.848574674158684,0.9200937253770681,0.848574674158684,1.0
37852570490343,0.9679545346777048,0.7168963843146285,0.9679545346777048,0.7168963843146285,1.0
734109262104827,0.964690365138217,0.8626401550526787,0.964690365138217,0.8626401550526787,1.0
401686787590537,0.8570423245433504,0.5149879460056863,0.8570423245433504,0.5149879460056863,1.0
350020380685320,0.919211779705978,0.3323693802298222,0.8640590729236198,0.31242721741603297,0.9399999999999996
484612500106051,0.9315925590026157,0.5137588165640039,0.9315555693455698,0.5137383781991053,0.9999600000000001
604884003999171,0.9461708494396881,0.9435828027452956,0.9461708494396881,0.9435828027452956,1.0
501697692195937,0.9112886799835426,0.8967075830679504,0.9112886799835426,0.8967075830679504,1.0
851083349436041,0.9826075803967627,0.5338884321964843,0.9826075803967627,0.5338884321964843,1.0
796940938751527,0.9316230481085712,0.8890154896860267,0.9316230481085712,0.8890154896860267,1.0
7713914261614,0.908519400909073,0.214108282827821,0.908519400909073,0.214108282827821,1.0
