step,msd_global,n_round,n_elongated
0,0.0,500,0
100,15.910363024244226,500,0
200,15.44646744021331,491,9
300,16.3162136701688,484,16
400,17.90243808862825,476,24
500,24.125632077791117,469,31
600,28.456857319080882,463,37
700,33.72013348402864,452,48
800,37.62895678607767,434,66
900,43.813308216764725,415,85
1000,51.970159502441106,399,101
1100,59.4832516567434,392,108
1200,69.34194830827052,378,122
1300,84.24319509999555,364,136
1400,98.33114113506961,347,153
1500,119.92511654738237,332,168
1600,146.2082588337208,325,175
1700,178.3187547372249,322,178
1800,209.4059063913068,315,185
1900,239.823959611625,313,187
2000,269.26976412276326,310,190
2100,285.3323045126031,304,196
2200,303.58806935556845,297,203
2300,320.6035950547671,300,200
2400,347.5971888954422,307,193
2500,376.90880893955284,302,198
2600,417.59447683571887,291,209
2700,462.7942476280026,294,206
2800,498.8923707450874,285,215
2900,535.0818435340631,280,220
3000,567.2017663912809,270,230
3100,591.776677509481,271,229
3200,629.431494283638,277,223
3300,649.492167358953,270,230
3400,678.3058625039265,262,238
3500,721.1962768542073,248,252
3600,773.0640563900266,245,255
3700,829.0018854760567,248,252
3800,865.7220334201162,245,255
3900,881.884467742605,256,244
4000,920.1054066397422,263,237
4100,959.4016318036986,267,233
4200,1002.4991918182966,264,236
4300,1049.2906785661105,258,242
4400,1107.2883245470705,254,246
4500,1173.0164375577306,257,243
4600,1248.9883352044747,255,245
4700,1318.0722081231925,254,246
4800,1402.2834803399812,250,250
4900,1471.6064069218576,246,254
5000,1545.909622369322,235,265
5100,1637.729855331856,242,258
5200,1726.3751848121583,243,257
5300,1828.0882133614643,235,265
5400,1918.841185502341,228,272
5500,2021.9331267834677,221,279
5600,2111.6164462558777,210,290
5700,2183.1909879645177,199,301
5800,2256.4350491917794,201,299
5900,2312.0398038234675,192,308
6000,2405.4342260138424,203,297
6100,2469.9122498079205,200,300
6200,2587.1941047778,198,302
6300,2706.700027522402,197,303
6400,2817.914735286743,190,310
6500,2947.1107314363894,180,320
6600,3124.7608284785906,171,329
6700,3288.702596303298,152,348
6800,3472.2582449554316,153,347
6900,3687.775439212011,140,360
7000,3923.629462624719,137,363
7100,4154.309395252973,144,356
7200,4375.648891913937,148,352
7300,4593.670552796601,142,358
7400,4772.1317411403625,131,369
7500,4972.49516050758,126,374
7600,5179.884913374268,121,379
7700,5332.662125385542,116,384
7800,5537.273208705595,112,388
7900,5701.217837887121,115,385
8000,5880.3122499454075,115,385
8100,6100.521404443012,112,388
8200,6292.567801354124,101,399
8300,6537.354108236365,97,403
8400,6749.817314401004,99,401
8500,7027.244597842682,95,405
8600,7292.958336215839,97,403
8700,7517.905282418324,94,406
8800,7761.837444510143,100,400
8900,8048.212922561514,99,401
9000,8281.169887125476,98,402
9100,8590.912408896105,97,403
9200,8978.522750052773,99,401
9300,9310.876734241372,96,404
9400,9609.076819802942,89,411
9500,9921.892293238845,79,421
9600,10314.23604220068,66,434
9700,10700.22378661605,60,440
9800,11070.432838027775,62,438
9900,11500.214744305205,60,440
10000,11857.739903838672,56,444
10100,12228.541479966987,53,447
10200,12623.188719219277,51,449
10300,13034.942434054201,51,449
10400,13453.504652499565,51,449
10500,13884.067913058643,52,448
10600,14455.609815037904,51,449
10700,14983.020159607724,52,448
10800,15529.513640289124,53,447
10900,16042.831111213256,51,449
11000,16523.48530596135,51,449
11100,17044.054095598764,51,449
11200,17591.196936573186,51,449
11300,18149.594598591168,51,449
11400,18749.79813580596,51,449
11500,19407.330164295716,51,449
11600,19969.14118190697,51,449
11700,20581.798848877803,51,449
11800,21334.350247710303,51,449
11900,22028.37087878967,51,449
12000,22691.38799113794,51,449
12100,23365.733317058326,51,449
12200,23987.05136032199,51,449
12300,24646.898718128374,51,449
12400,25235.685034421727,51,449
12500,26035.58382448119,51,449
12600,26920.129902705772,51,449
12700,27765.27206699711,51,449
12800,28593.18395209259,51,449
12900,29258.569606054545,51,449
13000,30010.47904302994,51,449
13100,30788.15503125252,51,449
13200,31636.6266549834,51,449
13300,32457.53175561161,51,449
13400,33341.44711819509,51,449
13500,34281.36752622448,51,449
13600,35148.16487989283,51,449
13700,36096.39175779249,51,449
13800,37041.205764722115,51,449
13900,37989.811601628455,51,449
14000,38892.18741602822,51,449
14100,39802.81324103977,51,449
14200,40743.11090414991,51,449
14300,41580.14290746772,51,449
14400,42593.22364778796,51,449
14500,43696.300434595825,51,449
14600,44824.95244412353,51,449
14700,45910.632756978004,51,449
14800,46906.11173697116,51,449
14900,47958.65833723828,51,449
15000,48915.682117141034,51,449
15100,50023.11952525285,51,449
15200,51056.5650952182,51,449
15300,52213.405036842836,51,449
15400,53422.626424302805,51,449
15500,54562.599459015575,51,449
15600,55766.98175158133,51,449
15700,56980.90674380003,51,449
15800,58140.32724387449,51,449
15900,59310.90249035527,51,449
16000,60483.15124215989,51,449
16100,61713.422107579354,51,449
16200,62863.94127661291,51,449
16300,64059.62910116132,51,449
16400,65448.32644343025,51,449
16500,66779.67252270125,51,449
16600,68152.65439453423,51,449
16700,69504.42789323899,51,449
16800,70746.98408374887,51,449
16900,71976.44273199888,51,449
17000,73295.59653459379,51,449
17100,74649.98261114045,51,449
17200,75994.61353312584,51,449
17300,77438.46249480634,51,449
17400,78835.34568278983,51,449
17500,80196.49728626844,51,449
17600,81776.81676132143,51,449
17700,83189.52726182455,51,449
17800,84622.61483141576,51,449
17900,86026.28003075365,51,449
18000,87472.07618931938,51,449
18100,88986.30722937816,51,449
18200,90369.59034980467,51,449
18300,91960.77499174462,51,449
18400,93581.74819685852,51,449
18500,95245.54444329608,51,449
18600,96808.87753797676,51,449
18700,98364.92619082055,51,449
18800,99852.56270452242,51,449
18900,101412.1159671919,51,449
19000,103007.9586463861,51,449
19100,104503.73424557748,51,449
19200,106225.31473668492,51,449
19300,107920.3022563596,51,449
