density,nematic,polar,nematic_2,polar_2,fraction_elongated,nematic_std,polar_std,nematic_2_std,polar_2_std,fraction_elongated_std,n_realizations,nematic_m2,nematic_m4,nematic_u4,polar_m2,polar_m4,polar_u4,nematic_2_m2,nematic_2_m4,nematic_2_u4,polar_2_m2,polar_2_m4,polar_2_u4,fraction_elongated_m2,fraction_elongated_m4,fraction_elongated_u4
0.75,0.9387915534378369,0.5648534127421555,0.9260469366912248,0.5592886522744491,0.9863062499999999,0.02613566209972109,0.2626520799947657,0.053732966303282344,0.2623494264002288,0.04821321545431753,64,0.8820262281115108,0.7803799115072538,0.6656342174276618,0.38697488869955515,0.2269388493746719,0.49484805925458064,0.8604307188954274,0.7487067417652625,0.6629000602436126,0.3805616922002981,0.2213500419025663,0.4905422013211185,0.9750888675,0.95800137046383,0.6641413953779628
0.76,0.9426914178038345,0.5949723600885275,0.9312056158964482,0.5921155362581247,0.98789125,0.024655734693555205,0.26193476281809663,0.04545099210699456,0.2646859924100607,0.042119139543359836,64,0.889283072026329,0.7929997657805936,0.6657497401289958,0.4215322859937885,0.25824712729294,0.5155459877968692,0.8692003472537325,0.7618736528114303,0.6638586669857545,0.4195668590171304,0.25732229137793083,0.512747807354313,0.9776779775,0.9615336591189501,0.6646860887131315
0.77,0.9248119600349738,0.5910145638437035,0.9092806446349769,0.5832974443446561,0.967879375,0.11945480345181997,0.26592852963068364,0.12522293512257213,0.26594756069452347,0.13148888684859472,64,0.8693534274061705,0.7695178726234744,0.6606055664982861,0.4189226316343143,0.2575447222931855,0.5108255631407277,0.8422704338054101,0.727904778813929,0.6579810227108813,0.409863695928204,0.24816409543634976,0.507576479189898,0.9538177187499999,0.9313663800306551,0.65875324488688
0.78,0.9352559120101414,0.6729115425012148,0.9213914378240291,0.6662486316508629,0.984968125,0.02381127442996883,0.2222855211037862,0.05194095155969743,0.2241444787421943,0.04808994703628175,64,0.8754003576484842,0.7686230528820692,0.6656674107573084,0.5014869605773877,0.32292123856487864,0.5719878825888799,0.8519130927339382,0.7341845830316855,0.6627954544789725,0.493352969916672,0.31441926351833094,0.5694016141396148,0.9725356937499999,0.9536092405794551,0.6639235378631559
0.79,0.9145786892075254,0.5918592506950413,0.8874059011072593,0.5776528307774109,0.9512575000000001,0.12823139009390494,0.27125272781536675,0.15353197556822346,0.278429876903172,0.14989616738537848,64,0.8527538858385066,0.746321632267618,0.6578966231791419,0.4228439189051387,0.26421149112944675,0.5074273784501179,0.8109654130521751,0.6886814604058749,0.6509461180083466,0.41023311358406694,0.25672363396580467,0.49150911722472723,0.9271870975000001,0.8928113494467099,0.6538186328338138
0.8,0.8642337996297165,0.5640840888010535,0.851314324847944,0.556928170980499,0.908115,0.25449668774322215,0.3058622656188343,0.25507692584672076,0.305514297302519,0.2712056074243538,64,0.8106805449360666,0.7145895829898482,0.6375601644277888,0.41028305178435,0.2651908401004665,0.4748660336690651,0.7888082900776112,0.6825774703831414,0.6343313213960295,0.40205157018834103,0.2575617754572409,0.46887513915637047,0.8970769425,0.88080291099525,0.6351636533480185
0.81,0.7888141975055352,0.5056458962060173,0.7565345465923718,0.4922577803024147,0.808758125,0.3435143686561796,0.33554423621709556,0.33697421231941505,0.3381180806069463,0.35860727590629904,64,0.7384264225751102,0.6493537444116335,0.6030410137987683,0.36666487853546553,0.23810957176831485,0.40963993180143987,0.6843261825483478,0.5692891359088887,0.5947851728921741,0.3548924132318008,0.23117038989799146,0.388188663025663,0.7809356587499999,0.739159687398015,0.5959952133141229
0.82,0.6930993005023226,0.4123121927988258,0.6776867591616582,0.40860309080060053,0.718254375,0.42058234150658264,0.37043059726679356,0.4136635984209142,0.3706065373379816,0.438339691968636,64,0.6545243788637685,0.5846958820212289,0.5450568545434799,0.30508233695212045,0.20795374766692568,0.25524853217094035,0.6277611306486242,0.5432458488630092,0.540499151071705,0.30216686178180985,0.20622908269338727,0.24710400483468442,0.70508497625,0.684673780873745,0.5409293575448331
0.83,0.5148661759120763,0.3193409620822768,0.5128345481122891,0.31792932033945964,0.54474625,0.4726765777973307,0.3603049783808737,0.471017042575568,0.3590979913944726,0.5000484030015939,64,0.48502632771513066,0.43122084747857164,0.38899063371998943,0.2297705160209787,0.14996218236194092,0.053170243905553916,0.4813967924446626,0.42539946593138095,0.38811571251182553,0.2280161452742971,0.14859666258408138,0.04729904210756075,0.5428899,0.5398553939658599,0.38943393018966765
0.84,0.32210832469882744,0.21428289299637537,0.2927704786384411,0.19011740576861283,0.31622249999999996,0.43983591121357346,0.32379507993806655,0.42297471531688247,0.30295418647871136,0.4506629455960777,64,0.2949599122180571,0.2530940181578357,0.0303061630881738,0.14989450287290118,0.09522826311837182,-0.41277563468040834,0.2619399872683439,0.2216389101430796,-0.07676553709523648,0.12658367234880494,0.07869253497703685,-0.6370309832585446,0.3001032325,0.28632239088667,-0.059723854479063476
