step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,15.151548351086397,1000,0
200,17.822749711097853,994,6
300,17.96445875128912,995,5
400,21.196953523521227,992,8
500,21.42322663634774,990,10
600,23.209849272426816,986,14
700,23.772893370304544,981,19
800,25.675718868966005,977,23
900,26.487699124010934,970,30
1000,30.084148066606062,962,38
1100,31.848827218034764,952,48
1200,34.74143100612556,941,59
1300,39.48856862796909,936,64
1400,42.39213460213449,925,75
1500,44.928650245990866,910,90
1600,51.47127745810575,897,103
1700,61.040263977921434,888,112
1800,65.55548112103482,878,122
1900,72.03389202360678,860,140
2000,77.84136174403433,853,147
2100,87.55781138785807,845,155
2200,101.82056329195053,834,166
2300,122.99076133758713,819,181
2400,142.1151928297998,818,182
2500,156.73548336522262,817,183
2600,165.30254445357355,811,189
2700,176.3716133240533,796,204
2800,186.48212400940906,791,209
2900,195.88512852624152,779,221
3000,206.627307941075,780,220
3100,222.87328178116252,792,208
3200,224.96020947638092,796,204
3300,233.91464547848912,798,202
3400,249.76741482271092,796,204
3500,269.77828159563444,802,198
3600,284.948653506271,804,196
3700,301.9266652210193,799,201
3800,319.3140206318837,792,208
3900,338.63355120469873,780,220
4000,357.04907175815777,769,231
4100,381.0223202914176,757,243
4200,408.91376361033315,744,256
4300,434.0142045180005,739,261
4400,456.2882656485932,734,266
4500,479.9992876387916,720,280
4600,500.6848766667576,714,286
4700,522.6691951638717,710,290
4800,544.7479412414232,716,284
4900,578.3959876359481,706,294
5000,606.0175659155094,703,297
5100,641.5710587356319,709,291
5200,689.9568198303598,706,294
5300,731.6939585859479,708,292
5400,772.631529779915,696,304
5500,825.2802191775362,692,308
5600,877.1519341258211,688,312
5700,918.4921857095799,684,316
5800,954.6901888373357,683,317
5900,982.9958523058996,668,332
6000,1006.3933440699484,666,334
6100,1024.653405246344,666,334
6200,1029.51607691402,665,335
6300,1036.1067881484428,676,324
6400,1059.087618748991,675,325
6500,1093.8481181328093,680,320
6600,1138.5963620793698,686,314
6700,1190.6565393941164,686,314
6800,1237.417470950955,690,310
6900,1295.7746440269918,683,317
7000,1361.1950767532028,666,334
7100,1438.833380816795,663,337
7200,1516.781064118978,656,344
7300,1589.2924480091865,660,340
7400,1653.086588845396,666,334
7500,1709.0843640524488,664,336
7600,1763.9493968265683,667,333
7700,1817.730636536484,669,331
7800,1857.678051127451,669,331
7900,1904.1436175765227,660,340
8000,1957.1088930072337,648,352
8100,2013.13064592046,636,364
8200,2064.127901995337,628,372
