step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,13.971763649443874,1000,0
200,15.402040661936475,1000,0
300,17.607853526555104,998,2
400,17.808333984125465,997,3
500,17.24372121285703,996,4
600,16.681449720403947,995,5
700,17.475789241266945,994,6
800,18.16300738789831,990,10
900,20.27761432827585,987,13
1000,20.898249870294613,980,20
1100,23.249914542740473,974,26
1200,23.765035227275582,964,36
1300,25.656705984925793,957,43
1400,30.74058402967643,949,51
1500,36.267523398073024,942,58
1600,39.35796184938154,933,67
1700,44.701958812793464,927,73
1800,52.373267398347586,911,89
1900,57.22586031367277,901,99
2000,65.04869255773927,889,111
2100,67.54083963345471,878,122
2200,74.11745417291432,873,127
2300,80.10300801389141,859,141
2400,88.82486434249388,847,153
2500,102.83273226250066,834,166
2600,113.8233557870666,823,177
2700,128.60317113560274,806,194
2800,144.28069006115297,794,206
2900,158.77328706826322,789,211
3000,170.85605337465944,781,219
3100,186.25526087743987,774,226
3200,203.9671247887392,766,234
3300,220.70634106466278,752,248
3400,237.91242666503004,748,252
3500,248.2224639454082,733,267
3600,265.3378236137225,725,275
3700,288.87631982693296,706,294
3800,320.4536620216166,703,297
3900,366.29846729644976,692,308
4000,414.86724899882023,686,314
4100,461.3706128084748,696,304
4200,503.22734924291154,713,287
4300,538.9728778175574,705,295
4400,579.5830862110923,705,295
4500,614.2156055459038,703,297
4600,656.9057702624109,694,306
4700,698.0726085066509,700,300
4800,721.947006957304,709,291
4900,732.4361427529426,716,284
5000,749.5099327121608,706,294
5100,753.9600445039489,697,303
5200,747.212356410107,692,308
5300,773.5359595508519,694,306
5400,818.846402459489,693,307
5500,862.9298825110596,687,313
5600,910.0679749875827,695,305
5700,939.7609341287257,693,307
5800,963.7603811098129,697,303
5900,983.1967804580496,707,293
6000,1005.8990911669304,709,291
6100,1066.0606387999255,714,286
6200,1132.668336999647,721,279
6300,1195.8249332207747,725,275
6400,1244.854567449037,728,272
6500,1281.0694774815124,734,266
6600,1290.5592129912498,731,269
6700,1311.76887160307,716,284
6800,1344.2153599620572,713,287
6900,1387.449183602246,721,279
7000,1399.7439975251593,702,298
7100,1418.31710108782,698,302
7200,1449.9136968729906,701,299
7300,1467.2741009709252,697,303
7400,1487.6487110919554,703,297
7500,1523.7161130966697,721,279
7600,1547.9022039363836,728,272
7700,1569.4650981566626,721,279
7800,1610.2737464670856,710,290
7900,1659.2798363736756,698,302
8000,1714.0834002325016,687,313
8100,1770.244008575821,673,327
8200,1838.3406479094097,657,343
8300,1915.2871267373505,653,347
8400,1971.018095711431,659,341
8500,1999.8793267846963,654,346
8600,2036.5349421484102,654,346
8700,2062.8530711431267,662,338
8800,2103.1549245247625,666,334
8900,2108.5864472924404,663,337
9000,2137.549956828226,665,335
9100,2170.397036112325,673,327
9200,2217.3240538873283,670,330
9300,2262.4241399239245,668,332
9400,2292.070021436546,661,339
9500,2335.7450682861113,662,338
9600,2380.3078710877403,650,350
9700,2426.145255930071,634,366
9800,2498.187971130887,621,379
9900,2560.3245277681954,604,396
10000,2645.61846939876,598,402
10100,2716.2605904554034,591,409
10200,2812.861167945052,573,427
10300,2920.9380030004613,563,437
10400,3016.5383519047873,562,438
10500,3118.462513598913,539,461
10600,3201.2958854459775,522,478
10700,3287.7277352662204,515,485
10800,3410.5272104054015,514,486
10900,3499.1962315845576,515,485
11000,3584.916806821783,517,483
11100,3665.835007649308,517,483
11200,3753.8282003569752,501,499
11300,3868.278778437526,495,505
11400,3973.1993935986225,492,508
11500,4082.6469510420843,510,490
11600,4213.192041742423,500,500
11700,4371.139492614186,509,491
11800,4523.015776859697,497,503
11900,4650.043528991494,497,503
12000,4797.585330298662,494,506
12100,4910.377524383731,504,496
12200,5032.446995511805,501,499
12300,5162.90301277196,507,493
12400,5271.383732638135,503,497
12500,5406.976146456542,509,491
12600,5551.336618483018,499,501
12700,5672.235389848085,511,489
