step,nematic,polar,nematic_2,polar_2,fraction_elongated
100,0.0,0.0,0.0,0.0,0.0
200,0.19670108628312216,0.1704625420141818,0.010246445067890155,0.008826281802736383,0.053562499999999985
300,0.1643439023191492,0.13600235943312186,0.01590523387228252,0.013028492551360965,0.09771874999999997
400,0.1634130889630828,0.11721934545368186,0.023551735341841518,0.016799960432393526,0.14509375000000005
500,0.1520947867200328,0.11804758869332584,0.02885973972300098,0.02220522217022541,0.19075000000000006
600,0.1412386810256241,0.1161577197073624,0.032883116894497244,0.026941987389909283,0.2338125000000001
700,0.1443933588824569,0.11603093359870292,0.038360100401877296,0.030936714108149597,0.26778125
800,0.15455706950640105,0.1233628108747131,0.04561167890440409,0.036470563594143975,0.29725000000000007
900,0.17321207170193867,0.13144275113835463,0.05556894004127221,0.04229910496029327,0.32312499999999983
1000,0.18628636789670702,0.13750091233680095,0.06315789143702638,0.04699803526486307,0.34115624999999994
1100,0.18714225588917233,0.14992963190485253,0.06661172137320914,0.053633751598829625,0.35678125000000016
1200,0.1898241263886552,0.16410019379290072,0.07024929631958372,0.060774334682580027,0.36928125
1300,0.19697215731282713,0.16639099486276857,0.07599709569045382,0.06414134607351599,0.38415624999999987
1400,0.2141669971662015,0.16871672473846402,0.08443887248437293,0.06656547986986178,0.3932187499999998
1500,0.22607825285244007,0.17950666614447788,0.09124285951449362,0.07220094688825693,0.4008124999999999
1600,0.23313235464287035,0.18612119266241903,0.09640212117623284,0.07646880034133599,0.4103437500000001
1700,0.25238839727612167,0.19376970630153537,0.10552583476068217,0.0807160879108778,0.4158437500000002
1800,0.2632755681797636,0.2045614274982114,0.11282723212750394,0.0875508422759718,0.4260312500000001
1900,0.2700259570599237,0.21755587210380822,0.11895729795616794,0.09572300571509836,0.43740625000000005
2000,0.2927042107212779,0.23302014721696154,0.13189497860597663,0.10472449577205924,0.446875
2100,0.30915512105462173,0.24214192846406987,0.14175482056040958,0.110373791008426,0.45371875
2200,0.3202078961509108,0.24407343616068466,0.15042008997729087,0.11369279720499932,0.4640937499999999
2300,0.32435623957960386,0.251357139042924,0.15592798684252016,0.11951398826970874,0.4732187500000001
2400,0.3367095720157629,0.26251329652629557,0.16639338158238198,0.12796192334309608,0.48559375000000005
2500,0.3494836059484441,0.2705328227180943,0.17563240294429705,0.13522287356069543,0.4960312499999999
2600,0.3550096925561415,0.278031831927188,0.18155346035452818,0.1415833483771488,0.5035937500000002
2700,0.3593156037977816,0.2789832309442136,0.18734080172202067,0.14510700864986223,0.5124999999999998
2800,0.3653668011255212,0.2892796741247649,0.19298385866798967,0.15282465477907523,0.5197499999999999
2900,0.37258768604983244,0.30061963064403635,0.20117227794169174,0.16210953825376492,0.5300625
3000,0.37576586036003884,0.30794186267571433,0.20753016382821518,0.1697925859606434,0.5412187499999997
3100,0.38706261562852556,0.31400999806910984,0.2179525345204902,0.17632508948708775,0.5504375
3200,0.3993106654364645,0.3278773762836076,0.22780633309636858,0.1865747249115668,0.5582187499999999
3300,0.409993806383998,0.3369051955180162,0.2372988129176833,0.1941484811740729,0.56634375
3400,0.42503056401408107,0.34710380955469794,0.2487300365085559,0.2024476138199813,0.5743437500000003
3500,0.43632090247640487,0.35232840218943756,0.259067017369642,0.20833813524388992,0.5829062500000001
3600,0.44921441630309356,0.3613131285402672,0.2704848123416699,0.2170480765996711,0.5912187500000001
3700,0.46400658010570284,0.36881764114487775,0.2835652436748553,0.22485458297078464,0.5990937499999999
