step,nematic,polar,nematic_2,polar_2
100,0.0,0.0,0.0,0.0
200,0.30350771493806045,0.31260625460335745,0.0008968523099578235,0.0009354019699732315
300,0.24101625207487049,0.29803088846363485,0.000864905232694997,0.0012356096293738295
400,0.22483508606006952,0.267423065904922,0.0009723861424294424,0.0013968422408815763
500,0.2123839196903741,0.25091596139088446,0.0010154548947227079,0.0014205349260215205
600,0.19517654238184048,0.230295091533973,0.001225825893680786,0.0016260246568249894
700,0.1900008703371375,0.20994436209459,0.0013073420609675968,0.0015548811848201938
800,0.18472527541581404,0.19710907749529033,0.0014842477356942375,0.0016622914960284674
900,0.1793901701516167,0.19220797916827745,0.0015832256106382845,0.0018560238564174782
1000,0.16764630773427142,0.17904827426635653,0.001779248272473547,0.002140786460819152
1100,0.1592521979630396,0.17726416422595495,0.0018441472665086313,0.0023472870205443297
1200,0.1653401144153627,0.18017499467918544,0.002473836742151783,0.0029880701679200613
1300,0.1674479122459647,0.1706846510712992,0.0028556494126962422,0.002892613220371496
1400,0.17206942390936333,0.17778314828144104,0.003457502957625967,0.0034327699218110108
1500,0.1549952308220201,0.15797456979582872,0.0034804718421305113,0.0033998878764572686
1600,0.1641289956740402,0.15618513019067204,0.004269534180439094,0.0036557224895825725
1700,0.1608228492058503,0.15709578116722467,0.004522066827288187,0.003913441844187405
1800,0.15547203593523856,0.15793218461203426,0.00447493031459018,0.004023343358572161
1900,0.15697783875104473,0.15904718407789517,0.004952753487635276,0.004475858185199791
2000,0.15166186037789936,0.15813205262011415,0.004913486455036495,0.004862987951050534
2100,0.15581127040457926,0.15171593878538722,0.005394070699275927,0.004404685608697705
2200,0.15896832253426757,0.1515177066766027,0.006225305993555358,0.004791188343637922
2300,0.15693521673885596,0.15511512640112407,0.005676447507844571,0.0053140698821760686
2400,0.15914398189722806,0.15697476910458402,0.005598875885359773,0.005723379054001679
2500,0.1657412374811311,0.15471764737668922,0.006615621509583164,0.0055107357358539204
2600,0.1694286921646039,0.15811241757575115,0.006934302117860394,0.00589438728837073
2700,0.1709512213384613,0.1617418318424773,0.006653176934993059,0.006211536825852914
2800,0.1524378400654971,0.14675694178741955,0.0065535245869185335,0.006553804535429465
2900,0.15318784377464312,0.15038041610622624,0.0069040031495845025,0.007455655197033228
3000,0.15833314196646991,0.15352533444824754,0.007593450529187106,0.00806757957401373
3100,0.16131856369191316,0.15904842152581342,0.008135126620824405,0.009204458160448048
3200,0.1626356808313714,0.1595457428394113,0.008785869858848841,0.00942971531171078
3300,0.16540230076042567,0.16645423782215352,0.008984550651391419,0.010244727442795197
3400,0.16356888702165812,0.16636693164484728,0.008795751368769325,0.010234304369801798
3500,0.16808538136267645,0.17152169903372694,0.009465347455111506,0.01113734749590004
3600,0.1664101234933414,0.17153475711991636,0.00911236816267721,0.011134764945544938
3700,0.17439102164977363,0.17189420976950742,0.010077830352319187,0.011153692038507398
3800,0.1772845920978808,0.17349689182537048,0.01085249080969966,0.011382267772967029
3900,0.17917825686229857,0.1764465264746851,0.011217017347362648,0.011806404040925539
4000,0.17911121587428222,0.177490899664813,0.01148984715439851,0.012290081111981752
4100,0.18163978747043377,0.17780667150236293,0.011301476658171083,0.012362629631281078
4200,0.18524581679706276,0.17789745598306148,0.01169360477626974,0.012175027089629614
4300,0.18088719104646536,0.1796472370377944,0.011390318243415227,0.01267901246301362
4400,0.1820727000066749,0.17574492574378164,0.012263702768481335,0.012499824770771351
4500,0.17826428836441272,0.1731908440609373,0.012379650435289411,0.01258460099259832
4600,0.1803134377687475,0.17042592270059037,0.012604349273391916,0.012877460533032289
4700,0.18178177816195182,0.17195964673911623,0.01311020907728037,0.013103553162985391
4800,0.18219177591033753,0.17433409976282635,0.013198443462924541,0.01348787598970368
4900,0.18240722609921106,0.17487322308348194,0.013576176646920892,0.013746628236211988
5000,0.1888845587686072,0.1746513213822866,0.014263410333904693,0.0138364622021961
5100,0.18479870857516345,0.17009808155222148,0.013472663496798655,0.013532638281795696
5200,0.18748042625069405,0.17087013153839004,0.013630660747658306,0.01356133282381003
5300,0.16850499788671836,0.15592493513283703,0.013048570797619414,0.013731424114372682
5400,0.16559972013225951,0.15574161254245378,0.012370931641069841,0.01373039736665426
5500,0.16419169470037592,0.15630852839784296,0.012533646044456066,0.01408884323332173
5600,0.16832243197288568,0.15652109212363025,0.013784980535786492,0.014360602325273518
5700,0.16437621697710847,0.154553637512998,0.013992600912937178,0.01435600808276507
5800,0.1669692856549064,0.15189836090806536,0.014523322998832322,0.013994911220182631
5900,0.17213966171555206,0.15044264509513464,0.015219119983687704,0.013859726516225825
6000,0.15550996907264442,0.13043161659374058,0.01545236326021625,0.013440103817900615
6100,0.15724362114078025,0.13049206503082492,0.016065952012170467,0.013567822645057948
6200,0.15940133543694054,0.13089548628690664,0.016620262637967502,0.013484216868247047
6300,0.1596319377854166,0.12964536636488355,0.016587670597865437,0.013335193315680558
6400,0.15377403455258226,0.1272861273426179,0.015788065537963754,0.013206386698131307
6500,0.1519949565323781,0.12646128471571313,0.016252794922294263,0.013128988250447317
6600,0.15164574731730823,0.12418362581775202,0.0164372627914473,0.012804145674805601
