step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,15.744523136181442,1000,0
200,16.89866884434571,986,14
300,18.285401833615456,979,21
400,21.706967309382843,972,28
500,22.01236239253908,955,45
600,24.78154105392616,936,64
700,29.714863112165418,907,93
800,34.66935944053816,886,114
900,40.70734176332228,871,129
1000,50.573834811786305,850,150
1100,66.31314468175896,826,174
1200,75.2571899317999,810,190
1300,79.21726470818601,794,206
1400,87.99348743391207,778,222
1500,104.51968612728558,768,232
1600,119.5430744418501,754,246
1700,135.00478459487587,756,244
1800,152.74171516861747,741,259
1900,166.35003188133024,728,272
2000,192.0000178898889,721,279
2100,220.65887817803147,713,287
2200,248.56343690224207,704,296
2300,268.66575396403636,704,296
2400,292.4841006330934,703,297
2500,315.74002411264377,693,307
2600,340.6728133205477,698,302
2700,365.8281394200147,699,301
2800,393.5457444242664,710,290
2900,424.6093437128912,708,292
3000,453.5737331232864,707,293
3100,473.6793280808692,705,295
3200,474.4564316561187,707,293
3300,495.07488451922995,702,298
3400,516.4258969872104,696,304
3500,536.4102346946945,685,315
3600,554.8250956204026,685,315
3700,581.8103640756984,682,318
3800,621.9810121034194,682,318
3900,655.6456446896776,689,311
4000,695.8306317728205,693,307
4100,738.3751160815807,691,309
4200,774.5415900071182,662,338
4300,808.3529030628313,656,344
4400,828.6450670281253,654,346
4500,871.7586027801764,652,348
4600,926.8124694204861,644,356
4700,979.3603564545155,639,361
4800,1029.394732214523,645,355
4900,1066.447682160055,644,356
5000,1115.4635364738563,631,369
5100,1159.3550370938628,616,384
5200,1207.7832818537102,608,392
5300,1254.0756940655522,593,407
5400,1321.4962108831169,589,411
5500,1370.8615727245844,598,402
5600,1420.8764677143251,580,420
5700,1479.3531991816244,566,434
5800,1534.1730259970332,547,453
5900,1595.667963350515,534,466
6000,1638.6052176454198,544,456
6100,1700.0281098396904,539,461
6200,1748.3762795739565,559,441
6300,1800.9455065872003,565,435
6400,1844.1016671553034,564,436
6500,1903.8242271264455,569,431
6600,1972.7994247061092,564,436
6700,2010.4150759238923,552,448
6800,2073.2823432806294,549,451
6900,2121.175407525333,548,452
7000,2182.0843771157743,534,466
7100,2248.909724634511,520,480
7200,2344.43653036167,509,491
7300,2433.423249250747,509,491
7400,2524.153045549627,494,506
7500,2636.5444362525955,473,527
7600,2736.755041311932,471,529
7700,2818.243111372893,468,532
7800,2884.9205421024503,472,528
7900,2965.9974182276933,479,521
8000,3056.792265274264,479,521
8100,3127.8566902421953,476,524
8200,3192.3183234712715,482,518
8300,3287.1017531692532,477,523
8400,3379.2547855090224,477,523
8500,3497.8546636138594,479,521
8600,3637.0582072000457,482,518
8700,3748.894819195119,472,528
8800,3854.4200882746213,475,525
8900,3977.248110750084,469,531
9000,4085.569174863909,465,535
9100,4211.460792205677,463,537
9200,4333.520251976608,453,547
9300,4412.315823545616,443,557
9400,4548.793298908267,427,573
9500,4703.841591842789,421,579
9600,4833.221721270436,404,596
9700,4983.524085483421,395,605
9800,5138.682451847908,387,613
9900,5309.249645773329,384,616
10000,5533.941418452284,382,618
10100,5757.437283480179,372,628
10200,5919.0229816768115,377,623
10300,6110.637004455719,367,633
10400,6345.44968398667,357,643
10500,6558.512290810548,340,660
10600,6742.234818649907,325,675
10700,6946.825611035568,300,700
10800,7177.986511385456,307,693
10900,7368.213871965088,297,703
11000,7611.590926505598,280,720
11100,7829.918542450053,276,724
11200,8069.621997615703,268,732
11300,8334.302813108838,272,728
11400,8612.350165149926,261,739
11500,8926.838871971158,255,745
11600,9233.483893668948,255,745
11700,9543.143975720826,252,748
11800,9877.69934671181,254,746
11900,10189.806077396759,250,750
12000,10510.65399697545,249,751
12100,10891.23990304194,248,752
