step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,12.336017659330926,1000,0
200,12.464568466093503,990,10
300,15.430182362975836,978,22
400,18.669579816912947,963,37
500,23.569665969922877,952,48
600,26.38544855025222,938,62
700,32.91969352291575,919,81
800,38.25073419944873,900,100
900,46.291380261245855,881,119
1000,52.802320985617754,865,135
1100,62.684957162943924,841,159
1200,68.37276441113158,819,181
1300,83.24011248521306,796,204
1400,98.43197678885808,776,224
1500,107.9258589555578,762,238
1600,123.31931207053218,759,241
1700,145.4090479225464,747,253
1800,164.19700034159152,734,266
1900,186.65822929416882,739,261
2000,201.0003284003333,737,263
2100,216.04094471991988,721,279
2200,231.2882849441706,726,274
2300,242.56512683598132,717,283
2400,266.9989599644063,706,294
2500,284.29464929884847,689,311
2600,308.4240636349057,687,313
2700,325.35787758621024,675,325
2800,347.8009220426412,662,338
2900,387.4581913231618,670,330
3000,426.9055335472608,684,316
3100,455.61265791527893,681,319
3200,486.52576758314734,674,326
3300,516.8216313606417,655,345
3400,546.8904060263432,651,349
3500,576.4270276214053,653,347
3600,619.1484350274557,651,349
3700,660.744136964968,634,366
3800,702.4396488357038,620,380
3900,733.4256520855562,600,400
4000,770.3027615206001,584,416
4100,817.7782813051086,589,411
4200,865.9562218147761,590,410
4300,884.5804400404387,584,416
4400,932.9601588425455,591,409
4500,982.9698406230189,592,408
4600,1040.306033565875,591,409
4700,1089.0935214827089,585,415
4800,1151.1802393122139,584,416
4900,1192.1332640094588,587,413
5000,1225.6288122605874,579,421
5100,1291.272881793886,575,425
5200,1349.8037223894278,578,422
5300,1431.9083568836425,568,432
5400,1497.8346911799517,566,434
5500,1564.5088663720662,564,436
5600,1626.9637249541286,552,448
5700,1726.3904170642677,534,466
5800,1799.7289692678587,526,474
5900,1863.1442184627856,512,488
6000,1944.2118109241524,510,490
6100,2022.0587756121731,508,492
6200,2117.998514684732,508,492
6300,2217.125116767958,511,489
6400,2334.4537956466247,499,501
6500,2449.274357101814,496,504
6600,2549.6966665985615,495,505
6700,2640.237975156949,497,503
6800,2734.0782827963726,492,508
