step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,18.296946788226595,1000,0
200,19.080202062980614,984,16
300,18.982048307860598,965,35
400,21.784576101633053,945,55
500,24.742128086977555,926,74
600,31.70285883120553,912,88
700,37.315657804231364,890,110
800,44.30751331675181,865,135
900,58.853511970512116,840,160
1000,73.07944884240118,816,184
1100,85.43416368759607,804,196
1200,100.49646013359498,789,211
1300,113.05700481432089,769,231
1400,127.92474720397661,759,241
1500,149.18143936831748,749,251
1600,165.15930583995484,739,261
1700,184.56489779815473,739,261
1800,199.69533159734453,740,260
1900,220.92272084889277,730,270
2000,239.83721626620135,729,271
2100,259.2549846262031,725,275
2200,275.50621413271483,718,282
2300,304.2042012707323,719,281
2400,333.197880773108,713,287
2500,361.95375969190707,691,309
2600,378.42163208888167,688,312
2700,399.46114175643993,684,316
2800,418.8678594032674,668,332
2900,444.76595624881776,663,337
3000,475.9129282326087,665,335
3100,521.3108062916368,670,330
3200,559.3268473095617,682,318
3300,611.5493880016729,672,328
3400,643.6977726090386,673,327
3500,684.1941048106852,667,333
3600,700.9431765322382,664,336
3700,717.8988559327086,654,346
3800,746.5085685815371,653,347
3900,753.3792153807369,653,347
4000,778.7352510038113,648,352
4100,804.3729353278782,653,347
4200,841.3381764064541,667,333
4300,873.6172390748343,654,346
4400,922.1903100710716,661,339
4500,972.124874333614,649,351
4600,1023.8226110009309,644,356
4700,1074.7780368727704,645,355
4800,1133.9324550131023,633,367
4900,1180.6282433451101,642,358
5000,1235.7884392911521,644,356
5100,1287.7184618552822,641,359
5200,1315.6507377864714,645,355
5300,1355.1157065420025,656,344
5400,1379.9523773941296,660,340
5500,1411.58608108826,646,354
5600,1441.1814672323148,645,355
5700,1482.7827763892553,637,363
5800,1499.9042681139915,643,357
5900,1540.0812057843195,649,351
6000,1561.6481910229716,636,364
6100,1608.6216988353547,639,361
6200,1662.6930098474402,632,368
6300,1702.346539213163,632,368
6400,1749.8035010224655,629,371
6500,1781.8961571888583,624,376
6600,1825.1728020256019,617,383
6700,1854.0443892603275,615,385
6800,1887.3191455031936,608,392
6900,1890.6254325336354,605,395
7000,1895.4378728395095,610,390
7100,1939.2016288168268,614,386
7200,2002.1090989064915,617,383
7300,2042.179809835931,616,384
7400,2092.945384249416,608,392
7500,2157.484799994965,602,398
7600,2225.491744107318,596,404
7700,2292.85810982572,588,412
7800,2370.784088719703,579,421
7900,2464.9488661622245,572,428
8000,2516.404656646329,581,419
8100,2566.176725326126,564,436
8200,2607.7961411611595,551,449
8300,2680.4673977611205,542,458
8400,2712.5308432512124,542,458
8500,2737.8007344324596,529,471
8600,2791.7568086572355,516,484
8700,2849.105495133653,501,499
8800,2916.9348238796442,495,505
8900,2962.925406012514,491,509
9000,3037.8124827213214,476,524
9100,3128.631878544097,472,528
9200,3188.508914277194,460,540
9300,3283.9775821485946,459,541
9400,3411.7539129006786,448,552
9500,3519.45172923453,439,561
9600,3629.843206741424,432,568
9700,3743.784354677329,417,583
9800,3859.8513281584915,416,584
9900,4021.7531723781276,392,608
10000,4147.569644811761,385,615
10100,4273.299344837123,381,619
10200,4410.06306146337,385,615
10300,4522.836099620642,377,623
10400,4636.051743595148,377,623
10500,4761.992926835634,387,613
10600,4919.183538619589,392,608
10700,5049.831902909919,399,601
10800,5172.179891746527,404,596
10900,5336.494355148624,404,596
11000,5454.739666481443,388,612
11100,5583.100043242128,393,607
11200,5746.850098993719,381,619
11300,5895.523473805949,366,634
11400,6074.450222071077,361,639
11500,6271.001008440999,350,650
11600,6509.854703223331,339,661
11700,6715.776162153475,333,667
11800,6977.935316622156,332,668
11900,7247.0621220365165,321,679
12000,7493.714123159184,323,677
12100,7740.10102230964,320,680
12200,7953.906350060744,305,695
12300,8246.153839839244,291,709
12400,8444.73790921798,271,729
12500,8682.145426870886,261,739
12600,8886.303993412577,250,750
12700,9080.310243624426,242,758
12800,9265.036320329935,250,750
12900,9480.89895559534,264,736
13000,9714.643873412684,275,725
13100,9951.773290887217,276,724
13200,10212.87362347319,271,729
13300,10522.17827867069,260,740
13400,10795.433001231675,248,752
13500,11087.959741878181,232,768
13600,11358.36701622159,219,781
13700,11706.29049219887,205,795
13800,12039.006328288686,193,807
13900,12382.997961107183,183,817
14000,12745.983971656842,177,823
14100,13158.543659966004,173,827
14200,13509.41544430414,170,830
14300,13862.111046143671,168,832
14400,14226.545782271292,152,848
14500,14590.687778883734,136,864
14600,14944.579228160705,127,873
14700,15365.023624352843,126,874
14800,15738.361343272643,112,888
14900,16150.923236477749,98,902
15000,16575.241079517276,89,911
15100,17026.367230514406,78,922
15200,17512.491583658473,72,928
15300,18027.59571938463,69,931
15400,18489.709721009076,65,935
15500,19034.261723579566,64,936
15600,19495.54108067257,63,937
15700,20051.89526069092,62,938
15800,20610.019116859665,64,936
15900,21292.2485905184,62,938
16000,22015.340858955034,60,940
16100,22649.22768577494,56,944
16200,23257.59824276126,54,946
16300,23849.274274840496,50,950
16400,24351.171680385025,49,951
16500,25001.722055440034,48,952
16600,25682.762644278286,44,956
16700,26360.925901024842,39,961
16800,27131.586724372628,37,963
16900,27840.11013058061,34,966
17000,28479.542929343963,26,974
17100,29204.12856247505,20,980
17200,29955.005641202497,16,984
17300,30714.98583926956,11,989
17400,31536.886312609397,9,991
17500,32345.150176614123,2,998
17600,33146.19150420003,0,1000
17700,34080.86136878099,0,1000
17800,35063.50262882091,0,1000
17900,35830.50072837755,1,999
18000,36737.35810854135,1,999
18100,37459.189531952645,1,999
18200,38238.2300238996,1,999
18300,39096.81117575572,0,1000
18400,40077.07631881905,0,1000
18500,41136.29936984154,1,999
18600,42193.76896946789,1,999
18700,43255.499069309655,0,1000
18800,44247.05628483878,0,1000
18900,45242.8843305861,0,1000
19000,46337.19781667037,0,1000
19100,47367.18348588374,0,1000
19200,48466.02172255416,0,1000
19300,49476.194635501364,0,1000
19400,50700.44587181864,0,1000
19500,51871.25411173579,0,1000
19600,53053.24589009613,0,1000
19700,54138.45024353679,0,1000
19800,55163.65612944712,0,1000
19900,56065.80589353347,0,1000
20000,57139.95991312283,0,1000
20100,58328.55587896294,0,1000
20200,59628.19969479392,0,1000
20300,60874.74151642625,0,1000
20400,62082.7239337108,0,1000
20500,63353.111106717435,0,1000
20600,64687.88996121731,0,1000
20700,66071.4472833786,0,1000
20800,67416.06254170412,0,1000
20900,68773.53502485872,0,1000
21000,70115.03559933636,0,1000
21100,71530.79699166569,0,1000
21200,72942.54723698259,0,1000
21300,74356.50984336631,0,1000
21400,75706.76058639944,0,1000
21500,76932.019211369,0,1000
21600,78325.35014266324,0,1000
21700,79649.44012344904,0,1000
21800,81185.63048631522,0,1000
21900,82642.09908166439,0,1000
22000,84084.86099505432,0,1000
22100,85508.10445138872,0,1000
22200,86938.12640040435,0,1000
22300,88532.6887679262,0,1000
22400,90176.46332594454,0,1000
22500,91778.0623309877,0,1000
22600,93267.41461740047,0,1000
22700,94882.28478541855,0,1000
22800,96603.57922818362,0,1000
22900,98301.91355237034,0,1000
23000,100106.75917080397,0,1000
23100,101710.49228524363,0,1000
23200,103233.55879965016,0,1000
23300,104847.99068426035,0,1000
23400,106435.55038430693,0,1000
23500,108108.2672821862,0,1000
23600,109850.03130270148,0,1000
23700,111679.33712593997,0,1000
23800,113390.9186365986,0,1000
23900,115185.75451170388,0,1000
24000,116881.26662890732,0,1000
24100,118659.74936075008,0,1000
24200,120355.05927759255,1,999
24300,122163.1424192119,1,999
24400,124017.15553236383,0,1000
24500,125923.76069917537,0,1000
24600,127940.56796435114,0,1000
24700,129871.95587775148,0,1000
24800,131725.46150045932,0,1000
24900,133626.57665829177,0,1000
25000,135426.52881827694,0,1000
25100,137402.94377204237,0,1000
25200,139398.93788215893,0,1000
25300,141464.90520539912,0,1000
25400,143429.47049937164,0,1000
25500,145396.21038756616,2,998
25600,147344.24467456093,2,998
25700,149265.8222946714,0,1000
25800,151293.93371065505,0,1000
25900,153328.56952625455,0,1000
26000,155326.34650011588,0,1000
26100,157426.2396678867,0,1000
26200,159586.59064679593,0,1000
26300,161841.68190686614,0,1000
26400,163905.32970409404,0,1000
26500,165979.64306895895,0,1000
26600,168061.6860592416,0,1000
26700,170185.98831423942,0,1000
26800,172411.49523439584,0,1000
26900,174658.07317732528,0,1000
27000,176923.46705376625,0,1000
27100,179317.94357118162,0,1000
27200,181565.6032163846,0,1000
27300,183795.69470835,0,1000
27400,186037.4359872144,0,1000
27500,188447.24936764396,0,1000
27600,190656.67598111753,0,1000
27700,192838.44169070642,0,1000
27800,195122.47354079664,0,1000
27900,197461.1368197574,0,1000
28000,199916.85054544563,0,1000
28100,202405.47541488765,0,1000
28200,204684.18902554733,0,1000
28300,207032.92215862297,0,1000
28400,209255.2506292349,0,1000
28500,211685.53294845668,0,1000
28600,214184.22925373685,0,1000
28700,216632.0218234388,0,1000
28800,219216.7539331916,0,1000
28900,221734.10028505352,0,1000
29000,224304.31758168183,0,1000
29100,226814.48441486055,0,1000
29200,229410.89867877893,0,1000
29300,231952.0610721712,0,1000
29400,234440.35016811226,0,1000
29500,237059.9531563834,0,1000
29600,239751.13823560847,0,1000
29700,242558.22654907228,0,1000
29800,245125.3461465418,0,1000
29900,247672.1177207768,0,1000
30000,250209.79594095782,0,1000
30100,252769.30174657248,0,1000
30200,255402.9816364172,0,1000
30300,258184.9658547168,0,1000
30400,260877.50480679414,0,1000
30500,263547.46010010573,0,1000
30600,266220.2734794812,0,1000
30700,269071.19911728345,0,1000
30800,271881.49191291793,0,1000
30900,274775.35507999687,0,1000
31000,277530.41342481546,0,1000
31100,280359.66001505643,0,1000
31200,283233.73456416535,0,1000
31300,286343.22526230564,0,1000
31400,289261.2940923826,0,1000
31500,292247.56373733643,0,1000
31600,295135.8262512104,0,1000
31700,297916.56944027374,0,1000
31800,300815.70292411075,0,1000
31900,303609.1325426698,0,1000
32000,306458.27876711386,0,1000
32100,309513.6706734041,0,1000
32200,312359.2407287413,0,1000
32300,315423.46672258136,0,1000
32400,318510.73239072063,0,1000
32500,321445.8575421952,0,1000
32600,324489.15474347386,0,1000
32700,327409.1753957405,0,1000
32800,330541.1934660206,0,1000
32900,333703.36646270537,0,1000
33000,336943.545703681,0,1000
33100,340194.68100157887,0,1000
33200,343406.2805284466,0,1000
33300,346604.54598060984,0,1000
33400,349885.022999555,0,1000
33500,353072.60275061586,0,1000
33600,356327.31792258297,0,1000
33700,359481.63132130064,0,1000
33800,362720.7752031263,0,1000
33900,365876.542918455,0,1000
34000,369012.74253486184,0,1000
34100,372201.0850456059,0,1000
34200,375397.0087775024,0,1000
34300,378432.24307405367,0,1000
