step,msd_global,n_round,n_elongated,density
0,0.0,10000.0,0.0,0.75
100,54.232952810263235,10000.0,0.0,0.75
200,62.87538892300854,9762.0,238.0,0.75
300,71.78102558589008,9565.375,434.625,0.75
400,84.02103945339198,9338.375,661.625,0.75
500,101.05196269505058,9092.75,907.25,0.75
600,124.57938625960446,8838.125,1161.875,0.75
700,148.44230121024017,8577.875,1422.125,0.75
800,177.2017248116759,8326.125,1673.875,0.75
900,208.90974072511065,8114.0,1886.0,0.75
1000,244.2128039185639,7892.375,2107.625,0.75
1100,283.77446628151455,7707.0,2293.0,0.75
1200,323.429612807833,7533.0,2467.0,0.75
1300,369.1033608504097,7378.375,2621.625,0.75
1400,416.2915075738334,7247.75,2752.25,0.75
1500,464.7470267620613,7126.5,2873.5,0.75
1600,513.7767616937931,7014.0,2986.0,0.75
1700,568.9274936058214,6915.875,3084.125,0.75
1800,623.9078948424863,6835.375,3164.625,0.75
1900,680.7488728826298,6761.875,3238.125,0.75
2000,735.7016713300449,6696.125,3303.875,0.75
2100,795.9177918753061,6626.125,3373.875,0.75
2200,851.6571283326585,6554.0,3446.0,0.75
2300,909.0688353834166,6490.0,3510.0,0.75
2400,965.3686129619688,6431.375,3568.625,0.75
2500,1022.2217365253875,6374.5,3625.5,0.75
2600,1082.0369498488942,6303.25,3696.75,0.75
2700,1146.0917833337046,6239.5,3760.5,0.75
2800,1205.3665754266299,6175.0,3825.0,0.75
2900,1266.556343852148,6115.75,3884.25,0.75
3000,1333.2689860165483,6070.375,3929.625,0.75
3100,1399.9780285227173,6014.75,3985.25,0.75
3200,1467.0148018967502,5958.5,4041.5,0.75
3300,1533.5200979874796,5912.125,4087.875,0.75
3400,1598.6858678215215,5856.0,4144.0,0.75
3500,1666.259842914772,5817.875,4182.125,0.75
3600,1738.056564459543,5769.25,4230.75,0.75
3700,1811.8245297204887,5721.5,4278.5,0.75
3800,1888.3906525009888,5679.375,4320.625,0.75
3900,1969.6183562550484,5627.375,4372.625,0.75
4000,2052.1570022298083,5563.125,4436.875,0.75
4100,2134.399556581622,5519.5,4480.5,0.75
4200,2219.5000371989418,5470.375,4529.625,0.75
4300,2307.247382999277,5420.75,4579.25,0.75
4400,2395.1666499232715,5375.875,4624.125,0.75
4500,2484.8932186383195,5336.625,4663.375,0.75
4600,2573.8222202456595,5296.75,4703.25,0.75
4700,2662.6121953670527,5261.625,4738.375,0.75
4800,2754.2147682650666,5211.375,4788.625,0.75
4900,2840.4570765664607,5167.875,4832.125,0.75
5000,2931.7238743089565,5114.75,4885.25,0.75
5100,3018.2263248984405,5067.625,4932.375,0.75
5200,3098.6522222693807,5042.625,4957.375,0.75
5300,3183.1300555421453,4996.375,5003.625,0.75
5400,3270.5566014389788,4969.0,5031.0,0.75
5500,3365.2876213874333,4945.0,5055.0,0.75
5600,3463.5744162486503,4908.375,5091.625,0.75
5700,3565.3460206602913,4875.0,5125.0,0.75
5800,3666.802908908914,4854.5,5145.5,0.75
5900,3768.7555698601745,4811.625,5188.375,0.75
6000,3872.0916307480456,4767.875,5232.125,0.75
6100,3973.794388390317,4715.125,5284.875,0.75
6200,4073.562486011154,4671.25,5328.75,0.75
6300,4174.656942122749,4639.5,5360.5,0.75
6400,4276.407256954314,4610.375,5389.625,0.75
6500,4374.182728376481,4578.75,5421.25,0.75
6600,4471.308442726631,4567.25,5432.75,0.75
6700,4565.9134443540415,4535.75,5464.25,0.75
6800,4660.7593087099785,4511.5,5488.5,0.75
6900,4753.138864458835,4474.625,5525.375,0.75
7000,4844.943395974928,4432.875,5567.125,0.75
7100,4933.9650385848545,4406.625,5593.375,0.75
7200,5027.842593258832,4387.375,5612.625,0.75
7300,5122.194055027099,4350.0,5650.0,0.75
7400,5220.402780261451,4311.375,5688.625,0.75
7500,5322.682206243107,4287.375,5712.625,0.75
7600,5428.569890700435,4252.25,5747.75,0.75
7700,5535.78559363677,4219.25,5780.75,0.75
7800,5656.593762322236,4193.5,5806.5,0.75
7900,5775.263544308899,4174.625,5825.375,0.75
8000,5894.867106379543,4153.5,5846.5,0.75
8100,6024.229266064915,4124.875,5875.125,0.75
8200,6147.639396051833,4104.0,5896.0,0.75
8300,6273.34164349972,4083.75,5916.25,0.75
8400,6389.6987443627295,4054.75,5945.25,0.75
8500,6506.1890719918865,4041.875,5958.125,0.75
8600,6623.035832314867,4034.375,5965.625,0.75
8700,6740.8387586815015,4037.25,5962.75,0.75
8800,6866.601339520888,4047.0,5953.0,0.75
8900,6998.584955325142,4073.0,5927.0,0.75
9000,7123.902177713795,4088.875,5911.125,0.75
9100,7253.912392673041,4092.625,5907.375,0.75
9200,7382.394110911651,4095.125,5904.875,0.75
9300,7504.837868806131,4110.375,5889.625,0.75
