step,nematic,polar,nematic_2,polar_2
100,0.0,0.0,0.0,0.0
200,0.012555102589996677,0.010996369105167134,0.011996713706630024,0.010505051898187906
300,0.015262122899706838,0.014146898995104509,0.014261533124130555,0.013218941982291416
400,0.015439134524287608,0.016429029680606763,0.014250847024517394,0.015162079850313141
500,0.01831612133671918,0.019765054135658846,0.01676113149301687,0.018077943421695886
600,0.02107111236750298,0.02293143989420039,0.019109875478833478,0.020789478007694446
700,0.023871044329628367,0.025648968511819557,0.02150917477321947,0.023104315779935974
800,0.02458523022629457,0.029172560990802836,0.02202533276747369,0.026114801001287453
900,0.024979711899896284,0.03227058308606841,0.022291854464108432,0.028774646603179674
1000,0.02646799820666813,0.035730080604472754,0.023539341356757098,0.03173759690923724
1100,0.02968805996681109,0.03984217510774841,0.02630388064807322,0.03528208551700916
1200,0.029721862414187714,0.04134874728583593,0.026258642008022633,0.03654645849447867
1300,0.030647096655249072,0.043679766667721984,0.026991450068882795,0.038481015473988286
1400,0.03118592353664199,0.044950694244635415,0.02742517168359723,0.0394974167058884
1500,0.033028497444550005,0.0462673326170679,0.028999094084053118,0.040577990818030006
1600,0.03504871995283249,0.04814617482654307,0.03076267649071663,0.042220674891097695
1700,0.03678700584055149,0.049938451269745956,0.03221928694733242,0.043685530264063695
1800,0.03824803735285057,0.051093387679642034,0.0334503866170598,0.044675261492258464
1900,0.0398202990809636,0.05237256150833813,0.03474952170580936,0.045696119972614545
2000,0.0391245798748502,0.05476543721245444,0.034099683806469105,0.047749064358716974
2100,0.03882295131513752,0.0575102407007531,0.03380071583387709,0.05009641503327816
2200,0.03771340549687095,0.060425280617819474,0.032769044241317664,0.05254257024681433
2300,0.038154580533545,0.06397447588273862,0.03315117177842129,0.055562955414014556
2400,0.03944955333517976,0.06720373668819944,0.034278528684412155,0.058310268044968104
2500,0.03917481038718698,0.06942255787589437,0.03400371103170246,0.06016140234396498
2600,0.03930901154222676,0.07120806777072287,0.034127541048728484,0.06167557943167998
2700,0.03942877249923418,0.07264376281590276,0.034194698266759936,0.06282115532590464
2800,0.037790014004273155,0.07389880109858629,0.03272142264874539,0.06377379016896488
2900,0.03803773370368438,0.07520585361265691,0.03290367077362151,0.06482702219956547
3000,0.0397853677511415,0.07669485031196532,0.034344304777212085,0.06597236724517626
3100,0.04054583394047272,0.07811671333888283,0.03500051585026737,0.06720020562164611
3200,0.041068814654760616,0.08008003266178283,0.03546682860359819,0.06891724242866855
3300,0.0427891298854359,0.08228947522310347,0.03698224037378178,0.0709053282927836
3400,0.04642414258523108,0.08367718674144865,0.04015783871733669,0.07221313703027102
3500,0.049868396335867864,0.08540235031436977,0.04312537402718088,0.07367880528824629
3600,0.05208200605305982,0.08650231693828189,0.04499530582159795,0.07456684596220486
3700,0.051631521534934485,0.08862540243795049,0.04459345879746063,0.07633023580890112
3800,0.05270188572467861,0.09093051604058039,0.045506409390572454,0.07829592756148884
3900,0.05208514571037363,0.09332528235424163,0.04498120126873483,0.08038927545993677
4000,0.054622182303463586,0.09531770230454387,0.04715040104218709,0.08208235889285145
4100,0.056487986942722,0.0978669459264933,0.04871703829343361,0.08421672552524795
4200,0.055995620552749696,0.09918845338720099,0.0482605650596123,0.08531408618785233
4300,0.05580572271574191,0.10101049312197709,0.04804068511881734,0.08678984296068963
