step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
100,1747.875,7606.71875,27.25,0.0,0.0,0.0,11.90625,9987.890625,1.984375,0.0,0.0,0.0
200,984.46875,1866.015625,627.0625,3786.03125,21.3125,17.71875,330.234375,3503.921875,446.0,396.90625,3174.78125,447.609375
300,1148.828125,1121.75,466.078125,3610.984375,29.53125,21.984375,324.359375,3277.109375,381.0,437.84375,2170.125,585.359375
400,1120.90625,877.375,342.5,3343.171875,34.0625,26.390625,278.359375,3635.3125,316.5625,472.421875,1186.21875,571.46875
500,1024.5,849.53125,394.625,3032.765625,39.296875,30.984375,243.5625,4189.359375,275.46875,500.625,834.75,447.671875
600,901.25,919.28125,471.125,2750.3125,48.359375,35.390625,215.25,4639.484375,218.046875,497.3125,738.03125,421.71875
700,777.078125,1297.765625,667.59375,2494.78125,52.8125,41.46875,201.15625,4934.0,207.34375,488.65625,671.921875,387.25
800,674.84375,1928.0625,708.140625,2299.34375,63.0,48.328125,190.453125,5124.640625,184.015625,470.265625,711.875,410.28125
900,606.625,2091.6875,862.140625,2134.640625,78.109375,57.09375,185.046875,5137.875,254.203125,450.640625,750.046875,432.65625
1000,538.5625,2901.203125,761.390625,2004.78125,80.375,64.0625,183.4375,5143.9375,253.46875,429.28125,899.140625,442.453125
1100,492.46875,3238.109375,806.59375,1900.5,88.671875,69.40625,178.625,5229.90625,231.984375,399.390625,910.234375,486.9375
1200,458.984375,3439.90625,740.53125,1822.625,98.1875,77.453125,180.546875,5179.265625,274.015625,386.90625,1085.921875,491.5
1300,432.703125,3503.625,777.25,1758.703125,122.875,88.9375,178.890625,5062.828125,301.59375,364.390625,1111.4375,556.234375
1400,418.296875,3513.71875,747.296875,1714.25,122.359375,96.8125,183.0,4990.328125,333.375,345.9375,1281.125,562.984375
1500,404.25,3587.515625,751.53125,1669.9375,130.875,97.53125,187.03125,4861.734375,382.625,331.984375,1263.328125,639.8125
1600,392.4375,3533.625,728.0,1632.875,142.359375,109.34375,188.09375,4629.390625,458.609375,320.078125,1457.109375,595.828125
1700,377.59375,3692.875,626.640625,1598.09375,152.421875,115.265625,187.15625,4632.671875,472.484375,305.4375,1699.125,628.15625
1800,369.640625,3662.515625,745.71875,1572.90625,158.84375,122.890625,189.03125,4493.25,515.96875,295.0,1768.671875,610.828125
1900,362.734375,3670.21875,642.640625,1543.234375,164.953125,125.578125,187.875,4349.53125,538.515625,289.765625,1922.4375,639.53125
2000,359.859375,3395.03125,795.25,1527.84375,187.75,135.875,189.078125,4278.21875,521.796875,281.015625,2168.140625,587.390625
2100,357.65625,3444.234375,708.03125,1507.65625,202.921875,153.984375,190.328125,4227.21875,541.109375,274.046875,1994.625,696.796875
2200,349.375,3375.9375,729.09375,1489.96875,220.765625,156.265625,189.78125,4125.03125,589.65625,271.484375,2167.984375,681.125
2300,351.921875,3348.09375,791.53125,1471.15625,237.28125,163.453125,193.3125,3945.4375,683.078125,260.578125,2380.25,623.0625
2400,348.03125,3231.09375,798.578125,1468.78125,259.390625,171.40625,193.0,3869.296875,676.0,258.625,2576.21875,605.734375
2500,345.25,3263.0,711.84375,1460.6875,253.578125,178.9375,192.453125,3811.75,651.765625,253.203125,2646.375,589.078125
2600,346.328125,3084.90625,742.546875,1440.953125,282.9375,194.359375,196.359375,3787.078125,640.8125,247.046875,2622.78125,600.8125
2700,340.203125,3156.828125,691.375,1431.65625,294.953125,206.828125,193.984375,3725.484375,589.671875,244.625,2744.609375,579.578125
2800,334.640625,3103.109375,740.875,1416.28125,297.96875,211.25,194.09375,3665.15625,626.578125,243.0,2896.9375,552.15625
2900,332.84375,3007.8125,765.40625,1402.890625,290.890625,206.203125,194.0625,3598.453125,644.203125,240.46875,2929.34375,493.5
3000,327.0,3018.984375,756.859375,1402.15625,307.828125,205.953125,191.703125,3547.34375,695.984375,236.109375,3044.453125,552.90625
3100,325.4375,3018.3125,789.765625,1386.359375,315.015625,218.140625,191.625,3568.25,666.21875,235.40625,3038.0625,470.671875
3200,321.75,3019.625,723.15625,1378.203125,339.125,213.859375,189.53125,3516.1875,655.515625,234.78125,3139.875,471.28125
3300,323.921875,2991.453125,734.71875,1362.171875,335.75,232.0625,192.046875,3488.390625,660.640625,232.5625,3196.015625,488.75
3400,324.890625,2894.546875,739.1875,1371.453125,358.3125,243.5,193.28125,3389.46875,700.765625,234.421875,3074.203125,516.59375
3500,317.515625,3022.03125,681.5,1357.0,370.375,256.046875,191.953125,3355.96875,701.34375,230.953125,3284.5625,391.515625
3600,315.140625,2972.796875,679.96875,1363.5625,365.21875,253.015625,188.34375,3435.0625,648.109375,230.703125,3033.1875,543.0625
3700,318.453125,2908.890625,670.234375,1365.34375,389.203125,248.421875,190.0625,3449.015625,601.4375,232.0,3154.34375,475.390625
3800,310.46875,3105.625,639.359375,1358.921875,370.8125,257.78125,188.015625,3618.046875,524.234375,232.328125,3068.578125,554.5625
3900,308.796875,2981.140625,675.578125,1357.984375,373.328125,263.515625,186.375,3487.875,589.109375,230.5625,3172.65625,484.109375
4000,300.953125,2968.4375,690.625,1340.8125,401.984375,279.0,183.953125,3541.46875,560.90625,230.359375,3341.03125,428.28125
4100,308.015625,2969.71875,650.5625,1339.15625,431.046875,286.859375,187.234375,3433.203125,593.203125,229.46875,3481.015625,392.65625
4200,302.671875,3101.03125,565.203125,1335.609375,419.015625,271.6875,184.65625,3478.578125,560.890625,226.28125,3564.53125,306.953125
4300,303.234375,3156.53125,539.515625,1332.421875,450.453125,272.578125,187.78125,3454.84375,543.9375,226.3125,3489.375,391.90625
4400,307.453125,3087.75,626.859375,1319.515625,451.1875,271.21875,186.703125,3423.1875,599.0,225.015625,3444.953125,457.953125
4500,296.09375,3117.90625,592.890625,1316.28125,446.078125,284.515625,184.078125,3587.21875,458.90625,224.859375,3481.734375,446.375
4600,296.546875,3130.9375,556.203125,1308.234375,487.828125,295.125,183.953125,3513.3125,498.453125,222.390625,3517.546875,415.515625
4700,297.96875,3154.609375,514.828125,1292.75,464.609375,302.8125,185.859375,3390.484375,526.203125,220.546875,3402.9375,472.765625
4800,292.609375,3083.4375,586.96875,1290.28125,486.828125,300.46875,181.828125,3381.078125,556.8125,220.546875,3321.5,569.90625
4900,289.671875,2979.625,630.21875,1293.296875,489.109375,311.9375,181.765625,3318.25,600.34375,216.859375,3626.484375,386.046875
5000,287.515625,2977.9375,666.0625,1285.65625,478.28125,319.703125,179.515625,3404.8125,546.96875,220.015625,3436.53125,481.3125
5100,288.703125,3033.375,580.5,1272.1875,513.609375,339.703125,181.5,3363.46875,570.75,218.796875,3550.390625,373.453125
5200,285.640625,2996.765625,648.03125,1280.84375,511.171875,342.40625,176.953125,3319.875,617.03125,216.046875,3412.796875,491.171875
5300,284.59375,3077.453125,544.234375,1279.71875,542.796875,328.78125,176.890625,3340.734375,560.765625,217.953125,3625.671875,350.71875
5400,285.390625,3045.734375,569.046875,1265.09375,539.328125,348.8125,178.3125,3340.734375,549.53125,214.421875,3464.96875,424.265625
5500,280.625,3111.203125,543.265625,1268.09375,535.890625,346.21875,176.296875,3407.15625,533.484375,218.0,3484.40625,441.859375
5600,276.28125,3016.546875,611.625,1270.34375,568.59375,345.4375,172.375,3398.453125,536.984375,221.5,3481.828125,441.75
5700,277.0625,2980.515625,599.890625,1267.0,555.671875,361.53125,174.125,3309.453125,560.390625,215.21875,3540.609375,467.859375
5800,276.90625,2987.3125,626.21875,1274.234375,594.828125,348.078125,174.453125,3406.734375,508.9375,220.671875,3536.421875,407.53125
5900,281.625,2944.265625,636.859375,1283.421875,595.015625,351.390625,177.90625,3276.96875,602.65625,220.625,3450.609375,509.53125
6000,282.40625,2971.703125,589.90625,1283.28125,598.671875,353.234375,177.859375,3281.921875,569.140625,215.546875,3673.234375,378.828125
