step,msd_global,msd_round,msd_elongated,n_round,n_elongated
0,0.0,0.0,,500,0
100,6.070287115304048,6.070287115304048,,500,0
200,79.45455330460538,3.2580171410519556,81.97344706207824,16,484
300,147.92244871781836,31.061892273701247,149.8226203673162,8,492
400,231.86989818628393,422.7899332119911,229.55103136410938,6,494
500,289.38532642029566,238.00269488111417,290.32716691694054,9,491
600,353.17776423503386,226.56117661446874,357.09374117175247,15,485
700,412.6787297283055,322.15962096948516,416.45035925992295,20,480
800,482.8478799602699,392.4352515731958,488.00885451936296,27,473
900,557.1045538957733,413.6326779847731,564.0224850193644,23,477
1000,625.0244918803016,550.8832941369342,630.0939754866858,32,468
1100,714.7983148670227,516.1678496510395,732.540905441871,41,459
1200,819.2884237342176,547.8155368638298,838.4717326565363,33,467
1300,896.6028381329351,679.5862199765004,907.0669517966626,23,477
1400,968.0828163291128,688.8515180655327,977.910833038183,17,483
1500,1075.7973139161338,557.6806644442557,1087.4522896711248,11,489
1600,1198.4071142486748,771.3321148597157,1206.2353728932792,9,491
1700,1276.6939270454147,1389.837417255761,1274.8541954972789,8,492
1800,1348.3077712512759,1632.2777867879922,1343.6903726246628,8,492
1900,1441.4937593532513,1743.7397070833508,1437.2022347404506,7,493
2000,1527.8490203495408,1819.682258203608,1521.893239985172,10,490
2100,1640.6744635918267,1873.5066846211696,1635.4369289674446,11,489
2200,1740.9515642673641,1916.0463443559772,1738.8249070193244,6,494
2300,1863.3129822650803,1286.663725803239,1866.793762485172,3,497
2400,1963.7961931480174,1765.3748321822413,1964.9939076005269,3,497
2500,2049.11582050461,2183.64000927519,2048.0309480145247,4,496
2600,2150.350448434811,1849.4658394917883,2155.242881100551,8,492
2700,2359.091980388968,893.053160907124,2376.8981198968445,6,494
2800,2599.774611646842,1895.7532617523002,2608.325478244751,6,494
2900,2833.7818364751543,3020.1724757750926,2832.6567420729416,3,497
3000,3030.4263461039486,2739.0415903357266,3032.1852078087873,3,497
3100,3223.770182835037,1936.8306898341534,3244.6960282496857,8,492
3200,3393.1560465819693,2374.583851933557,3405.527368784176,6,494
3300,3584.4862465309434,1767.7986424199346,3599.1369530157094,4,496
3400,3804.9346317450872,3012.2336040584114,3811.327381968367,4,496
3500,4063.1575140747855,2893.325644986294,4074.973997600932,5,495
3600,4307.689040192678,2874.8408872043196,4322.162253859226,5,495
3700,4568.910523805432,4879.737178616566,4564.497163595133,7,493
3800,4831.7445938434485,4555.7905078813255,4836.231652151776,8,492
3900,5122.387746163283,5107.343644359977,5122.6323657048,8,492
4000,5454.079931782971,4814.260474482493,5472.510944956234,14,486
4100,5866.548098628917,5481.418525240018,5880.930530830162,18,482
4200,6332.393515923034,5678.838216680578,6359.624986724803,20,480
4300,6789.974993706733,5116.463081555811,6852.471289181249,18,482
4400,7291.419806614817,5067.68512222655,7379.25963822267,19,481
4500,7728.088778114714,4753.4452475841135,7845.590289715714,19,481
4600,8191.768464069231,5244.37931351839,8295.506798560667,17,483
4700,8590.609124806453,5132.05031879975,8727.225792819192,19,481
4800,8998.38928672395,5054.5082064911485,9095.369969024758,12,488
4900,9384.271380680859,7984.2599014260995,9407.035794977684,8,492
5000,9654.300750165425,10607.523673456892,9648.54688946145,3,497
5100,9884.175697628094,13411.56932926994,9870.009458143588,2,498
5200,10080.964215587508,13541.756874138802,10067.065449890513,2,498
5300,10247.469893688216,13756.263509241544,10233.378353063503,2,498
5400,10345.352299143624,9704.390691042516,10349.22128269353,3,497
5500,10368.900318764661,8869.409455873096,10387.112758394922,6,494
5600,10372.744074467208,8391.880631934368,10400.869924564024,7,493
5700,10478.17921000763,7308.371578944288,10529.720797504595,8,492
5800,10617.46927779577,7787.4772012494495,10657.651721073302,7,493
5900,10810.470504645176,7452.240439466895,10830.741511074822,3,497
6000,10991.16859302232,9386.018053561107,10997.614980731,2,498
6100,11147.566061761334,8124.159753429319,11165.815999236176,3,497
6200,11215.130270840436,,11215.130270840436,0,500
6300,11337.495150233073,18539.072249700424,11323.063131997667,1,499
6400,11396.62979859326,17162.653363610683,11373.473077448612,2,498
6500,11479.032340144167,10317.053360176347,11486.046297769728,3,497
6600,11551.63534300635,9577.259242652875,11612.698521367798,15,485
6700,11602.159208162971,10501.212387235204,11636.20910984115,15,485
6800,11545.452658257302,11376.596716811673,11552.855528341557,21,479
6900,11493.968973779056,11342.456921372033,11500.281975962682,20,480
7000,11341.91676655671,10663.501785547693,11370.184057432087,20,480
7100,11215.750925179247,9559.383772729569,11277.60695991803,18,482
7200,11113.408441796671,8140.404603353682,11199.050527677748,14,486
7300,11066.222760300941,8528.629775854692,11139.32214668417,14,486
7400,10975.023850922538,8679.68645770933,11060.741844859962,18,482
7500,10938.31157916003,8311.179825631461,11042.086014330598,19,481
7600,10852.077938974604,8669.138666050858,10943.033742013093,20,480
7700,10853.698214606979,7421.6528910285415,10996.700103089412,20,480
7800,10823.796333492923,7255.864834569749,10972.460145948055,20,480
7900,10818.097517725975,7198.106168367512,10976.802775213506,21,479
8000,10752.639095049319,7155.798055395547,10886.960959600705,18,482
8100,10612.824378986195,6581.721439813669,10746.083980281153,16,484
8200,10391.571821161204,8997.32078348874,10440.6448390503,17,483
8300,10288.875152489085,7661.479646334528,10359.010966821756,13,487
8400,10218.082106423319,9695.63896731674,10227.658457241972,9,491
8500,10235.37080945189,7089.77408535267,10267.14451373572,5,495
8600,10383.80197529622,5436.496304581136,10454.047694758707,7,493
8700,10598.228517035857,5489.336542491998,10670.768565355953,7,493
8800,10704.617543547582,5519.812956333088,10778.235458579025,7,493
8900,10923.247770710517,12619.095445544686,10909.571579784433,4,496
9000,11216.12872631551,,11216.12872631551,0,500
9100,11526.668802774177,,11526.668802774177,0,500
9200,11833.424720972234,,11833.424720972234,0,500
9300,12181.15483156789,,12181.15483156789,0,500
9400,12542.075463000376,,12542.075463000376,0,500
9500,12945.25615683956,10927.61443672009,12957.43508070346,3,497
9600,13409.423754243862,8940.248393391594,13509.95735131825,11,489
9700,13815.522707173399,8971.58386405946,13924.48656662995,11,489
9800,14114.696520820484,9579.55069661688,14216.71411604797,11,489
9900,14476.644458809376,9601.069189834581,14586.319976107377,11,489
10000,14836.013164377568,9582.432833034973,14954.191863037628,11,489
10100,15198.978240383067,9573.39199617984,15325.525170211766,11,489
10200,15553.820659365841,9558.87663491732,15688.676250917852,11,489
10300,15889.666790186035,8896.2419564514,16061.636253310657,12,488
10400,16269.210970474107,10167.127492253718,16393.743286356155,10,490
10500,16555.863695710093,10657.047276379522,16663.98864025994,9,491
10600,17017.41935274812,9683.08618655892,17076.567200862548,4,496
10700,17543.45453243625,1411.7356633976874,17575.78262636218,1,499
10800,18095.282276965558,16243.437619590564,18102.71940410361,2,498
10900,18583.327671583444,9181.242625660658,18602.169525382888,1,499
11000,19190.338396680636,,19190.338396680636,0,500
11100,19850.68973253289,,19850.68973253289,0,500
11200,20435.71733172332,,20435.71733172332,0,500
11300,20954.754218523354,,20954.754218523354,0,500
11400,21456.45272507733,,21456.45272507733,0,500
11500,22008.481946510015,,22008.481946510015,0,500
11600,22563.922848386035,,22563.922848386035,0,500
11700,23151.40074980118,,23151.40074980118,0,500
11800,23733.219358624578,,23733.219358624578,0,500
11900,24314.218506728426,,24314.218506728426,0,500
12000,24788.89421070362,,24788.89421070362,0,500
12100,25309.896890501135,,25309.896890501135,0,500
12200,25870.802467879646,,25870.802467879646,0,500
12300,26455.245420715288,,26455.245420715288,0,500
12400,27078.95494455976,,27078.95494455976,0,500
12500,27463.147092886888,,27463.147092886888,0,500
12600,28006.378191554784,,28006.378191554784,0,500
12700,28435.16194854257,,28435.16194854257,0,500
12800,28719.03213464905,,28719.03213464905,0,500
12900,29158.14062092255,,29158.14062092255,0,500
13000,29698.894533058334,,29698.894533058334,0,500
13100,30083.084677348437,,30083.084677348437,0,500
13200,30446.395752731456,,30446.395752731456,0,500
13300,30802.99398184604,,30802.99398184604,0,500
13400,31188.639549096526,,31188.639549096526,0,500
13500,31679.359322444907,,31679.359322444907,0,500
13600,32184.30134859816,,32184.30134859816,0,500
13700,32787.580672765725,,32787.580672765725,0,500
13800,33415.33537438874,22733.22271475683,33479.8149276662,3,497
13900,34223.75081546319,12334.027569049998,34355.881941699074,3,497
14000,35084.85205663712,7099.599178006994,35140.93472773658,1,499
14100,36004.94376643476,,36004.94376643476,0,500
14200,37077.595325604045,,37077.595325604045,0,500
14300,38075.92754470904,,38075.92754470904,0,500
14400,39039.02517580007,,39039.02517580007,0,500
14500,40005.44186086984,,40005.44186086984,0,500
14600,40913.9217684804,,40913.9217684804,0,500
14700,41871.08668175793,,41871.08668175793,0,500
14800,42638.90519470471,,42638.90519470471,0,500
14900,43570.67065068802,,43570.67065068802,0,500
15000,44617.89575176502,,44617.89575176502,0,500
15100,45615.07039793302,,45615.07039793302,0,500
15200,46591.219621760276,,46591.219621760276,0,500
15300,47633.81698295649,,47633.81698295649,0,500
15400,48804.25320866342,,48804.25320866342,0,500
15500,50068.194319428934,,50068.194319428934,0,500
15600,51338.6713095423,,51338.6713095423,0,500
15700,52762.7115528035,,52762.7115528035,0,500
15800,54035.62473498058,,54035.62473498058,0,500
15900,55236.70909622628,,55236.70909622628,0,500
16000,56400.72037306989,,56400.72037306989,0,500
16100,57595.36620230471,,57595.36620230471,0,500
16200,58784.22872660331,,58784.22872660331,0,500
16300,59862.85178418744,,59862.85178418744,0,500
16400,61008.66349667616,,61008.66349667616,0,500
16500,62261.915849156605,,62261.915849156605,0,500
16600,63590.064519563246,,63590.064519563246,0,500
16700,64868.42790100493,,64868.42790100493,0,500
16800,66087.59886569768,,66087.59886569768,0,500
16900,67292.58841713538,,67292.58841713538,0,500
17000,68694.37008485504,,68694.37008485504,0,500
17100,70289.95496425955,,70289.95496425955,0,500
17200,71997.7810592977,,71997.7810592977,0,500
17300,73638.76059364976,,73638.76059364976,0,500
17400,75105.19877291542,,75105.19877291542,0,500
17500,76634.28443120484,,76634.28443120484,0,500
17600,77995.42938449615,,77995.42938449615,0,500
17700,79349.26479382199,,79349.26479382199,0,500
17800,80617.70657645584,,80617.70657645584,0,500
17900,81984.51100033328,,81984.51100033328,0,500
18000,83242.48480594356,,83242.48480594356,0,500
18100,84682.26730989796,,84682.26730989796,0,500
18200,86190.90729950726,,86190.90729950726,0,500
18300,87707.00168286197,,87707.00168286197,0,500
18400,89036.59957051431,,89036.59957051431,0,500
18500,90522.3198685932,,90522.3198685932,0,500
18600,92128.16202093211,,92128.16202093211,0,500
18700,93498.13540006816,,93498.13540006816,0,500
18800,94801.52532865621,,94801.52532865621,0,500
18900,95983.40624588668,,95983.40624588668,0,500
19000,97197.6755124053,,97197.6755124053,0,500
19100,98344.71196569895,,98344.71196569895,0,500
19200,99387.80239186785,,99387.80239186785,0,500
19300,100556.99984758651,,100556.99984758651,0,500
19400,101624.03861412994,,101624.03861412994,0,500
19500,102860.26277726247,,102860.26277726247,0,500
19600,103982.9093859179,,103982.9093859179,0,500
19700,105191.109606276,,105191.109606276,0,500
19800,106387.73056439191,,106387.73056439191,0,500
19900,107617.89724775538,,107617.89724775538,0,500
20000,108899.51404027264,,108899.51404027264,0,500
20100,110435.8594433903,,110435.8594433903,0,500
20200,112241.59491574448,,112241.59491574448,0,500
20300,114164.36548506282,,114164.36548506282,0,500
20400,116002.80638044495,,116002.80638044495,0,500
20500,117566.776353072,,117566.776353072,0,500
20600,119318.87680380487,,119318.87680380487,0,500
20700,120773.2869060826,,120773.2869060826,0,500
20800,122405.6735128526,,122405.6735128526,0,500
20900,124163.34980184343,,124163.34980184343,0,500
21000,125988.22709771007,,125988.22709771007,0,500
21100,127598.39745268035,,127598.39745268035,0,500
21200,129309.1987729587,,129309.1987729587,0,500
21300,131262.81542986358,,131262.81542986358,0,500
21400,132932.7452869702,203477.05380359493,132791.37392721744,1,499
21500,134588.61666310785,35522.10393622218,134787.14674873286,1,499
21600,136343.8315689329,102120.08974150338,136412.41622189368,1,499
21700,138372.98921094812,,138372.98921094812,0,500
21800,140563.9784369041,,140563.9784369041,0,500
21900,142625.564223271,,142625.564223271,0,500
22000,144747.5103412456,,144747.5103412456,0,500
22100,146841.82985982584,,146841.82985982584,0,500
22200,148481.6216786059,135106.50755641615,148562.3567739109,3,497
22300,150372.64422113157,156138.8325760209,150337.8382552067,3,497
22400,152457.47669441055,,152457.47669441055,0,500
22500,154203.73769468718,,154203.73769468718,0,500
22600,156140.65915630377,,156140.65915630377,0,500
22700,157959.12875474637,,157959.12875474637,0,500
22800,159554.0729620043,84552.67208716019,159704.37637057112,1,499
22900,161630.39567878467,,161630.39567878467,0,500
23000,163573.14022996792,,163573.14022996792,0,500
23100,165456.44535677464,,165456.44535677464,0,500
23200,167658.38050964964,,167658.38050964964,0,500
23300,170046.61403065588,,170046.61403065588,0,500
23400,172375.32021374884,,172375.32021374884,0,500
23500,174794.17343195705,37960.53363439477,175343.70612190713,2,498
23600,177060.35202898798,45503.71557817612,177854.45647436508,3,497
23700,179221.021846503,77680.13303920238,179424.51060162784,1,499
23800,181129.72291561938,,181129.72291561938,0,500
23900,183434.47202654756,,183434.47202654756,0,500
24000,185558.31724784715,,185558.31724784715,0,500
24100,187578.50754881467,,187578.50754881467,0,500
24200,189385.08309731455,,189385.08309731455,0,500
24300,191539.69117255442,,191539.69117255442,0,500
24400,193716.7719337385,,193716.7719337385,0,500
24500,195928.99496343973,,195928.99496343973,0,500
24600,198110.22886733132,,198110.22886733132,0,500
24700,200536.8289493571,,200536.8289493571,0,500
24800,202988.40598151725,,202988.40598151725,0,500
24900,205121.31112446252,,205121.31112446252,0,500
25000,207016.3925753014,,207016.3925753014,0,500
25100,209349.9813572794,,209349.9813572794,0,500
25200,211244.9213337342,,211244.9213337342,0,500
25300,212810.44306838667,,212810.44306838667,0,500
25400,214524.45598405265,,214524.45598405265,0,500
25500,216276.61201558128,,216276.61201558128,0,500
25600,218078.3781083897,,218078.3781083897,0,500
25700,219698.17133779253,,219698.17133779253,0,500
25800,221515.96010056126,,221515.96010056126,0,500
25900,223337.28259013157,,223337.28259013157,0,500
26000,224953.01429487637,,224953.01429487637,0,500
26100,226776.6464339121,,226776.6464339121,0,500
26200,229230.5519113785,,229230.5519113785,0,500
26300,231549.49402307245,,231549.49402307245,0,500
26400,233783.83804536375,,233783.83804536375,0,500
26500,235887.945813872,,235887.945813872,0,500
26600,238559.02561134016,,238559.02561134016,0,500
26700,240940.09877888046,,240940.09877888046,0,500
26800,243055.75881639487,,243055.75881639487,0,500
26900,245741.1781366362,,245741.1781366362,0,500
27000,248265.20766989246,,248265.20766989246,0,500
27100,250864.02716920822,,250864.02716920822,0,500
27200,253351.03740730064,,253351.03740730064,0,500
27300,255897.83120997035,,255897.83120997035,0,500
27400,258467.4553754949,,258467.4553754949,0,500
27500,260870.86950530103,,260870.86950530103,0,500
27600,263087.48281410965,,263087.48281410965,0,500
27700,266312.3928342972,,266312.3928342972,0,500
27800,269098.52519562235,,269098.52519562235,0,500
27900,271841.0852240454,,271841.0852240454,0,500
28000,274680.1045669191,,274680.1045669191,0,500
28100,277652.9567219656,,277652.9567219656,0,500
28200,280851.0640140616,,280851.0640140616,0,500
28300,283814.6173351498,,283814.6173351498,0,500
28400,286684.8367060473,,286684.8367060473,0,500
28500,289721.2966021217,,289721.2966021217,0,500
28600,292661.6939148565,,292661.6939148565,0,500
28700,295257.97531103884,164810.09857593034,295519.3939016903,1,499
28800,298038.02520186553,162667.91937164645,298309.3079790804,1,499
28900,300767.72371766926,,300767.72371766926,0,500
29000,303205.97996599757,,303205.97996599757,0,500
29100,305569.3012482532,,305569.3012482532,0,500
29200,308275.8852070005,,308275.8852070005,0,500
29300,311308.8362172125,280382.54694971594,311370.8127488107,1,499
29400,314514.2078840424,210432.75411733778,315142.466156276,3,497
29500,317602.28927875235,282710.250839166,317742.41794718435,2,498
29600,321057.04030780814,,321057.04030780814,0,500
29700,324524.20360129187,,324524.20360129187,0,500
29800,328029.774706477,,328029.774706477,0,500
29900,330873.19497103896,,330873.19497103896,0,500
30000,333696.89778570045,,333696.89778570045,0,500
