step,nematic,polar,nematic_2,polar_2,fraction_elongated
100,0.0,0.0,0.0,0.0,0.0
200,0.11053528603971431,0.09128302694928919,0.0021426842009735687,0.0017252432195572623,0.0192375
300,0.09169949337920467,0.07834125557786545,0.003192593393698949,0.0026385151329647114,0.03458749999999999
400,0.07609550978087923,0.056559102891486746,0.004041384832672405,0.00296552524604,0.0535375
500,0.05901630025958576,0.05649581578509115,0.004297508527564888,0.004199467702811237,0.07444999999999999
600,0.06213190563046715,0.05107468779945641,0.0058887594961527625,0.004919907644762076,0.09728750000000001
700,0.055363615230579956,0.043488348984439096,0.006646484839934842,0.00525882838106008,0.12088750000000002
800,0.063220278273548,0.048145889590731294,0.00917227339544828,0.007011620443222482,0.1438875
900,0.07602810639167906,0.049374708121727215,0.01269399315753114,0.008264268287228805,0.1654875
1000,0.08064343112064262,0.04773397234907824,0.015227193310399394,0.009077604722642282,0.18697500000000003
1100,0.07598357594410945,0.04890560092667494,0.01584510475235118,0.01023297074933937,0.20573749999999996
1200,0.0743647168836119,0.05294147207231489,0.01677940374602428,0.011910185143809296,0.2225375
1300,0.0731851107967738,0.0543933870347012,0.017553089758278063,0.013005796385656763,0.23717500000000002
1400,0.07522337390503496,0.056234267389553665,0.0190874151630308,0.014163924547642355,0.25098750000000003
1500,0.07875422599126988,0.06159382540508855,0.020815568128137122,0.016153008309883598,0.26181250000000006
1600,0.07899672435987126,0.06805811871734427,0.021758924768102324,0.01858378057507555,0.27321249999999997
1700,0.08285889363208021,0.07237455683992858,0.023642761521041573,0.020497649641050057,0.2831125
1800,0.08859946867914077,0.0778814545433249,0.02595992511994875,0.022838321636726725,0.2920375
1900,0.09659495165789662,0.08289319118016672,0.02912704278186521,0.025023124082862162,0.30074999999999996
2000,0.09892979994242848,0.07871667051233054,0.030588011107111217,0.024373614505074765,0.30895
2100,0.0988623067613135,0.07866180975818728,0.03132965839514983,0.024950521745424885,0.31692500000000007
2200,0.10469881059305663,0.08112838169329757,0.03392123868784306,0.026284582577554137,0.32347499999999996
2300,0.1034192709497145,0.08330019767267062,0.03425812934064331,0.027564899008301606,0.330325
2400,0.10133478645891346,0.0867112472776489,0.03412841280186366,0.02925705308599769,0.3358375
2500,0.09824363048852706,0.09449885468665269,0.0335508403324417,0.032422828230476576,0.3408125
2600,0.09317653152027938,0.10134853774190437,0.032368667295799874,0.035304921255809536,0.346925
2700,0.09977315586804941,0.10574985529498943,0.035179741358053955,0.037303857637639104,0.351925
2800,0.10942271069723063,0.1101356559908834,0.03909500000176266,0.03940998393509924,0.35747500000000004
2900,0.10841122791634253,0.11410025814003975,0.03950673176488166,0.041532155591632855,0.36372499999999997
3000,0.11541764024417402,0.11537549248054405,0.04278550197036968,0.04260246675610803,0.36913750000000006
3100,0.12237129121445892,0.11849473848000025,0.04597543060653086,0.0444452779357924,0.3752125
3200,0.12482480827230634,0.11971153017039415,0.04750592445152813,0.04550488885807197,0.379725
3300,0.13003748296226506,0.11937828530483559,0.0503146167386911,0.046127450973538174,0.3852125
3400,0.1361379225669819,0.12335451986456503,0.053555669819055685,0.04857167988909766,0.39108750000000003
3500,0.14435138910853948,0.12486922306290912,0.057415094738661646,0.04976587188909823,0.39538750000000006
3600,0.14762559145431087,0.13047938021982433,0.059424759507423854,0.05257271791108446,0.39962499999999995
3700,0.15078705128765135,0.13371449673627162,0.061397269593701294,0.054443639285458444,0.40416249999999987
3800,0.1506849467562128,0.14351304879381632,0.06207297080726369,0.05901323143509674,0.40862499999999996
3900,0.14595943062166056,0.15047554200798313,0.06095798702005597,0.062421450217876456,0.41295
4000,0.1426456338223858,0.1572694517165338,0.060477881827687575,0.06617869984950439,0.41918749999999994
4100,0.14426670663399882,0.16290443263766427,0.06197279404803016,0.06927000399045681,0.42381250000000004
4200,0.14605051680739656,0.16785466497903476,0.06328830372367933,0.07206686782400173,0.428325
4300,0.15173542000821333,0.17946356307832545,0.06618753459517394,0.07750891811283378,0.43095
4400,0.1580411289312542,0.1859718141488195,0.06924909554618432,0.08083116954360868,0.4341124999999999
4500,0.16055090412835551,0.19542534223866992,0.07061429918158138,0.08537569781390861,0.4368499999999999
