density,n_realizations,n_round,n_round_std,max_round,max_round_std,2_max_round,2_max_round_std,ratio_round,ratio_round_std,n_elongated,n_elongated_std,max_elongated,max_elongated_std,2_max_elongated,2_max_elongated_std,ratio_elongated,ratio_elongated_std,n_round_2,n_round_2_std,max_round_2,max_round_2_std,2_max_round_2,2_max_round_2_std,ratio_round_2,ratio_round_2_std,n_elongated_2,n_elongated_2_std,max_elongated_2,max_elongated_2_std,2_max_elongated_2,2_max_elongated_2_std,ratio_elongated_2,ratio_elongated_2_std
0.4,64,159.64464285714286,16.517538557937666,182.6502232142857,76.93059371104978,95.11875,30.581579986971143,0.6279220201135873,0.08098332190283136,2481.4183035714286,91.26305448973271,2339.8046875,573.2721947087089,922.6834821428572,157.52155137065535,0.4838377704697003,0.11455774823572254,130.7734375,13.207243417874134,191.0859375,79.38512798668796,99.29486607142857,31.675857432276242,0.6263490773835114,0.08181387443431333,734.2066964285715,16.113971099184642,4584.0794642857145,586.6778158333814,1067.779017857143,226.6717461268276,0.29499302279965267,0.08789757894210129
0.5,64,201.35491071428572,19.73581282500475,362.1814732142857,144.55378078944443,171.57254464285714,47.37630294110407,0.5925773010129534,0.08528975041067954,2042.7118303571428,64.3820136145421,2328.622544642857,539.0381768469723,915.5408482142857,126.51247932051483,0.48829760121411636,0.098957122117715,159.3859375,15.509008321411839,382.04508928571425,149.83784009192306,177.93459821428573,47.19735630870843,0.5861588681869943,0.08351858161114205,527.3439732142857,11.895423903574184,5510.687276785714,497.91292702316423,775.8029017857143,188.58872297832303,0.18556517913749812,0.06601660373584242
0.6,64,236.1689732142857,21.47597154430658,550.75625,208.75662962069686,248.17053571428573,47.76744963269496,0.5670606251647508,0.10052794878587219,1678.497544642857,64.43145563503147,2320.685044642857,634.4857610291078,861.6723214285714,133.32095027227746,0.47636772757165946,0.1084893286087038,180.45223214285716,15.670147498834995,588.3725446428572,222.48811970488072,259.97343750000005,47.644138074767525,0.5591000648850665,0.10446625990274414,370.4370535714286,7.928278975117398,6157.195089285715,460.4011992219606,426.5232142857143,116.19946646104235,0.08785411297742712,0.035263732947060644
0.7,64,239.809375,30.053103331964945,1171.7154017857142,351.6615822227856,459.4651785714286,80.2886825685343,0.5022955861581417,0.10007560920785716,1367.2645089285716,52.09378351090122,1882.9464285714284,471.5326468365874,737.0234375,111.48756727572744,0.4894856891468201,0.0997122244352004,174.33683035714287,19.87104471113202,1259.1062499999998,361.2475522047491,477.7,81.15537925159788,0.48692875423818527,0.09893243595531323,261.41339285714287,6.742404513710094,5536.264732142858,374.35644044486673,313.0736607142857,77.63892534666132,0.07415680417971585,0.029484428497473254
0.75,64,239.38638392857143,25.41386825929483,1789.9410714285714,518.1927038017851,547.034375,90.35921033077855,0.41900385678117436,0.12542478528698922,1225.4453125,43.07297320550874,1538.0616071428572,498.15776694754567,647.0870535714286,108.68306591093264,0.5228249588550891,0.09226374892191083,167.12120535714286,15.441329862152664,1931.049107142857,536.0113436764996,556.0357142857143,98.4722887028185,0.398162950680619,0.12663100015893072,216.6091517857143,5.7090193233048225,4998.698214285714,482.7110432642676,299.42633928571433,80.16596464050559,0.07883778886732001,0.03324994816185904
0.76,64,239.28058035714287,23.62871844574568,1811.7828124999999,386.35714801089205,586.4058035714286,88.32900026846944,0.42398735748418687,0.09844897455161386,1196.144642857143,39.093494496570024,1521.2321428571427,387.4369336016206,653.8946428571428,94.58739928242362,0.5273399063514375,0.08500518926619456,165.71808035714287,13.911626588532314,1961.4725446428572,409.14168619197306,595.524107142857,90.74390331490099,0.40120557784816,0.10076871499859485,206.8136160714286,6.044095298705574,4976.872098214286,366.47830191619613,284.59375,76.15937906520979,0.07505562561649443,0.0307492420906842
0.77,64,236.459375,25.271905631456086,2047.134375,479.98913178576305,599.3600446428571,114.14634106993792,0.3912255120869163,0.10601783204722696,1163.8912946428572,41.68935200659849,1425.7832589285713,426.184610559375,622.7796875,103.7091824173976,0.5327364526849101,0.08221000043553238,161.6247767857143,14.584541528113832,2226.8689732142857,506.5856900890614,595.9323660714286,119.45932101082201,0.3638365892963561,0.1065682654653317,199.87544642857145,5.53441069794848,4761.463169642857,438.2375397682141,295.44799107142853,82.06541522987942,0.08062110737836087,0.0333980992550966
0.78,64,225.63906250000002,21.592916906383817,2416.4395089285717,539.8459550386917,566.3015624999999,111.78289473937767,0.3307361009106575,0.11196426653856084,1128.6660714285713,34.564166278690706,1362.9549107142857,413.0806620904199,605.88125,107.12908600463825,0.5479514972926902,0.07956735424649054,152.9560267857143,12.403115512111725,2598.130357142857,558.4582466566568,561.2066964285714,114.5021785890731,0.3069983607049782,0.10933364412223459,195.7479910714286,6.105354788400232,4479.85625,413.29288123688013,321.67857142857144,65.05045421655693,0.09868504454387486,0.031588010493061175
0.79,64,229.41651785714288,24.799244638113304,2656.301785714286,644.7369976021987,613.8531250000001,157.52118705030122,0.3165973574242862,0.11997952584176969,1101.99375,51.78788156384415,1262.4066964285714,516.1764719337409,549.0587053571428,135.8403566987656,0.5464417250088155,0.09849076250806417,152.12455357142858,12.299992090813653,2869.4926339285716,672.5560448826625,598.9738839285715,166.6326228506493,0.2885255675340549,0.11718363993209381,189.66629464285717,7.448571266434909,4260.671875,542.4574506561711,321.73348214285716,82.30550452597535,0.10409266461292567,0.04268863107308392
0.8,64,221.26160714285714,22.713828041282557,2768.4754464285716,595.4291069329895,638.8087053571428,118.05835694171907,0.3175616380964854,0.11267759197971672,1066.7493303571428,43.346289378831806,1285.4147321428572,445.8380579568102,528.0127232142856,101.04666996794695,0.516632966793106,0.10428492380514907,145.99575892857143,12.277789903272174,3002.0544642857144,626.4659931829297,612.6261160714286,126.67281703534563,0.28593505322414436,0.11394925221272534,182.07566964285715,6.7779992803789115,4170.2390625,475.1754401409375,326.7379464285714,70.83104628875142,0.10601070412550728,0.036623115412781036
