step,msd_global,n_round,n_elongated,density
0,0.0,5000.0,0.0,0.75
100,37.70431692170218,5000.0,0.0,0.75
200,44.214196564581556,4884.0,116.0,0.75
300,48.83545977089729,4788.1875,211.8125,0.75
400,57.51968452410807,4677.0625,322.9375,0.75
500,68.56619012857163,4551.875,448.125,0.75
600,82.9181676190514,4420.1875,579.8125,0.75
700,101.24483634931198,4293.25,706.75,0.75
800,120.01237406918511,4172.5,827.5,0.75
900,141.3319936419449,4057.9375,942.0625,0.75
1000,166.8149181654889,3952.5,1047.5,0.75
1100,195.22320158708746,3851.125,1148.875,0.75
1200,225.51197948942766,3765.9375,1234.0625,0.75
1300,258.128764476314,3684.5,1315.5,0.75
1400,294.7822118998496,3609.9375,1390.0625,0.75
1500,330.516909759454,3550.25,1449.75,0.75
1600,367.87502454985065,3500.5,1499.5,0.75
1700,408.2368104229768,3445.9375,1554.0625,0.75
1800,448.38702410889886,3399.9375,1600.0625,0.75
1900,488.2986315652108,3369.1875,1630.8125,0.75
2000,532.0175106513711,3336.5625,1663.4375,0.75
2100,575.1828224260306,3299.5625,1700.4375,0.75
2200,619.7372578520557,3269.5,1730.5,0.75
2300,664.57208042948,3244.3125,1755.6875,0.75
2400,710.8340267735878,3215.3125,1784.6875,0.75
2500,757.2392838088115,3192.5625,1807.4375,0.75
2600,805.2538082903989,3168.625,1831.375,0.75
2700,852.9247316340202,3139.625,1860.375,0.75
2800,901.3942154904136,3110.3125,1889.6875,0.75
2900,952.0250382614079,3088.1875,1911.8125,0.75
3000,998.4307990715009,3066.375,1933.625,0.75
3100,1047.0938213648597,3045.6875,1954.3125,0.75
3200,1097.5458680775926,3021.125,1978.875,0.75
3300,1148.5080508635117,2993.3125,2006.6875,0.75
3400,1200.121667740056,2955.625,2044.375,0.75
3500,1253.2426923101948,2929.6875,2070.3125,0.75
3600,1308.1637210170502,2907.8125,2092.1875,0.75
3700,1363.5175010064086,2875.75,2124.25,0.75
3800,1420.1862611277616,2846.6875,2153.3125,0.75
3900,1478.4445669860693,2817.5,2182.5,0.75
4000,1538.1074958009754,2793.8125,2206.1875,0.75
4100,1598.232873010821,2770.25,2229.75,0.75
4200,1659.64981929975,2754.0625,2245.9375,0.75
