step,msd_global,n_round,n_elongated
0,0.0,500,0
100,8.862406538696812,500,0
200,43.804989378051104,94,406
300,111.53904745273472,50,450
400,165.0392452504952,37,463
500,212.30968607528985,41,459
600,272.91014178354715,43,457
700,330.5844786200772,34,466
800,398.7987387836765,32,468
900,455.4475863512481,27,473
1000,502.44634275706363,27,473
1100,565.2091455192042,33,467
1200,646.9234942336229,29,471
1300,728.2567251508931,27,473
1400,805.6477851349619,25,475
1500,903.2939763972722,26,474
1600,979.6175913685277,22,478
1700,1084.5218765941042,14,486
1800,1184.5544572022295,7,493
1900,1256.8555533073818,3,497
2000,1367.902946143676,6,494
2100,1524.1752645152312,1,499
2200,1718.0038657176467,0,500
2300,1925.6886499689317,6,494
2400,2159.4891561748163,6,494
2500,2357.8079610407967,8,492
2600,2548.116838485736,5,495
2700,2737.843821788942,12,488
2800,2957.1292066989404,15,485
2900,3168.2374140725174,39,461
3000,3392.059966630283,50,450
3100,3593.5754482270168,56,444
3200,3743.2489053352706,55,445
3300,3888.4486455665874,57,443
3400,4036.3943224250315,50,450
3500,4238.610727629776,49,451
3600,4389.331425838265,47,453
3700,4550.741467622282,45,455
3800,4709.089213754183,40,460
3900,4822.172267951201,34,466
4000,4944.336313414173,23,477
4100,5078.141378687515,12,488
4200,5180.912506799987,4,496
4300,5319.979551692593,4,496
4400,5491.899348539419,2,498
4500,5687.698360596042,7,493
4600,5817.973395544952,9,491
4700,5901.196902116298,14,486
4800,6019.348963836958,8,492
4900,6225.668911176728,7,493
5000,6384.497839809017,6,494
5100,6629.758727793386,6,494
5200,6790.747907605762,8,492
5300,6936.604524552976,6,494
5400,7144.296187594562,4,496
5500,7321.206885441726,3,497
5600,7568.504597180121,3,497
5700,7801.293780763194,4,496
5800,8016.001907249129,5,495
5900,8289.208091336393,5,495
6000,8548.145764081672,6,494
6100,8876.325061884116,6,494
6200,9166.445654379091,1,499
6300,9545.021570563824,1,499
6400,9997.419687478647,1,499
6500,10426.491207501766,1,499
6600,10881.690923624665,1,499
6700,11364.13876254369,1,499
6800,11767.09456566665,1,499
6900,12187.771175480586,1,499
7000,12560.13585522887,1,499
7100,12990.302573199067,1,499
7200,13442.849645527158,1,499
7300,13875.971851392906,1,499
7400,14368.647588496624,1,499
7500,14892.394619709357,1,499
7600,15534.70884763987,1,499
7700,16210.032973397923,1,499
7800,16804.572017102837,1,499
7900,17428.070074656378,1,499
8000,18071.924175597967,1,499
8100,18660.77990196023,1,499
8200,19175.234010816275,1,499
8300,19743.375161538832,1,499
8400,20327.296949629777,1,499
8500,20931.599505527905,1,499
8600,21512.78023137224,1,499
8700,22167.40893923587,1,499
8800,22889.82164828601,1,499
8900,23766.858320747142,1,499
9000,24712.950264528223,1,499
9100,25496.284329338832,0,500
9200,26392.78777114854,0,500
9300,27140.323524712017,0,500
9400,27883.043304689392,0,500
9500,28650.213231114045,0,500
9600,29372.576866066258,0,500
9700,30092.703839003192,0,500
9800,30893.661659594643,0,500
9900,31586.134286120505,0,500
10000,32413.647017060346,0,500
10100,33257.674983091834,0,500
10200,34353.18995173345,0,500
10300,35504.24539500026,0,500
10400,36612.85757569237,0,500
10500,37658.67814546415,0,500
10600,38635.29883953905,0,500
10700,39474.843207194404,0,500
10800,40323.24491815941,0,500
10900,41164.668345488106,0,500
11000,42029.975487593765,0,500
11100,43026.136993424705,0,500
11200,44058.48772281897,0,500
11300,44895.42927216145,0,500
11400,45995.457230152664,0,500
11500,47134.57112969539,0,500
11600,48449.92545488566,0,500
11700,49733.82568164518,0,500
11800,50924.327158194974,0,500
11900,52146.14949706747,0,500
12000,53321.14093566095,0,500
12100,54384.14112692824,0,500
12200,55449.34623243324,0,500
12300,56507.64475417972,0,500
12400,57551.00074866072,0,500
12500,58644.23506160901,0,500
12600,59973.06141403581,0,500
12700,61326.06768930884,0,500
12800,62746.118115477235,0,500
12900,64194.52949975926,0,500
13000,65652.40036551139,0,500
13100,66961.84344758921,0,500
13200,68336.46587863033,0,500
13300,69674.64955415601,0,500
13400,71006.53392160362,0,500
