step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,12.234368050929257,1000,0
200,15.011562734165542,996,4
300,14.412193781504238,993,7
400,16.28932496245311,988,12
500,17.875345380683818,983,17
600,19.143322481738505,975,25
700,22.17365375019022,970,30
800,26.285956333669283,964,36
900,30.60390498631836,951,49
1000,36.12105552263889,943,57
1100,44.04895573127047,930,70
1200,49.106813040726045,925,75
1300,56.626795791567666,910,90
1400,60.762031130329326,897,103
1500,67.38949717581062,879,121
1600,78.41682011301536,862,138
1700,96.85548950868844,846,154
1800,110.62865114798886,838,162
1900,120.49659893629948,826,174
2000,126.95763774900053,817,183
2100,137.13824182127252,808,192
2200,151.9453187082099,797,203
2300,165.35459909434596,792,208
2400,182.82889807501806,791,209
2500,202.5727160567615,789,211
2600,222.8346600167016,789,211
2700,253.49450501995943,771,229
2800,288.1378915140325,756,244
2900,324.9587203156231,752,248
3000,352.1610403168786,739,261
3100,380.55960789051574,739,261
3200,403.0653688382056,724,276
3300,440.6308377558818,723,277
3400,484.7896900614769,715,285
3500,514.7960809343317,701,299
3600,528.3724840048949,692,308
3700,557.235305950863,691,309
3800,588.5137037244656,688,312
3900,620.308501586061,683,317
4000,639.9963525114697,688,312
4100,660.4469980593491,703,297
4200,666.7716513319867,717,283
4300,671.1180733601983,712,288
4400,682.2025290501217,690,310
4500,688.7532451265455,694,306
4600,704.8459889998319,694,306
4700,734.8530846732317,698,302
4800,758.3999775494475,711,289
4900,793.4252428890574,710,290
5000,835.7120518195047,708,292
5100,870.774396346122,700,300
5200,909.3000871126268,716,284
5300,947.3082106328226,732,268
5400,980.6821147904042,741,259
5500,1011.9443219587425,744,256
5600,1039.650791674306,733,267
5700,1069.2215013897192,726,274
5800,1076.5655914478623,716,284
5900,1099.5907250512237,711,289
6000,1124.1080375541574,701,299
6100,1145.709637415826,693,307
6200,1174.2590287066037,679,321
6300,1194.9467478702759,660,340
6400,1239.5645301929137,643,357
6500,1280.566262480387,639,361
6600,1327.5788384863451,634,366
6700,1351.9481780448311,625,375
6800,1402.5334777741841,629,371
6900,1457.0025393990175,622,378
7000,1509.0835752596815,628,372
7100,1544.1274582217768,623,377
7200,1576.3845859077073,623,377
7300,1614.273982621286,635,365
7400,1685.968808550981,627,373
7500,1759.5249846531315,616,384
7600,1821.7817097292962,623,377
7700,1870.929768694266,616,384
7800,1917.8318120780975,601,399
7900,1975.7251204158183,587,413
8000,2001.1172090075493,588,412
8100,2061.8547256111983,570,430
8200,2131.9370796188514,552,448
8300,2206.6260566077704,538,462
8400,2279.4314246111458,533,467
8500,2392.453057550607,538,462
8600,2486.5149186161384,527,473
8700,2552.5365162548283,525,475
8800,2646.0703232300916,516,484
8900,2736.3541821641734,512,488
9000,2823.61619027309,518,482
9100,2923.1395644866016,526,474
9200,3008.8479492853794,518,482
9300,3099.1246138617075,516,484
9400,3201.0941447837045,508,492
9500,3324.5882583438865,508,492
9600,3423.231512473004,507,493
9700,3585.0527097560007,502,498
9800,3703.8671666946816,490,510
9900,3834.1564286094,470,530
10000,3939.65472432422,467,533
10100,4069.8400082320895,450,550
10200,4203.696012514071,454,546
10300,4318.060918080331,465,535
10400,4481.719254323535,470,530
10500,4598.6611130858255,467,533
10600,4758.332897491295,465,535
10700,4898.878352639702,468,532
10800,5031.486914028406,465,535
10900,5220.967862222525,467,533
11000,5394.075567584429,471,529
11100,5550.158946344876,471,529
11200,5772.751517887614,473,527
11300,5959.109289164313,480,520
11400,6177.326785649583,481,519
11500,6411.091835069614,470,530
11600,6646.722481751813,462,538
11700,6911.997976348441,459,541
11800,7170.768297739439,454,546
11900,7394.272874887666,444,556
12000,7614.340465848738,433,567
12100,7839.7498608305605,424,576
12200,8048.146444259885,419,581
12300,8271.15190349237,414,586
12400,8461.087042950361,413,587
12500,8712.096002744931,404,596
12600,8979.807062295084,392,608
12700,9274.466815989856,390,610
12800,9587.930597637713,400,600
12900,9899.99778278285,400,600
13000,10166.296422499381,403,597
13100,10450.747306276051,408,592
13200,10739.403132683568,394,606
13300,11068.821380877842,391,609
13400,11414.13411846698,376,624
13500,11741.230749201846,363,637
13600,12064.209018630367,364,636
13700,12351.172920214553,365,635
13800,12653.183259425283,363,637
13900,12956.986768743232,360,640
14000,13296.391273196288,353,647
14100,13590.185462119784,351,649
14200,13877.974246394482,351,649
14300,14206.70040014599,348,652
14400,14558.904436083294,341,659
14500,14910.861605188597,345,655
14600,15245.714657375192,342,658
14700,15590.839279261712,329,671
14800,15886.410812554612,332,668
14900,16228.583581870482,314,686
15000,16562.21103882449,305,695
15100,16934.32129164829,301,699
15200,17292.23324774115,297,703
15300,17681.72901659218,299,701
15400,18074.928524489613,298,702
15500,18509.796601947026,297,703
15600,18908.662459931096,287,713
15700,19271.03352768649,273,727
15800,19700.48572087521,268,732
15900,20154.45970248454,248,752
16000,20562.5102995964,238,762
16100,21053.860428833683,234,766
16200,21420.03038881296,227,773
16300,21794.05450414913,215,785
16400,22272.912018655352,215,785
16500,22704.721245574907,211,789
16600,23174.981402245903,211,789
16700,23670.459650623696,217,783
16800,24113.891209361398,203,797
16900,24602.05815404959,192,808
17000,25154.887839787425,176,824
17100,25736.574646261382,171,829
17200,26293.81158596526,156,844
17300,26908.28133641625,151,849
17400,27529.438970796033,142,858
17500,28102.83196526969,140,860
17600,28706.154973062523,137,863
17700,29275.012168328107,130,870
17800,29845.069108719756,124,876
17900,30391.114204314836,125,875
18000,31003.94109169851,123,877
18100,31582.328623832567,124,876
18200,32217.053964878938,129,871
18300,32886.917269333615,126,874
18400,33555.774243437176,122,878
18500,34233.94051435122,116,884
18600,34819.90680710142,110,890
18700,35538.88485036833,102,898
18800,36306.461881936535,96,904
18900,37056.43955622559,92,908
19000,37775.323692767124,92,908
19100,38639.7449443776,90,910
19200,39455.23677533713,79,921
19300,40280.217262767736,67,933
19400,41087.801489083045,66,934
19500,41919.16330225994,63,937
19600,42640.520541622056,64,936
19700,43507.83086945887,69,931
19800,44331.788525883545,71,929
19900,45187.42720938851,66,934
20000,46065.303218909634,70,930
20100,46912.543684261116,75,925
20200,47779.829745429655,77,923
20300,48701.12505705738,80,920
20400,49627.317776733486,74,926
20500,50609.30225119278,77,923
20600,51617.928498530375,83,917
20700,52561.46158197313,84,916
20800,53545.95655421001,85,915
20900,54557.46150914583,84,916
21000,55540.87852712058,88,912
21100,56601.111485436544,85,915
21200,57595.66956762232,77,923
21300,58571.39353294375,78,922
21400,59572.717892630084,69,931
21500,60528.98667191452,67,933
21600,61514.36209685569,59,941
21700,62497.586964034024,53,947
21800,63513.37358721345,47,953
21900,64546.50991409995,51,949
22000,65517.00810321547,46,954
22100,66567.44284186204,43,957
22200,67700.55587030538,37,963
22300,68813.46015664037,32,968
22400,69940.53645952945,24,976
22500,71154.33388957495,17,983
22600,72357.06732137738,12,988
22700,73627.364131016,10,990
22800,74935.8169582562,7,993
22900,76230.69417529207,0,1000
23000,77532.06225975204,0,1000
23100,78801.39755511848,0,1000
23200,79957.01578783293,0,1000
23300,81064.15819024993,0,1000
23400,82339.65346683084,0,1000
23500,83546.11757276864,0,1000
23600,84870.27489260078,0,1000
23700,86125.23341463013,0,1000
23800,87354.22528528911,0,1000
23900,88679.67463215573,0,1000
24000,90032.76681027391,0,1000
24100,91431.71630565939,0,1000
24200,92781.95551983635,0,1000
24300,94296.6807407221,0,1000
24400,95769.95267749995,0,1000
24500,97320.73586094502,0,1000
24600,98941.71607920923,0,1000
24700,100518.5183703509,0,1000
24800,102070.89380762393,0,1000
24900,103641.7154522257,0,1000
25000,105104.42990612805,0,1000
25100,106450.1251695151,0,1000
25200,107965.08538885835,0,1000
25300,109488.76458568581,0,1000
25400,111038.74307352304,0,1000
25500,112569.9633265859,0,1000
25600,114054.93456851157,0,1000
25700,115628.80234815428,0,1000
25800,117280.9140680312,0,1000
25900,118932.52532134288,0,1000
26000,120522.14867164096,0,1000
26100,122334.20339292809,0,1000
26200,124100.18427192897,0,1000
26300,125919.88699176202,0,1000
26400,127913.40834104749,0,1000
26500,129718.89165994104,0,1000
26600,131626.501004345,0,1000
26700,133436.09488768264,0,1000
26800,135232.85695427674,0,1000
26900,136863.40190112183,0,1000
27000,138548.2379229277,0,1000
27100,140315.74217623897,0,1000
27200,142153.87636727767,0,1000
27300,143922.36618180102,0,1000
27400,145727.05385135856,1,999
27500,147513.85810643787,0,1000
27600,149401.1104761932,0,1000
27700,151277.58157637273,0,1000
27800,153231.76989243078,0,1000
27900,155247.9108818432,0,1000
28000,157345.15179167976,0,1000
28100,159456.04127227687,0,1000
28200,161705.9339520698,0,1000
28300,163831.05411603372,0,1000
28400,166063.57350860044,0,1000
28500,168208.16496986436,0,1000
28600,170225.8491226443,0,1000
28700,172188.90865064532,0,1000
28800,174161.99789235115,0,1000
28900,176147.14648032142,0,1000
29000,178175.038718702,0,1000
29100,180194.69219559847,0,1000
29200,182273.20009048886,0,1000
29300,184276.3728756736,0,1000
29400,186417.38056284373,0,1000
29500,188580.10937975932,0,1000
29600,190693.09629285883,0,1000
29700,193041.2571382012,0,1000
29800,195333.66197369513,0,1000
29900,197822.6565338296,0,1000
30000,200314.38775300514,0,1000
30100,202784.688253834,0,1000
30200,205278.83663422082,0,1000
30300,207732.91447990434,0,1000
30400,209960.995189843,0,1000
30500,212275.19534084332,1,999
30600,214488.1781739111,0,1000
30700,216764.49004883727,0,1000
30800,219012.03253692438,0,1000
30900,221464.16424884644,0,1000
31000,223581.45093885827,0,1000
31100,225976.72686839133,0,1000
31200,228347.65584464092,0,1000
31300,230768.76674720668,0,1000
31400,233288.1365938864,0,1000
31500,235873.6699922272,0,1000
31600,238387.77279168414,0,1000
31700,241171.6460810386,0,1000
31800,243874.4006558879,0,1000
31900,246663.37975792956,0,1000
32000,249341.99866887994,0,1000
32100,252101.42823806484,0,1000
32200,254660.977848507,0,1000
32300,257266.57981204367,0,1000
32400,259686.34641701705,0,1000
32500,262267.63106637343,0,1000
32600,264756.6582286199,0,1000
32700,267442.02704835444,0,1000
32800,270058.92266535293,0,1000
32900,272594.4032298555,0,1000
33000,275152.24832449073,0,1000
33100,277900.9195272395,0,1000
33200,280765.796757981,0,1000
33300,283437.75810379896,0,1000
33400,286235.44540910487,0,1000
33500,289238.3309686729,0,1000
33600,292287.7026806858,2,998
33700,295191.98452553654,5,995
33800,298157.0870750781,4,996
33900,301375.6247209363,6,994
34000,304198.63283651735,4,996
34100,307059.4314175593,3,997
34200,309733.9682649435,3,997
34300,312466.15008285036,1,999
34400,315266.33155392384,0,1000
34500,318072.7476016748,0,1000
34600,320731.0975860139,0,1000
34700,323570.34362254455,0,1000
34800,326412.98883515707,0,1000
34900,329202.13512537326,0,1000
35000,332315.4669340043,0,1000
35100,335209.6242124133,0,1000
35200,338328.28457307327,0,1000
35300,341389.9324812874,0,1000
35400,344724.18811032904,0,1000
35500,347911.75429682614,0,1000
35600,351378.83783446485,0,1000
35700,354615.5127606136,0,1000
35800,357772.29680163605,0,1000
35900,361050.048561051,0,1000
36000,364025.28036767186,0,1000
36100,367181.39269986056,0,1000
36200,370137.0751056843,0,1000
36300,373323.16196581605,0,1000
36400,376235.69711671164,0,1000
36500,379290.7012374427,0,1000
36600,382358.7951286235,0,1000
36700,385422.66052507726,0,1000
36800,388677.1507059095,0,1000
36900,391867.7054090044,0,1000
37000,395200.7305272882,0,1000
37100,398565.3226724467,0,1000
37200,402098.98197972757,0,1000
37300,405805.42661147343,0,1000
37400,409386.9525663154,0,1000
37500,412997.6870290541,0,1000
37600,416637.6986665878,0,1000
37700,419811.1835949366,0,1000
37800,423181.8511123245,0,1000
37900,426391.477915771,0,1000
38000,429595.6108204576,0,1000
38100,433059.5559050734,0,1000
38200,436356.1436013343,0,1000
38300,439667.87374197977,0,1000
38400,443001.16369898163,0,1000
38500,446416.3721066506,0,1000
38600,449835.49628275825,0,1000
38700,453440.46891681955,0,1000
38800,456941.93797662767,0,1000
38900,460716.8165252557,0,1000
39000,464438.01808307966,0,1000
39100,468174.17043192615,0,1000
39200,472041.7805936576,0,1000
39300,476012.6709937569,0,1000
39400,479767.2702928743,0,1000
39500,483386.6465170993,0,1000
39600,486949.36148744373,0,1000
39700,490449.23327349656,0,1000
39800,494079.5931065476,0,1000
39900,497637.24278573616,0,1000
40000,501295.3841557163,0,1000
40100,504850.2789817309,0,1000
40200,508487.9418839133,0,1000
40300,512084.9024100284,0,1000
40400,515780.7322943926,0,1000
40500,519658.39414908807,0,1000
40600,523431.3015957525,0,1000
40700,527449.1152223604,0,1000
40800,531463.0950362909,0,1000
40900,535582.2147671344,0,1000
41000,539752.1389022171,0,1000
41100,543806.3245262649,0,1000
41200,547891.3559296543,0,1000
41300,551820.1737904137,0,1000
41400,555577.0138691515,0,1000
41500,559327.6087173756,0,1000
41600,563277.1534046669,0,1000
41700,567145.0857616863,0,1000
41800,570876.7360220078,0,1000
41900,574724.7114090575,0,1000
42000,578686.3305807934,0,1000
42100,582583.3205947585,0,1000
42200,586557.9480110118,0,1000
42300,590624.5101386101,0,1000
42400,594736.7036848891,0,1000
42500,599075.916765727,0,1000
42600,603315.7468174382,0,1000
42700,607620.1449678093,0,1000
42800,612128.6449968013,2,998
42900,616419.6495836052,1,999
43000,620963.2715042571,0,1000
43100,624995.6946999492,0,1000
43200,629227.978626451,1,999
43300,633150.3240466863,0,1000
43400,637458.030677097,0,1000
43500,641531.0749808303,0,1000
43600,645684.9012253027,0,1000
43700,649874.6150909881,0,1000
43800,653776.1367303048,0,1000
43900,658087.571189476,1,999
44000,662066.2611259803,0,1000
44100,666488.0728337299,0,1000
44200,670745.8234468474,0,1000
44300,675362.8432379276,0,1000
44400,679811.829870016,0,1000
44500,684455.4850386925,0,1000
44600,689140.0413136332,0,1000
44700,693858.0118629838,0,1000
44800,698606.0183237549,0,1000
44900,702970.8881899591,0,1000
45000,707381.817665977,0,1000
45100,711548.6796348678,0,1000
45200,716078.8128005409,0,1000
45300,720453.0327682114,0,1000
45400,724918.7840298133,0,1000
45500,729334.9850245866,0,1000
45600,733536.6311879713,0,1000
45700,737861.4577273617,0,1000
45800,742197.3604113357,0,1000
45900,746949.162336197,0,1000
46000,751418.8135035755,0,1000
46100,756226.243712435,0,1000
46200,761183.2012999702,0,1000
46300,766124.1303322315,0,1000
46400,771177.5954423058,0,1000
46500,776126.3692923465,0,1000
46600,780906.0887524054,0,1000
46700,785897.8172931023,0,1000
46800,790340.7653089835,0,1000
46900,794898.9987594147,0,1000
47000,799566.1062581342,0,1000
47100,804248.0644676154,0,1000
47200,808837.8980635388,0,1000
47300,813557.2402701383,1,999
47400,817947.754382365,0,1000
47500,822743.824723788,0,1000
47600,827465.3076494841,0,1000
47700,832331.4701171336,0,1000
