N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id
1000,7713914261614,0.4,0.9884285714285718,0.0105857142857142,0.999014285714286,2.696595714285713,0.0006285714285714,0.0006285714285714,0.9428571428571428,0,Unjammed,0
1000,7984690204788,0.4,0.9662571428571428,0.0301571428571428,0.9964142857142856,2.685777142857141,0.0014571428571428,0.0016428571428571,2.8857142857142857,0,Unjammed,0
1000,12944511869278,0.4,0.9450428571428572,0.0390857142857142,0.9841285714285714,2.658701428571428,0.0063142857142857,0.0068714285714285,7.3428571428571425,0,Unjammed,0
1000,31028804052714,0.4,0.9598714285714284,0.0357428571428571,0.9956142857142856,2.680741428571428,0.0022571428571428,0.0024571428571428,2.4285714285714284,0,Unjammed,0
1000,37852570490343,0.4,0.8866428571428573,0.0763,0.9629428571428572,2.6039457142857154,0.0114,0.0126714285714285,13.785714285714286,0,Unjammed,0
1000,44577617154917,0.4,0.936442857142857,0.0506571428571428,0.9871,2.662675714285714,0.0067142857142857,0.0074,4.814285714285714,0,Unjammed,0
1000,70199386339719,0.4,0.9983285714285716,0.0009571428571428,0.9992857142857144,2.698325714285711,0.0005714285714285,0.0005714285714285,0.7142857142857143,0,Unjammed,0
1000,78804909138230,0.4,0.9926142857142858,0.0057428571428571,0.9983571428571428,2.6951742857142844,0.0012,0.0012428571428571,1.3571428571428572,0,Unjammed,0
1000,91820085255413,0.4,0.940742857142857,0.0435999999999999,0.9843428571428569,2.6559900000000005,0.0065,0.0071285714285714,6.5285714285714285,0,Unjammed,0
1000,121838283310165,0.4,0.9813285714285708,0.0150714285714285,0.9963999999999992,2.6890785714285728,0.0019428571428571,0.0020571428571428,2.142857142857143,0,Unjammed,0
1000,130453083214186,0.4,0.9865428571428568,0.0107714285714285,0.9973142857142854,2.6919585714285725,0.0010714285714285,0.0011857142857142,1.5285714285714285,0,Unjammed,0
1000,150917535351633,0.4,0.8975285714285716,0.0660857142857143,0.963614285714286,2.613548571428572,0.0163714285714285,0.0172142857142857,8.9,0,Unjammed,0
1000,162309295428918,0.4,0.9957000000000006,0.0042857142857142,0.9999857142857148,2.699131428571426,1.42857142857142e-05,1.42857142857142e-05,0.0142857142857142,0,Unjammed,0
1000,166545407203722,0.4,0.9754857142857144,0.0229714285714285,0.9984571428571428,2.691482857142857,0.0009285714285714,0.001,1.3,0,Unjammed,0
1000,170902461924754,0.4,0.9042142857142856,0.0800714285714286,0.9842857142857142,2.646902857142858,0.0047,0.0050142857142857,7.042857142857143,0,Unjammed,0
1000,180878082594115,0.4,0.9798571428571428,0.0170857142857142,0.9969428571428568,2.690604285714286,0.0013,0.0015142857142857,2.5,0,Unjammed,0
1000,184656659025018,0.4,0.9065571428571428,0.0665,0.9730571428571428,2.6288071428571427,0.0099,0.0107714285714285,8.514285714285714,0,Unjammed,0
1000,201764007966294,0.4,0.968671428571428,0.0262999999999999,0.9949714285714278,2.684347142857144,0.0023285714285714,0.0026,2.0428571428571427,0,Unjammed,0
1000,211701226972609,0.4,0.981085714285714,0.0151285714285714,0.9962142857142854,2.68812,0.0019142857142857,0.0020285714285714,2.4714285714285715,0,Unjammed,0
1000,215411591372525,0.4,0.9754428571428568,0.0194142857142857,0.9948571428571426,2.6847714285714286,0.0028714285714285,0.0031,2.442857142857143,0,Unjammed,0
1000,215740729027954,0.4,0.880642857142857,0.0786428571428571,0.959285714285714,2.597644285714285,0.0159857142857142,0.0168571428571428,12.728571428571428,0,Unjammed,0
1000,216465895742590,0.4,0.9064857142857145,0.0714571428571428,0.9779428571428572,2.635844285714286,0.0060428571428571,0.0066142857142857,10.714285714285714,0,Unjammed,0
1000,229070237359158,0.4,0.9630714285714284,0.0300285714285714,0.9930999999999998,2.678902857142858,0.0034,0.0037714285714285,3.128571428571429,0,Unjammed,0
1000,260045648084392,0.4,0.9623714285714284,0.0304571428571428,0.9928285714285712,2.677520000000001,0.0033142857142857,0.0036714285714285,3.057142857142857,0,Unjammed,0
1000,292843692953188,0.4,0.9946428571428568,0.005,0.9996428571428568,2.698230000000001,0.0002857142857142,0.0002857142857142,0.3285714285714285,0,Unjammed,0
1000,292918525777755,0.4,0.9726,0.0221,0.9947,2.683484285714284,0.0028285714285714,0.0029714285714285,2.757142857142857,0,Unjammed,0
1000,295338566340576,0.4,0.9482142857142856,0.0419714285714285,0.990185714285714,2.670240000000001,0.0041714285714285,0.0045428571428571,4.914285714285715,0,Unjammed,0
1000,308551055971772,0.4,0.9378142857142862,0.0531857142857142,0.9910000000000004,2.667817142857144,0.0038571428571428,0.0042857142857142,4.285714285714286,0,Unjammed,0
1000,311751781598459,0.4,0.974571428571428,0.0238142857142857,0.9983857142857137,2.692775714285714,0.001,0.0010142857142857,1.3428571428571427,0,Unjammed,0
1000,315712195248884,0.4,0.970914285714286,0.0231857142857142,0.9941000000000002,2.682318571428571,0.0032714285714285,0.0035428571428571,2.4,0,Unjammed,0
1000,333614425743970,0.4,0.9373000000000002,0.0601571428571428,0.997457142857143,2.681784285714285,0.0012571428571428,0.0014,1.7428571428571429,0,Unjammed,0
