N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id,p_local_total,p_local_active
1000,7713914261614,0.4,0.9884285714285718,0.0105857142857142,0.999014285714286,2.696595714285713,0.0006285714285714,0.0006285714285714,0.9428571428571428,0,Unjammed,0,0.9711126426760196,0.9738975340299952
1000,7984690204788,0.4,0.9662571428571428,0.0301571428571428,0.9964142857142856,2.685777142857141,0.0014571428571428,0.0016428571428571,2.8857142857142857,0,Unjammed,0,0.944870872737519,0.9496730086548136
1000,12944511869278,0.4,0.9450428571428572,0.0390857142857142,0.9841285714285714,2.658701428571428,0.0063142857142857,0.0068714285714285,7.3428571428571425,0,Unjammed,0,0.9032794584341622,0.909615610581785
1000,31028804052714,0.4,0.9598714285714284,0.0357428571428571,0.9956142857142856,2.680741428571428,0.0022571428571428,0.0024571428571428,2.4285714285714284,0,Unjammed,0,0.9157933213006167,0.9243339079618206
1000,37852570490343,0.4,0.8866428571428573,0.0763,0.9629428571428572,2.6039457142857154,0.0114,0.0126714285714285,13.785714285714286,0,Unjammed,0,0.7465984727274515,0.7832110922872478
1000,44577617154917,0.4,0.936442857142857,0.0506571428571428,0.9871,2.662675714285714,0.0067142857142857,0.0074,4.814285714285714,0,Unjammed,0,0.8785647807524471,0.8889638517393975
1000,70199386339719,0.4,0.9983285714285716,0.0009571428571428,0.9992857142857144,2.698325714285711,0.0005714285714285,0.0005714285714285,0.7142857142857143,0,Unjammed,0,0.97464105548556,0.97464105548556
1000,78804909138230,0.4,0.9926142857142858,0.0057428571428571,0.9983571428571428,2.6951742857142844,0.0012,0.0012428571428571,1.3571428571428572,0,Unjammed,0,0.9751974597808396,0.9761948256884836
1000,91820085255413,0.4,0.940742857142857,0.0435999999999999,0.9843428571428569,2.6559900000000005,0.0065,0.0071285714285714,6.5285714285714285,0,Unjammed,0,0.9095411471706866,0.9305455111169156
1000,121838283310165,0.4,0.9813285714285708,0.0150714285714285,0.9963999999999992,2.6890785714285728,0.0019428571428571,0.0020571428571428,2.142857142857143,0,Unjammed,0,0.9622821581318174,0.9644744700266475
1000,130453083214186,0.4,0.9865428571428568,0.0107714285714285,0.9973142857142854,2.6919585714285725,0.0010714285714285,0.0011857142857142,1.5285714285714285,0,Unjammed,0,0.8873054840286306,0.9066177272178388
1000,150917535351633,0.4,0.8975285714285716,0.0660857142857143,0.963614285714286,2.613548571428572,0.0163714285714285,0.0172142857142857,8.9,0,Unjammed,0,0.8018262216675478,0.8118151103391767
1000,162309295428918,0.4,0.9957000000000006,0.0042857142857142,0.9999857142857148,2.699131428571426,1.42857142857142e-05,1.42857142857142e-05,0.0142857142857142,0,Unjammed,0,0.9727427502551488,0.9727427502551488
