step,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary
100,1.0,0.0,1.0,0.0
200,2.3807225000000005,0.5813531249999998,0.030334375,0.3883125
300,2.509984062500001,0.772,0.04293125,0.18506875
400,2.5181396875000015,0.8031249999999998,0.05168750000000001,0.14518750000000002
500,2.5123431250000006,0.8064781250000003,0.05856249999999999,0.134959375
600,2.5034428125000003,0.8031812500000001,0.06521562499999999,0.13160312500000004
700,2.4978975000000005,0.801884375,0.06961562499999999,0.1285
800,2.4907071875,0.7985250000000003,0.07448750000000001,0.1269875
900,2.4870871875,0.7970781250000003,0.07721875,0.125703125
1000,2.4820215625,0.7941718750000003,0.08086562500000001,0.12496250000000002
1100,2.4782290625000005,0.7917312500000001,0.08349062499999994,0.124778125
1200,2.4726465624999996,0.7878625000000001,0.08713437500000001,0.12500312499999996
1300,2.4675225000000007,0.785959375,0.09014999999999997,0.12389062499999999
1400,2.4657809375000004,0.7848156250000001,0.09153437500000004,0.12365
1500,2.4628071875,0.783440625,0.09475312500000002,0.12180625000000002
1600,2.4596303124999994,0.7823093750000002,0.09694062499999997,0.12075
1700,2.4576718750000004,0.7811687500000004,0.09795312500000004,0.12087812500000002
1800,2.4564459374999994,0.780528125,0.098578125,0.12089374999999998
1900,2.4572012500000002,0.7815999999999997,0.09855000000000001,0.11985000000000001
2000,2.4587550000000005,0.7822906249999999,0.09825000000000002,0.11945937499999999
2100,2.4584115624999994,0.7822187499999999,0.09855312500000002,0.11922812499999999
2200,2.4583609374999997,0.7819218749999998,0.09950937500000001,0.11856875
2300,2.4577959375,0.7810437499999999,0.09980312499999999,0.119153125
2400,2.4556609375000003,0.7801687499999999,0.102121875,0.11770937499999999
2500,2.4525190624999995,0.7781906249999999,0.104609375,0.11719999999999998
2600,2.4503346875000003,0.7770156250000002,0.10525937500000003,0.11772500000000001
2700,2.4491121875,0.7759124999999999,0.10645312500000001,0.117634375
2800,2.44974875,0.7761156250000002,0.10582812499999995,0.11805625000000002
2900,2.451975625,0.7777375000000001,0.10531875000000002,0.11694375000000001
3000,2.4535,0.7794468750000001,0.10469687500000001,0.11585624999999994
3100,2.453866250000001,0.7801625,0.104703125,0.11513437500000002
3200,2.4523171875,0.7787843749999999,0.10632187500000001,0.11489374999999999
3300,2.4523559375,0.778815625,0.10589375000000002,0.11529062499999998
3400,2.4524112500000004,0.7787687500000002,0.10625312500000003,0.114978125
3500,2.4516046874999993,0.7788375,0.10741875000000002,0.11374375000000002
3600,2.45340625,0.7797625000000001,0.106484375,0.11375312500000002
3700,2.454375,0.780515625,0.10625625000000004,0.11322812500000001
3800,2.4555146875000005,0.7819874999999996,0.10637812500000005,0.11163437499999998
3900,2.4568275000000006,0.782459375,0.10540312499999999,0.11213749999999999
4000,2.4569078125,0.78236875,0.10537187499999999,0.112259375
4100,2.4570387499999993,0.7823124999999999,0.10519375000000002,0.11249374999999998
4200,2.4582393749999993,0.7831499999999998,0.10508437499999997,0.111765625
4300,2.4596262499999995,0.7830093749999999,0.10369999999999997,0.113290625
4400,2.462020625,0.7849468749999997,0.102409375,0.11264374999999999
4500,2.4632950000000005,0.7852031249999998,0.10185937499999997,0.11293750000000001
4600,2.464299374999999,0.786190625,0.10175625,0.11205312500000003
4700,2.463329062499999,0.785365625,0.10330624999999996,0.11132812500000001
4800,2.4606615625,0.7841656250000003,0.10482499999999999,0.11100937500000002
4900,2.4593546874999994,0.7830531249999998,0.10565625000000001,0.111290625
5000,2.4576490625,0.782009375,0.10640000000000005,0.11159062499999997
5100,2.4559868749999993,0.78103125,0.10769999999999996,0.11126874999999997
5200,2.456368750000001,0.7811437499999999,0.10752499999999998,0.11133125000000003
5300,2.4569121874999995,0.7809906249999998,0.107596875,0.1114125
5400,2.45767,0.7820656250000001,0.10737812500000002,0.11055625000000001
5500,2.4590478124999997,0.7826093749999999,0.10655624999999996,0.110834375
